"N","Time","avg(f)"
1,0,55
1,0.021681,54.995
1,0.043368,54.989
1,0.065063,54.984
1,0.086769,54.979
1,0.10848,54.974
1,0.13021,54.97
1,0.15194,54.965
1,0.17369,54.96
1,0.19544,54.956
1,0.2172,54.951
1,0.23898,54.947
1,0.26076,54.943
1,0.28255,54.939
1,0.30436,54.935
1,0.32617,54.931
1,0.34799,54.927
1,0.36982,54.923
1,0.39166,54.92
1,0.41351,54.916
1,0.43537,54.912
1,0.45725,54.909
1,0.47913,54.905
1,0.50102,54.902
1,0.52292,54.899
1,0.54483,54.896
1,0.56675,54.892
1,0.58868,54.89
1,0.61062,54.886
1,0.63257,54.883
1,0.65453,54.881
1,0.6765,54.878
1,0.69848,54.875
1,0.72047,54.873
1,0.74247,54.87
1,0.76448,54.867
1,0.7865,54.865
1,0.80853,54.862
1,0.83057,54.859
1,0.85262,54.858
1,0.87468,54.855
1,0.89675,54.852
1,0.91883,54.851
1,0.94092,54.848
1,0.96302,54.846
1,0.98514,54.845
1,1.0073,54.842
1,1.0294,54.84
1,1.0515,54.839
1,1.0737,54.836
1,1.0958,54.834
1,1.118,54.833
1,1.1402,54.831
1,1.1624,54.829
1,1.1846,54.828
1,1.2068,54.826
1,1.229,54.824
1,1.2513,54.824
1,1.2735,54.822
1,1.2958,54.82
1,1.318,54.82
1,1.3403,54.818
1,1.3626,54.816
1,1.3849,54.816
1,1.4072,54.814
1,1.4295,54.812
1,1.4518,54.813
1,1.4742,54.811
1,1.4965,54.809
1,1.5189,54.81
1,1.5413,54.808
1,1.5636,54.807
1,1.586,54.808
1,1.6084,54.806
1,1.6308,54.805
1,1.6533,54.806
1,1.6757,54.804
1,1.6981,54.803
1,1.7206,54.804
1,1.7431,54.803
1,1.7655,54.802
1,1.788,54.803
1,1.8105,54.802
1,1.833,54.801
1,1.8556,54.803
1,1.8781,54.802
1,1.9006,54.801
1,1.9232,54.803
1,1.9457,54.802
1,1.9683,54.801
1,1.9909,54.803
1,2.0135,54.802
1,2.0361,54.801
1,2.0587,54.804
1,2.0813,54.803
1,2.104,54.803
1,2.1266,54.805
1,2.1493,54.805
1,2.172,54.804
1,2.1946,54.807
1,2.2173,54.806
1,2.24,54.806
1,2.2628,54.809
1,2.2855,54.809
1,2.3082,54.809
1,2.331,54.812
1,2.3537,54.812
1,2.3765,54.811
1,2.3993,54.815
1,2.4221,54.815
1,2.4449,54.815
1,2.4677,54.818
1,2.4905,54.818
1,2.5134,54.819
1,2.5362,54.822
1,2.5591,54.822
1,2.5819,54.823
1,2.6048,54.827
1,2.6277,54.827
1,2.6506,54.828
1,2.6735,54.831
1,2.6965,54.832
1,2.7194,54.833
1,2.7423,54.837
1,2.7653,54.838
1,2.7883,54.839
1,2.8113,54.843
1,2.8343,54.844
1,2.8573,54.845
1,2.8803,54.849
1,2.9033,54.85
1,2.9264,54.851
1,2.9494,54.856
1,2.9725,54.857
1,2.9956,54.858
1,3.0186,54.863
