"N","Time","avg(f)"
1,0,55
1,0.04518,54.989
1,0.090382,54.979
1,0.13562,55.878
1,0.18091,55.806
1,0.22624,55.74
1,0.27161,57.55
1,0.31702,57.401
1,0.36247,57.262
1,0.40797,57.131
1,0.45351,57.009
1,0.49909,56.895
1,0.54471,56.788
1,0.59038,57.166
1,0.63609,57.1
1,0.68184,57.034
1,0.72764,60.172
1,0.77348,60.01
1,0.81936,59.846
1,0.86529,61.84
1,0.91126,61.514
1,0.95728,61.215
1,1.0033,60.939
1,1.0494,60.687
1,1.0956,60.454
1,1.1418,60.239
1,1.188,59.434
1,1.2343,59.529
1,1.2806,59.598
1,1.327,67.304
1,1.3734,66.81
1,1.4199,66.36
1,1.4664,67.027
1,1.5129,66.749
1,1.5595,66.483
1,1.6062,66.227
1,1.6529,65.981
1,1.6996,65.743
1,1.7464,65.513
1,1.7932,66.722
1,1.8401,66.601
1,1.887,66.471
1,1.934,67.442
1,1.981,67.592
1,2.0281,67.674
1,2.0752,67.697
1,2.1223,67.809
1,2.1695,67.867
1,2.2168,67.882
1,2.2641,67.86
1,2.3114,67.81
1,2.3588,67.737
1,2.4063,67.803
1,2.4538,67.885
1,2.5013,67.924
1,2.5489,88.111
1,2.5965,86.639
1,2.6442,85.298
1,2.6919,88.362
1,2.7397,87
1,2.7876,85.759
1,2.8355,84.624
1,2.8834,83.576
1,2.9314,82.618
1,2.9794,81.734
1,3.0275,103.42
1,3.0756,101.29
1,3.1238,99.324
1,3.172,107.15
1,3.2203,105.22
1,3.2687,103.4
1,3.317,101.68
1,3.3655,100.05
1,3.414,98.51
1,3.4625,97.061
1,3.5111,97.133
1,3.5598,95.975
1,3.6085,94.858
1,3.6572,103.15
1,3.706,101.8
1,3.7549,100.48
1,3.8038,108.73
1,3.8527,106.8
1,3.9017,105
1,3.9508,103.34
1,3.9999,101.8
1,4.0491,100.36
1,4.0983,99.012
1,4.1476,97.198
1,4.1969,96.402
1,4.2463,95.623
1,4.2958,115.45
1,4.3453,113.18
1,4.3948,111.1
1,4.4444,111.04
1,4.4941,109.35
1,4.5438,107.77
1,4.5936,106.29
1,4.6434,104.9
1,4.6933,103.6
1,4.7433,102.37
1,4.7933,103.23
1,4.8433,102.16
1,4.8934,101.14
1,4.9436,100.81
1,4.9938,99.955
1,5.0441,99.127
1,5.0945,97.454
1,5.1449,96.939
1,5.1953,96.409
1,5.2458,95.869
1,5.2964,95.324
1,5.347,94.778
1,5.3977,94.234
1,5.4485,93.828
1,5.4993,93.509
1,5.5502,93.161
1,5.6011,114.26
1,5.6521,112.33
1,5.7031,110.55
1,5.7542,113.41
1,5.8054,111.67
1,5.8566,110.07
1,5.9079,108.58
1,5.9593,107.21
1,6.0107,105.93
1,6.0621,104.74
1,6.1137,128.33
1,6.1653,125.55
1,6.2169,123
1,6.2687,130.15
1,6.3204,127.63
1,6.3723,125.27
1,6.4242,123.06
1,6.4762,120.97
1,6.5282,119.01
1,6.5803,117.18
1,6.6325,115.28
1,6.6847,113.71
1,6.737,112.24
1,6.7894,110.66
1,6.8418,109.81
1,6.8943,108.94
1,6.9468,128.77
1,6.9994,126.27
1,7.0521,123.97
1,7.1049,121.86
1,7.1577,119.9
1,7.2106,118.09
1,7.2635,116.41
1,7.3166,119.4
1,7.3696,117.78
1,7.4228,116.27
1,7.476,135.56
1,7.5293,132.6
1,7.5827,129.91
1,7.6361,129.34
1,7.6896,127.18
1,7.7432,125.18
1,7.7968,123.31
1,7.8505,121.58
1,7.9043,119.95
1,7.9581,118.43
1,8.012,118.99
1,8.066,117.71
1,8.1201,116.49
1,8.1742,115.79
1,8.2284,114.75
1,8.2827,113.75
1,8.337,112.3
1,8.3915,111.52
1,8.4459,110.75
1,8.5005,110
1,8.5551,109.28
1,8.6099,108.58
1,8.6646,107.89
1,8.7195,107.24
1,8.7744,106.71
1,8.8295,106.18
1,8.8845,130.18
1,8.9397,127.87
1,8.9949,125.75
1,9.0503,134
1,9.1056,131.48
1,9.1611,129.2
1,9.2167,127.11
1,9.2723,125.2
1,9.328,123.44
1,9.3838,121.82
1,9.4396,144.93
1,9.4955,141.77
1,9.5516,138.87
1,9.6077,136.93
1,9.6638,134.98
1,9.7201,133.11
1,9.7764,131.34
1,9.8328,129.61
1,9.8893,127.96
1,9.9459,126.4
1,10.003,124.74
1,10.059,123.39
1,10.116,122.11
1,10.173,126.88
1,10.23,125.34
1,10.287,123.91
1,10.344,143.3
1,10.402,140.3
1,10.459,137.6
1,10.516,135.15
1,10.574,132.93
1,10.631,130.89
1,10.689,129.03
1,10.747,131.95
1,10.805,130.15
1,10.863,128.49
1,10.921,150.76
1,10.979,147.41
1,11.037,144.39
1,11.095,143.39
1,11.154,140.97
1,11.212,138.74
1,11.271,136.68
1,11.329,134.76
