"N","Time","avg(f)","max(f)","med(f)","min(f)","q1(f)","q3(f)","std(f)","sum(f)"
1,0,55,55,55,55,55,55,0,55
1,0.049,54.988,54.988,54.988,54.988,54.988,54.988,0,54.988
1,0.098,54.977,54.977,54.977,54.977,54.977,54.977,0,54.977
1,0.147,55.01,55.01,55.01,55.01,55.01,55.01,0,55.01
1,0.196,55.003,55.003,55.003,55.003,55.003,55.003,0,55.003
1,0.245,54.996,54.996,54.996,54.996,54.996,54.996,0,54.996
1,0.294,54.988,54.988,54.988,54.988,54.988,54.988,0,54.988
1,0.343,54.98,54.98,54.98,54.98,54.98,54.98,0,54.98
1,0.392,54.973,54.973,54.973,54.973,54.973,54.973,0,54.973
1,0.441,54.963,54.963,54.963,54.963,54.963,54.963,0,54.963
1,0.49,54.955,54.955,54.955,54.955,54.955,54.955,0,54.955
1,0.539,56.947,56.947,56.947,56.947,56.947,56.947,0,56.947
1,0.588,56.756,56.756,56.756,56.756,56.756,56.756,0,56.756
1,0.637,56.588,56.588,56.588,56.588,56.588,56.588,0,56.588
1,0.686,56.439,56.439,56.439,56.439,56.439,56.439,0,56.439
1,0.735,56.307,56.307,56.307,56.307,56.307,56.307,0,56.307
1,0.784,56.172,56.172,56.172,56.172,56.172,56.172,0,56.172
1,0.833,56.062,56.062,56.062,56.062,56.062,56.062,0,56.062
1,0.882,55.964,55.964,55.964,55.964,55.964,55.964,0,55.964
1,0.931,55.875,55.875,55.875,55.875,55.875,55.875,0,55.875
1,0.98,55.8,55.8,55.8,55.8,55.8,55.8,0,55.8
1,1.029,55.733,55.733,55.733,55.733,55.733,55.733,0,55.733
1,1.078,55.673,55.673,55.673,55.673,55.673,55.673,0,55.673
1,1.127,55.619,55.619,55.619,55.619,55.619,55.619,0,55.619
1,1.176,55.4,55.4,55.4,55.4,55.4,55.4,0,55.4
1,1.225,55.399,55.399,55.399,55.399,55.399,55.399,0,55.399
1,1.274,55.396,55.396,55.396,55.396,55.396,55.396,0,55.396
1,1.323,60.51,60.51,60.51,60.51,60.51,60.51,0,60.51
1,1.372,60.035,60.035,60.035,60.035,60.035,60.035,0,60.035
1,1.421,59.616,59.616,59.616,59.616,59.616,59.616,0,59.616
1,1.47,59.245,59.245,59.245,59.245,59.245,59.245,0,59.245
1,1.519,58.916,58.916,58.916,58.916,58.916,58.916,0,58.916
1,1.568,58.592,58.592,58.592,58.592,58.592,58.592,0,58.592
1,1.617,58.317,58.317,58.317,58.317,58.317,58.317,0,58.317
1,1.666,58.076,58.076,58.076,58.076,58.076,58.076,0,58.076
1,1.715,57.62,57.62,57.62,57.62,57.62,57.62,0,57.62
1,1.764,57.491,57.491,57.491,57.491,57.491,57.491,0,57.491
1,1.813,57.373,57.373,57.373,57.373,57.373,57.373,0,57.373
1,1.862,57.264,57.264,57.264,57.264,57.264,57.264,0,57.264
1,1.911,57.165,57.165,57.165,57.165,57.165,57.165,0,57.165
1,1.96,57.081,57.081,57.081,57.081,57.081,57.081,0,57.081
1,2.009,56.993,56.993,56.993,56.993,56.993,56.993,0,56.993
1,2.058,56.912,56.912,56.912,56.912,56.912,56.912,0,56.912
1,2.107,56.791,56.791,56.791,56.791,56.791,56.791,0,56.791
1,2.156,56.708,56.708,56.708,56.708,56.708,56.708,0,56.708
1,2.205,56.637,56.637,56.637,56.637,56.637,56.637,0,56.637
1,2.254,56.575,56.575,56.575,56.575,56.575,56.575,0,56.575
1,2.303,56.522,56.522,56.522,56.522,56.522,56.522,0,56.522
1,2.352,56.475,56.475,56.475,56.475,56.475,56.475,0,56.475
1,2.401,56.434,56.434,56.434,56.434,56.434,56.434,0,56.434
1,2.45,56.398,56.398,56.398,56.398,56.398,56.398,0,56.398
1,2.499,56.375,56.375,56.375,56.375,56.375,56.375,0,56.375
1,2.548,56.341,56.341,56.341,56.341,56.341,56.341,0,56.341
1,2.597,56.311,56.311,56.311,56.311,56.311,56.311,0,56.311
1,2.646,56.285,56.285,56.285,56.285,56.285,56.285,0,56.285
