"N","Time","avg(f)"
1,0,55
1,0.049,54.988
1,0.098,54.977
1,0.147,55.027
1,0.196,55.029
1,0.245,55.028
1,0.294,55.025
1,0.343,55.021
1,0.392,54.991
1,0.441,54.989
1,0.49,54.986
1,0.539,56.994
1,0.588,56.813
1,0.637,56.656
1,0.686,56.519
1,0.735,56.398
1,0.784,56.465
1,0.833,56.389
1,0.882,56.324
1,0.931,59.899
1,0.98,59.711
1,1.029,59.525
1,1.078,59.342
1,1.127,59.164
1,1.176,59.13
1,1.225,58.977
1,1.274,58.831
1,1.323,63.869
1,1.372,63.281
1,1.421,62.76
1,1.47,62.297
1,1.519,61.884
1,1.568,61.157
1,1.617,60.918
1,1.666,60.697
1,1.715,60.682
1,1.764,60.514
1,1.813,60.357
1,1.862,60.209
1,1.911,60.071
1,1.96,67.653
1,2.009,67.244
1,2.058,66.832
1,2.107,65.986
1,2.156,65.701
1,2.205,65.41
1,2.254,65.117
1,2.303,64.825
1,2.352,69.872
1,2.401,69.155
1,2.45,68.508
1,2.499,68.776
1,2.548,68.214
1,2.597,67.707
1,2.646,67.247
1,2.695,66.827
1,2.744,77.161
1,2.793,76.417
1,2.842,75.684
1,2.891,74.322
1,2.94,73.815
1,2.989,73.303
1,3.038,72.791
1,3.087,72.287
1,3.136,78.826
1,3.185,77.766
1,3.234,76.802
1,3.283,75.912
1,3.332,75.109
1,3.381,74.371
1,3.43,73.693
1,3.479,73.068
1,3.528,73.315
1,3.577,72.926
1,3.626,72.538
1,3.675,72.154
1,3.724,71.777
1,3.773,71.375
1,3.822,71.02
1,3.871,70.68
1,3.92,104.46
1,3.969,101.14
1,4.018,98.178
1,4.067,95.535
1,4.116,93.167
1,4.165,92.658
1,4.214,90.827
1,4.263,89.177
1,4.312,88.433
1,4.361,87.215
1,4.41,86.088
1,4.459,85.043
1,4.508,84.072
1,4.557,83.016
1,4.606,82.178
1,4.655,81.401
1,4.704,115.48
1,4.753,111.74
1,4.802,108.4
1,4.851,105.4
1,4.9,102.72
1,4.949,101.02
1,4.998,98.977
1,5.047,97.128
1,5.096,94.957
1,5.145,93.448
1,5.194,92.078
1,5.243,90.828
1,5.292,89.684
1,5.341,89.649
1,5.39,88.799
1,5.439,87.992
1,5.488,87.928
1,5.537,87.345
1,5.586,86.783
1,5.635,86.242
1,5.684,85.72
1,5.733,118.59
1,5.782,115.29
1,5.831,112.32
1,5.88,109.59
1,5.929,107.14
1,5.978,104.92
1,6.027,102.92
1,6.076,101.09
1,6.125,100.16
1,6.174,98.768
1,6.223,97.478
1,6.272,96.574
1,6.321,95.736
1,6.37,94.93
1,6.419,94.157
1,6.468,93.414
1,6.517,125.6
1,6.566,122.14
1,6.615,119.03
1,6.664,116.2
1,6.713,113.64
1,6.762,111.32
1,6.811,109.2
1,6.86,107.26
1,6.909,105.62
1,6.958,103.93
1,7.007,102.39
1,7.056,100.96
1,7.105,99.651
1,7.154,98.475
1,7.203,97.336
1,7.252,96.278
1,7.301,115.85
1,7.35,113.82
1,7.399,111.91
1,7.448,110.1
1,7.497,108.4
1,7.546,108.04
1,7.595,106.51
1,7.644,105.08
1,7.693,102.91
1,7.742,101.8
