"N","Time","avg(f)","max(f)"
3257,0,55,55.001
3257,0.021681,54.995,55.002
3257,0.043368,54.994,55.166
3257,0.065063,55.016,55.498
3257,0.086769,55.023,55.488
3257,0.10848,55.033,55.82
3257,0.13021,55.095,56.671
3257,0.15194,55.111,56.514
3257,0.17369,55.131,56.913
3257,0.19544,55.232,58.39
3257,0.2172,55.256,58.089
3257,0.23898,55.285,58.394
3257,0.26076,55.424,60.56
3257,0.28255,55.455,60.084
3257,0.30436,55.492,60.222
3257,0.32617,55.668,63.112
3257,0.34799,55.705,62.438
3257,0.36982,55.748,62.363
3257,0.39166,55.961,65.994
3257,0.41351,56.004,65.104
3257,0.43537,56.053,64.786
3257,0.45725,56.302,69.167
3257,0.47913,56.349,68.046
3257,0.50102,56.403,67.467
3257,0.52292,56.688,72.601
3257,0.54483,56.738,71.239
3257,0.56675,56.797,70.382
3257,0.58868,57.117,76.272
3257,0.61062,57.17,74.659
3257,0.63257,57.233,73.513
3257,0.65453,57.588,80.161
3257,0.6765,57.643,78.289
3257,0.69848,57.709,76.844
3257,0.72047,58.098,84.253
3257,0.74247,58.156,82.117
3257,0.76448,58.224,80.359
3257,0.7865,58.648,88.535
3257,0.80853,58.706,86.134
3257,0.83057,58.776,84.139
3257,0.85262,59.234,92.997
3257,0.87468,59.294,90.368
3257,0.89675,59.365,88.141
3257,0.91883,59.856,97.628
3257,0.94092,59.917,94.776
3257,0.96302,59.989,92.311
3257,0.98514,60.514,102.42
3257,1.0073,60.574,99.348
3257,1.0294,60.647,96.643
3257,1.0515,61.205,107.37
3257,1.0737,61.264,104.08
3257,1.0958,61.338,101.13
3257,1.118,61.929,112.52
3257,1.1402,61.988,108.96
3257,1.1624,62.062,105.77
3257,1.1846,62.684,117.83
3257,1.2068,62.742,113.99
3257,1.229,62.816,110.55
3257,1.2513,63.471,123.28
3257,1.2735,63.527,119.16
3257,1.2958,63.6,115.46
3257,1.318,64.287,128.87
3257,1.3403,64.342,124.47
3257,1.3626,64.414,120.52
3257,1.3849,65.133,134.59
3257,1.4072,65.186,129.9
3257,1.4295,65.257,125.7
3257,1.4518,66.008,140.44
3257,1.4742,66.058,135.47
3257,1.4965,66.128,131.01
3257,1.5189,66.91,146.42
3257,1.5413,66.958,141.16
3257,1.5636,67.026,136.44
3257,1.586,67.839,152.53
3257,1.6084,67.884,146.98
3257,1.6308,67.95,142.06
3257,1.6533,68.795,158.75
3257,1.6757,68.837,152.91
3257,1.6981,68.901,147.81
3257,1.7206,69.777,165.09
3257,1.7431,69.816,158.96
3257,1.7655,69.877,153.69
3257,1.788,70.784,171.55
3257,1.8105,70.819,165.12
3257,1.833,70.878,159.68
3257,1.8556,71.816,178.11
3257,1.8781,71.847,171.43
3257,1.9006,71.904,165.79
3257,1.9232,72.872,184.79
3257,1.9457,72.9,177.9
3257,1.9683,72.953,172.01
3257,1.9909,73.952,191.57
3257,2.0135,73.975,184.49
3257,2.0361,74.025,178.33
3257,2.0587,75.055,198.45
3257,2.0813,75.071,191.17
3257,2.104,75.111,184.76
3257,2.1266,76.134,204.75
3257,2.1493,76.135,197.37
