"N","Time","avg(f)","max(f)"
32939,0,55,55.001
32939,0.049,54.976,55
32939,0.098,55.005,56.256
32939,0.147,55.099,57.886
32939,0.196,55.19,58.727
32939,0.245,55.386,60.619
32939,0.294,55.513,62.067
32939,0.343,55.671,63.681
32939,0.392,56.095,66.7
32939,0.441,56.228,66.666
32939,0.49,56.411,69.259
32939,0.539,56.766,73.815
32939,0.588,56.96,71.755
32939,0.637,57.392,74.678
32939,0.686,57.594,77.036
32939,0.735,57.835,78.918
32939,0.784,58.67,84.449
32939,0.833,58.817,81.174
32939,0.882,59.044,84.72
32939,0.931,59.502,88.736
32939,0.98,59.747,87.727
32939,1.029,60.446,92.407
32939,1.078,60.647,93.181
32939,1.127,60.919,93.499
32939,1.176,61.966,101.57
32939,1.225,62.105,93.841
32939,1.274,62.409,98.352
32939,1.323,62.956,107.45
32939,1.372,63.227,102.09
32939,1.421,64.312,111.8
32939,1.47,64.478,110.69
32939,1.519,64.745,111.57
32939,1.568,65.836,117.62
32939,1.617,65.996,117.45
32939,1.666,66.444,115.26
32939,1.715,66.951,128.94
32939,1.764,67.245,120.17
32939,1.813,68.478,129.41
32939,1.862,68.631,125.94
32939,1.911,68.92,125.61
32939,1.96,70.262,147.75
32939,2.009,70.388,127.63
32939,2.058,71.003,130.28
32939,2.107,71.435,147.65
32939,2.156,71.74,141.91
32939,2.205,73.394,155.36
32939,2.254,73.47,145.8
32939,2.303,73.744,146.63
32939,2.352,75.167,174.14
32939,2.401,75.285,149.68
32939,2.45,75.994,156.15
32939,2.499,76.271,168.1
32939,2.548,76.594,159.42
32939,2.597,78.833,180.24
32939,2.646,78.813,158.53
32939,2.695,79.022,176.35
32939,2.744,80.252,201.76
32939,2.793,80.395,167.38
32939,2.842,81.464,173.31
32939,2.891,81.671,176.99
32939,2.94,81.981,182.25
32939,2.989,84.305,199.93
32939,3.038,84.24,179.7
32939,3.087,84.446,197.06
32939,3.136,85.85,202.31
32939,3.185,85.952,190.27
32939,3.234,86.976,197.85
32939,3.283,87.188,195.29
32939,3.332,87.512,200.28
32939,3.381,91.284,208.22
32939,3.43,90.908,199.48
32939,3.479,90.952,202.87
32939,3.528,92.198,235.47
32939,3.577,92.242,209.88
32939,3.626,93.719,216.8
32939,3.675,93.75,219.77
32939,3.724,94,220.79
32939,3.773,97.283,237.46
32939,3.822,96.946,211.25
32939,3.871,97.014,223.87
32939,3.92,98.243,259.9
32939,3.969,98.325,219.51
32939,4.018,99.902,238.44
32939,4.067,99.927,243.15
32939,4.116,100.13,237.37
32939,4.165,103.17,256.66
32939,4.214,102.8,230.19
32939,4.263,102.76,242.33
32939,4.312,103.86,266.49
32939,4.361,103.83,238.49
32939,4.41,105.26,243.93
32939,4.459,105.1,245.7
32939,4.508,105.14,251.44
32939,4.557,107.92,268.55
32939,4.606,107.44,239.32
32939,4.655,107.42,259.07
32939,4.704,108.24,284.81
32939,4.753,108.14,245.17
32939,4.802,110.25,263.56
32939,4.851,109.86,261.31
32939,4.9,109.77,253.17
32939,4.949,111.82,273.08
32939,4.998,111.39,248.34
32939,5.047,111.67,246.27
32939,5.096,112.19,293.65
32939,5.145,112.06,250.55
32939,5.194,113.93,265.54
32939,5.243,113.54,271.37
32939,5.292,113.4,268.8
32939,5.341,115.26,287.12
32939,5.39,114.86,263.63
32939,5.439,115.3,258.23
32939,5.488,115.55,299.92
32939,5.537,115.45,255.74
32939,5.586,117.49,277.91
32939,5.635,117.02,265.04
32939,5.684,116.87,261.76
32939,5.733,118.77,291.71
32939,5.782,118.32,260.4
32939,5.831,118.82,260.47
32939,5.88,118.7,297.69
32939,5.929,118.59,272.52
32939,5.978,121.2,281.45
32939,6.027,120.58,266.78
32939,6.076,120.31,272.89
32939,6.125,121.48,287.69
32939,6.174,121.11,272.56
32939,6.223,121.89,273.19
32939,6.272,121.64,254.1
32939,6.321,121.53,266.38
32939,6.37,124.07,294.86
32939,6.419,123.45,267.64
32939,6.468,123.18,274.97
32939,6.517,124.33,295.35
32939,6.566,123.93,264.2
32939,6.615,124.66,277.16
32939,6.664,124.38,268.01
32939,6.713,124.25,274.49
32939,6.762,127.28,296.46
32939,6.811,126.51,281.11
32939,6.86,126.13,286.97
32939,6.909,127.18,304.1
32939,6.958,126.76,261.21
32939,7.007,127.68,282.29
32939,7.056,127.3,268.33
32939,7.105,127.12,277.42
32939,7.154,130.55,294.07
32939,7.203,129.64,287.5
32939,7.252,129.19,292.99
32939,7.301,129.79,292.33
32939,7.35,129.4,279.71
32939,7.399,130.5,283.72
32939,7.448,130.06,278.73
32939,7.497,129.84,277.5
32939,7.546,132.14,297.32
32939,7.595,131.44,290.12
32939,7.644,131.1,276.22
32939,7.693,131.92,296.68
32939,7.742,131.55,274.26
32939,7.791,132.59,288.89
32939,7.84,132.16,283.59
32939,7.889,131.95,278.78
32939,7.938,134.38,300.45
32939,7.987,133.67,269.16
32939,8.036,133.37,276.81
32939,8.085,133.83,305.05
32939,8.134,133.57,276.01
32939,8.183,135.14,297.83
32939,8.232,134.61,275.51
32939,8.281,134.33,289.82
32939,8.33,136.23,313.45
32939,8.379,135.6,277.14
32939,8.428,135.56,283.54
32939,8.477,135.91,303.65
32939,8.526,135.62,275.59
32939,8.575,137.27,304.96
32939,8.624,136.71,291.05
32939,8.673,136.41,272.53
32939,8.722,137.99,306.21
32939,8.771,137.43,283.07
32939,8.82,137.61,299.36
32939,8.869,137.68,305.94
32939,8.918,137.44,289.15
32939,8.967,139.1,315.68
32939,9.016,138.55,290.85
32939,9.065,138.29,296.41
32939,9.114,140.05,312.11
32939,9.163,139.46,281.5
32939,9.212,139.83,306.52
32939,9.261,139.62,282.49
32939,9.31,139.35,280.32
32939,9.359,141.51,324.28
32939,9.408,140.8,279.35
32939,9.457,140.47,292.55
32939,9.506,141.66,316.17
32939,9.555,141.15,284.23
32939,9.604,141.63,312.73
32939,9.653,141.28,281.97
32939,9.702,141.06,289.79
32939,9.751,143.6,330.26
32939,9.8,142.87,282.97
32939,9.849,142.5,288.07
32939,9.898,143.38,334.82
32939,9.947,142.9,281.13
32939,9.996,143.65,321.98
32939,10.045,143.22,294.95
32939,10.094,142.99,292.78
32939,10.143,145.31,337.55
32939,10.192,144.56,284.4
32939,10.241,144.17,280.51
32939,10.29,145.22,333.69
32939,10.339,144.73,285.18
32939,10.388,145.36,327.86
32939,10.437,144.95,284.01
32939,10.486,144.68,295.12
32939,10.535,148.69,334.83
32939,10.584,147.6,298.66
32939,10.633,146.98,283.79
32939,10.682,147.47,341.65
32939,10.731,146.94,300.63
32939,10.78,147.88,327.01
32939,10.829,147.35,289.29
32939,10.878,147.01,295.09
32939,10.927,149.14,343.03
32939,10.976,148.37,290.38
32939,11.025,147.94,288.84
32939,11.074,148.64,336.57
32939,11.123,148.2,301.47
32939,11.172,149.06,329.69
32939,11.221,148.59,292.95
32939,11.27,148.3,293.17
32939,11.319,150.61,345.89
32939,11.368,149.87,295.54
32939,11.417,149.46,290.4
32939,11.466,149.88,334.55
32939,11.515,149.52,290.05
32939,11.564,150.72,336.18
32939,11.613,150.19,288.59
32939,11.662,149.88,298.17
32939,11.711,151.77,337.18
32939,11.76,151.08,289.49
32939,11.809,150.87,295.36
32939,11.858,151.19,340.41
32939,11.907,150.85,295.66
32939,11.956,152.48,329.14
32939,12.005,151.86,292.89
32939,12.054,151.5,304.38
32939,12.103,152.87,340.43
32939,12.152,152.28,290.05
32939,12.201,152.33,300.3
32939,12.25,152.43,341.35
32939,12.299,152.12,296.08
32939,12.348,153.5,330.74
32939,12.397,152.96,292.32
32939,12.446,152.64,311.13
32939,12.495,154.15,348.76
32939,12.544,153.57,294.6
32939,12.593,153.76,301.38
32939,12.642,153.65,328.45
32939,12.691,153.34,300.16
32939,12.74,155.1,334.79
32939,12.789,154.47,293.88
32939,12.838,154.15,310.43
32939,12.887,155.36,348.74
32939,12.936,154.84,299.1
32939,12.985,155.1,305.67
32939,13.034,154.77,302.59
