"N","Time","avg(f)","max(f)"
1,0,55,55
1,0.049,54.998,54.998
1,0.098,54.996,54.996
1,0.147,55.247,55.247
1,0.196,55.237,55.237
1,0.245,55.227,55.227
1,0.294,55.218,55.218
1,0.343,55.208,55.208
1,0.392,55.322,55.322
1,0.441,55.325,55.325
1,0.49,55.325,55.325
1,0.539,57.951,57.951
1,0.588,57.753,57.753
1,0.637,57.575,57.575
1,0.686,57.416,57.416
1,0.735,57.271,57.271
1,0.784,57.787,57.787
1,0.833,57.672,57.672
1,0.882,57.565,57.565
1,0.931,59.687,59.687
1,0.98,59.523,59.523
1,1.029,59.363,59.363
1,1.078,59.208,59.208
1,1.127,59.058,59.058
1,1.176,59.487,59.487
1,1.225,59.368,59.368
1,1.274,59.249,59.249
1,1.323,65.944,65.944
1,1.372,65.322,65.322
1,1.421,64.76,64.76
1,1.47,64.25,64.25
1,1.519,63.787,63.787
1,1.568,63.508,63.508
1,1.617,63.169,63.169
1,1.666,62.858,62.858
1,1.715,63.396,63.396
1,1.764,63.157,63.157
1,1.813,62.929,62.929
1,1.862,62.713,62.713
1,1.911,62.507,62.507
1,1.96,67.089,67.089
1,2.009,66.777,66.777
1,2.058,66.461,66.461
1,2.107,66.321,66.321
1,2.156,66.081,66.081
1,2.205,65.84,65.84
1,2.254,65.6,65.6
1,2.303,65.362,65.362
1,2.352,77.236,77.236
1,2.401,76.086,76.086
1,2.45,75.049,75.049
1,2.499,74.913,74.913
1,2.548,74.306,74.306
1,2.597,73.728,73.728
1,2.646,73.178,73.178
1,2.695,72.654,72.654
1,2.744,83.838,83.838
1,2.793,82.724,82.724
1,2.842,81.672,81.672
1,2.891,80.036,80.036
1,2.94,79.27,79.27
1,2.989,78.531,78.531
1,3.038,77.822,77.822
1,3.087,77.143,77.143
1,3.136,86.166,86.166
1,3.185,84.842,84.842
1,3.234,83.633,83.633
1,3.283,82.526,82.526
1,3.332,81.507,81.507
1,3.381,80.568,80.568
1,3.43,79.703,79.703
1,3.479,78.902,78.902
1,3.528,78.662,78.662
1,3.577,78.175,78.175
1,3.626,77.689,77.689
1,3.675,77.208,77.208
1,3.724,76.736,76.736
1,3.773,76.107,76.107
1,3.822,75.699,75.699
1,3.871,75.301,75.301
1,3.92,96.546,96.546
