"N","Time","avg(f)","max(f)"
3257,0,55,55.001
3257,0.01102,54.997,55.001
3257,0.022042,54.996,55.044
3257,0.033066,54.995,55.118
3257,0.044092,54.996,55.192
3257,0.055121,55,55.285
3257,0.066152,55.009,55.631
3257,0.077186,55.013,55.675
3257,0.088222,55.018,55.638
3257,0.099261,55.023,55.616
3257,0.1103,55.03,55.704
3257,0.12135,55.041,55.774
3257,0.13239,55.065,56.205
3257,0.14344,55.075,56.348
3257,0.15449,55.084,56.307
3257,0.16555,55.095,56.268
3257,0.1766,55.107,56.574
3257,0.18766,55.131,56.686
3257,0.19872,55.164,57.695
3257,0.20979,55.178,57.605
3257,0.22085,55.194,57.519
3257,0.23192,55.209,58.17
3257,0.24299,55.226,58.067
3257,0.25407,55.256,58.564
3257,0.26514,55.298,58.447
3257,0.27622,55.316,58.335
3257,0.2873,55.335,58.228
3257,0.29839,55.356,58.125
3257,0.30947,55.376,58.027
3257,0.32056,55.423,58.712
3257,0.33165,55.473,59.201
3257,0.34275,55.496,59.093
3257,0.35385,55.52,58.989
3257,0.36494,55.543,58.888
3257,0.37605,55.568,58.791
3257,0.38715,55.628,59.635
3257,0.39826,55.675,61.383
3257,0.40937,55.704,61.168
3257,0.42048,55.732,60.974
3257,0.43159,55.761,60.787
3257,0.44271,55.791,60.608
3257,0.45383,55.863,61.94
3257,0.46495,55.924,63.761
3257,0.47607,55.954,63.361
3257,0.4872,55.985,62.988
3257,0.49833,56.017,62.638
3257,0.50946,56.053,62.31
3257,0.5206,56.149,63.499
3257,0.53174,56.204,66.571
3257,0.54288,56.236,66.007
3257,0.55402,56.269,65.481
3257,0.56516,56.305,64.99
3257,0.57631,56.353,64.531
3257,0.58746,56.456,67.47
3257,0.59861,56.522,66.593
3257,0.60977,56.557,66.099
3257,0.62093,56.594,65.636
3257,0.63209,56.631,65.2
3257,0.64325,56.689,64.792
3257,0.65442,56.862,68.206
3257,0.66558,56.926,70.677
3257,0.67675,56.963,69.981
3257,0.68793,57.003,69.328
3257,0.6991,57.043,68.715
3257,0.71028,57.115,68.14
3257,0.72146,57.243,72.279
3257,0.73265,57.301,71.364
3257,0.74383,57.344,70.69
3257,0.75502,57.387,70.057
3257,0.76621,57.427,69.461
3257,0.77741,57.503,68.901
3257,0.7886,57.655,69.172
3257,0.7998,57.71,70.162
3257,0.811,57.753,69.713
3257,0.82221,57.795,69.283
3257,0.83342,57.84,68.873
3257,0.84463,57.943,70.343
3257,0.85584,58.077,75.184
3257,0.86705,58.12,74.388
3257,0.87827,58.166,73.639
3257,0.88949,58.21,74.481
3257,0.90071,58.259,73.898
3257,0.91194,58.354,73.338
3257,0.92317,58.479,72.8
3257,0.9344,58.525,72.284
3257,0.94563,58.571,71.573
3257,0.95686,58.618,70.905
3257,0.9681,58.672,70.698
3257,0.97934,58.795,73.304
3257,0.99059,58.933,73.426
3257,1.0018,58.988,72.948
3257,1.0131,59.038,72.49
3257,1.0243,59.09,72.051
3257,1.0356,59.145,71.631
3257,1.0468,59.292,74.258
3257,1.0581,59.396,76.255
3257,1.0694,59.446,75.384
3257,1.0806,59.497,74.57
3257,1.0919,59.549,73.81
3257,1.1032,59.602,73.1
3257,1.1144,59.754,77.2
3257,1.1257,59.887,80.834
3257,1.137,59.94,79.803
3257,1.1483,59.992,78.84
3257,1.1596,60.049,77.94
3257,1.1708,60.111,77.099
3257,1.1821,60.302,80.949
3257,1.1934,60.403,85.157
3257,1.2047,60.459,83.84
3257,1.216,60.517,82.609
3257,1.2273,60.574,81.458
3257,1.2386,60.655,80.38
3257,1.2499,60.857,81.181
3257,1.2612,60.974,85.478
3257,1.2725,61.029,84.288
3257,1.2839,61.087,83.171
3257,1.2952,61.143,82.123
3257,1.3065,61.248,81.139
3257,1.3178,61.577,87.973
