"N","Time","avg(f)","max(f)"
3257,0,55,55.001
3257,0.048951,54.989,55.002
3257,0.097902,54.989,55.409
3257,0.14685,55.007,56.322
3257,0.1958,55.025,56.219
3257,0.24476,55.08,57.47
3257,0.29371,55.114,57.018
3257,0.34266,55.156,57.54
3257,0.39161,55.299,59.817
3257,0.44056,55.352,59.968
3257,0.48951,55.417,60.233
3257,0.53846,55.538,63.302
3257,0.58741,55.608,62.302
3257,0.63636,55.76,63.365
3257,0.68531,55.851,62.962
3257,0.73427,55.938,63.103
3257,0.78322,56.224,67.431
3257,0.83217,56.317,65.583
3257,0.88112,56.417,64.139
3257,0.93007,56.613,68.427
3257,0.97902,56.726,67.533
3257,1.028,56.946,72.015
3257,1.0769,57.06,69.777
3257,1.1259,57.18,67.942
3257,1.1748,57.63,78.88
3257,1.2238,57.747,75.993
3257,1.2727,57.869,74.977
3257,1.3217,58.093,80.067
3257,1.3706,58.222,77.538
3257,1.4196,58.593,83.601
3257,1.4685,58.721,80.465
3257,1.5175,58.861,77.887
3257,1.5664,59.338,87.18
3257,1.6154,59.467,83.959
3257,1.6643,59.657,83.269
3257,1.7133,59.934,85.52
3257,1.7622,60.093,83.228
3257,1.8112,60.598,89.264
3257,1.8601,60.731,85.165
3257,1.9091,60.88,89.539
3257,1.958,61.376,97.462
3257,2.007,61.522,93.341
3257,2.0559,61.767,93.166
3257,2.1049,62.043,91.997
3257,2.1538,62.201,91.245
3257,2.2028,62.733,104.5
3257,2.2517,62.902,99.886
3257,2.3007,63.066,95.946
3257,2.3497,63.65,99.336
3257,2.3986,63.799,94.924
3257,2.4476,64.11,97.07
3257,2.4965,64.385,105.65
3257,2.5455,64.55,99.545
3257,2.5944,65.231,106.38
3257,2.6434,65.393,99.645
3257,2.6923,65.581,100.44
3257,2.7413,66.352,112.98
3257,2.7902,66.511,108.02
3257,2.8392,66.86,111.25
3257,2.8881,67.066,106.69
3257,2.9371,67.218,107.98
3257,2.986,68.18,126.1
3257,3.035,68.317,119.53
3257,3.0839,68.47,113.88
3257,3.1329,69.106,120.83
3257,3.1818,69.229,117.62
3257,3.2308,69.597,118.07
3257,3.2797,69.781,122.09
3257,3.3287,69.956,117.66
3257,3.3776,71.106,128.24
3257,3.4266,71.211,122.11
3257,3.4755,71.365,122.09
3257,3.5245,71.88,129.46
3257,3.5734,72.048,124.78
3257,3.6224,72.604,135.03
3257,3.6713,72.757,127.06
