"N","Time","avg(f)","max(f)","med(f)","min(f)"
1,0,55,55,55,55
1,0.049,54.997,54.997,54.997,54.997
1,0.098,54.995,54.995,54.995,54.995
1,0.147,55.342,55.342,55.342,55.342
1,0.196,55.303,55.303,55.303,55.303
1,0.245,55.269,55.269,55.269,55.269
1,0.294,55.239,55.239,55.239,55.239
1,0.343,55.213,55.213,55.213,55.213
1,0.392,55.152,55.152,55.152,55.152
1,0.441,55.138,55.138,55.138,55.138
1,0.49,55.126,55.126,55.126,55.126
1,0.539,57.694,57.694,57.694,57.694
1,0.588,57.451,57.451,57.451,57.451
1,0.637,57.237,57.237,57.237,57.237
1,0.686,57.047,57.047,57.047,57.047
1,0.735,56.878,56.878,56.878,56.878
1,0.784,57.303,57.303,57.303,57.303
1,0.833,57.162,57.162,57.162,57.162
1,0.882,57.037,57.037,57.037,57.037
1,0.931,62.737,62.737,62.737,62.737
1,0.98,62.041,62.041,62.041,62.041
1,1.029,61.432,61.432,61.432,61.432
1,1.078,60.897,60.897,60.897,60.897
1,1.127,60.427,60.427,60.427,60.427
1,1.176,59.857,59.857,59.857,59.857
1,1.225,59.516,59.516,59.516,59.516
1,1.274,59.217,59.217,59.217,59.217
1,1.323,65.611,65.611,65.611,65.611
1,1.372,64.771,64.771,64.771,64.771
1,1.421,64.027,64.027,64.027,64.027
1,1.47,63.369,63.369,63.369,63.369
1,1.519,62.785,62.785,62.785,62.785
1,1.568,63.555,63.555,63.555,63.555
1,1.617,63.031,63.031,63.031,63.031
1,1.666,62.564,62.564,62.564,62.564
1,1.715,61.671,61.671,61.671,61.671
1,1.764,61.367,61.367,61.367,61.367
1,1.813,61.097,61.097,61.097,61.097
1,1.862,60.857,60.857,60.857,60.857
1,1.911,60.642,60.642,60.642,60.642
1,1.96,73.548,73.548,73.548,73.548
1,2.009,71.985,71.985,71.985,71.985
1,2.058,70.615,70.615,70.615,70.615
1,2.107,71.022,71.022,71.022,71.022
1,2.156,69.918,69.918,69.918,69.918
1,2.205,68.942,68.942,68.942,68.942
1,2.254,68.078,68.078,68.078,68.078
1,2.303,67.312,67.312,67.312,67.312
1,2.352,78.452,78.452,78.452,78.452
1,2.401,76.762,76.762,76.762,76.762
1,2.45,75.263,75.263,75.263,75.263
1,2.499,75.77,75.77,75.77,75.77
1,2.548,74.427,74.427,74.427,74.427
1,2.597,73.242,73.242,73.242,73.242
1,2.646,72.194,72.194,72.194,72.194
1,2.695,71.265,71.265,71.265,71.265
1,2.744,88.76,88.76,88.76,88.76
1,2.793,86.091,86.091,86.091,86.091
1,2.842,83.745,83.745,83.745,83.745
1,2.891,84.082,84.082,84.082,84.082
1,2.94,82.128,82.128,82.128,82.128
1,2.989,80.4,80.4,80.4,80.4
1,3.038,78.868,78.868,78.868,78.868
1,3.087,77.506,77.506,77.506,77.506
1,3.136,91.909,91.909,91.909,91.909
1,3.185,89.4,89.4,89.4,89.4
1,3.234,87.168,87.168,87.168,87.168
1,3.283,85.2,85.2,85.2,85.2
1,3.332,83.422,83.422,83.422,83.422
1,3.381,81.835,81.835,81.835,81.835
1,3.43,80.41,80.41,80.41,80.41
1,3.479,79.131,79.131,79.131,79.131
1,3.528,83.223,83.223,83.223,83.223
1,3.577,81.637,81.637,81.637,81.637
1,3.626,80.221,80.221,80.221,80.221
1,3.675,78.958,78.958,78.958,78.958
1,3.724,77.821,77.821,77.821,77.821
1,3.773,76.548,76.548,76.548,76.548
1,3.822,75.64,75.64,75.64,75.64
1,3.871,74.823,74.823,74.823,74.823
1,3.92,100.95,100.95,100.95,100.95
1,3.969,97.693,97.693,97.693,97.693
1,4.018,94.803,94.803,94.803,94.803
1,4.067,92.235,92.235,92.235,92.235
1,4.116,89.948,89.948,89.948,89.948
1,4.165,89.241,89.241,89.241,89.241
1,4.214,87.494,87.494,87.494,87.494
1,4.263,85.925,85.925,85.925,85.925
1,4.312,93.611,93.611,93.611,93.611
1,4.361,91.522,91.522,91.522,91.522
1,4.41,89.653,89.653,89.653,89.653
1,4.459,87.978,87.978,87.978,87.978
1,4.508,86.474,86.474,86.474,86.474
1,4.557,84.005,84.005,84.005,84.005
1,4.606,82.943,82.943,82.943,82.943
1,4.655,81.989,81.989,81.989,81.989
1,4.704,108.67,108.67,108.67,108.67
1,4.753,105.23,105.23,105.23,105.23
1,4.802,102.18,102.18,102.18,102.18
1,4.851,99.465,99.465,99.465,99.465
1,4.9,97.048,97.048,97.048,97.048
1,4.949,96.521,96.521,96.521,96.521
1,4.998,94.559,94.559,94.559,94.559
1,5.047,92.797,92.797,92.797,92.797
1,5.096,92.011,92.011,92.011,92.011
1,5.145,90.617,90.617,90.617,90.617
1,5.194,89.354,89.354,89.354,89.354
1,5.243,88.207,88.207,88.207,88.207
1,5.292,87.162,87.162,87.162,87.162
1,5.341,94.995,94.995,94.995,94.995
1,5.39,93.211,93.211,93.211,93.211
1,5.439,91.621,91.621,91.621,91.621
1,5.488,91.839,91.839,91.839,91.839
1,5.537,90.519,90.519,90.519,90.519
1,5.586,89.334,89.334,89.334,89.334
1,5.635,88.267,88.267,88.267,88.267
1,5.684,87.303,87.303,87.303,87.303
1,5.733,106.32,106.32,106.32,106.32
1,5.782,103.66,103.66,103.66,103.66
1,5.831,101.28,101.28,101.28,101.28
1,5.88,97.728,97.728,97.728,97.728
1,5.929,96.114,96.114,96.114,96.114
1,5.978,94.666,94.666,94.666,94.666
1,6.027,93.361,93.361,93.361,93.361
1,6.076,92.183,92.183,92.183,92.183
1,6.125,99.581,99.581,99.581,99.581
1,6.174,97.787,97.787,97.787,97.787
1,6.223,96.181,96.181,96.181,96.181
1,6.272,98.007,98.007,98.007,98.007
1,6.321,96.544,96.544,96.544,96.544
1,6.37,95.228,95.228,95.228,95.228
1,6.419,94.038,94.038,94.038,94.038
1,6.468,92.961,92.961,92.961,92.961
1,6.517,111.62,111.62,111.62,111.62
1,6.566,108.89,108.89,108.89,108.89
1,6.615,106.44,106.44,106.44,106.44
1,6.664,104.12,104.12,104.12,104.12
1,6.713,102.18,102.18,102.18,102.18
1,6.762,100.43,100.43,100.43,100.43
1,6.811,98.85,98.85,98.85,98.85
1,6.86,97.42,97.42,97.42,97.42
1,6.909,94.814,94.814,94.814,94.814
1,6.958,93.868,93.868,93.868,93.868
1,7.007,92.989,92.989,92.989,92.989
1,7.056,92.175,92.175,92.175,92.175
1,7.105,91.409,91.409,91.409,91.409
1,7.154,90.521,90.521,90.521,90.521
1,7.203,89.882,89.882,89.882,89.882
1,7.252,89.281,89.281,89.281,89.281
1,7.301,113.78,113.78,113.78,113.78
1,7.35,110.51,110.51,110.51,110.51
1,7.399,107.63,107.63,107.63,107.63
1,7.448,105.07,105.07,105.07,105.07
1,7.497,102.8,102.8,102.8,102.8
1,7.546,103.4,103.4,103.4,103.4
1,7.595,101.42,101.42,101.42,101.42
1,7.644,99.648,99.648,99.648,99.648
1,7.693,102,102,102,102
1,7.742,100.49,100.49,100.49,100.49
1,7.791,99.112,99.112,99.112,99.112
1,7.84,97.861,97.861,97.861,97.861
1,7.889,96.722,96.722,96.722,96.722
1,7.938,98.353,98.353,98.353,98.353
1,7.987,97.283,97.283,97.283,97.283
1,8.036,96.309,96.309,96.309,96.309
1,8.085,122.2,122.2,122.2,122.2
1,8.134,118.53,118.53,118.53,118.53
1,8.183,115.29,115.29,115.29,115.29
1,8.232,112.42,112.42,112.42,112.42
1,8.281,109.88,109.88,109.88,109.88
1,8.33,108.99,108.99,108.99,108.99
1,8.379,106.96,106.96,106.96,106.96
1,8.428,105.15,105.15,105.15,105.15
1,8.477,106.03,106.03,106.03,106.03
1,8.526,104.45,104.45,104.45,104.45
1,8.575,103.02,103.02,103.02,103.02
1,8.624,101.72,101.72,101.72,101.72
1,8.673,100.55,100.55,100.55,100.55
1,8.722,104.36,104.36,104.36,104.36
1,8.771,102.88,102.88,102.88,102.88
1,8.82,101.55,101.55,101.55,101.55
1,8.869,99.861,99.861,99.861,99.861
1,8.918,98.875,98.875,98.875,98.875
1,8.967,97.992,97.992,97.992,97.992
1,9.016,97.199,97.199,97.199,97.199
1,9.065,96.481,96.481,96.481,96.481
1,9.114,123.85,123.85,123.85,123.85
1,9.163,120.37,120.37,120.37,120.37
1,9.212,117.29,117.29,117.29,117.29
1,9.261,113.52,113.52,113.52,113.52
1,9.31,111.26,111.26,111.26,111.26
1,9.359,109.25,109.25,109.25,109.25
