"N","Time","avg(f)"
1,0,55
1,0.049,54.998
1,0.098,54.995
1,0.147,55.714
1,0.196,55.627
1,0.245,55.555
1,0.294,55.496
1,0.343,55.446
1,0.392,55.375
1,0.441,55.378
1,0.49,55.371
1,0.539,59.006
1,0.588,58.766
1,0.637,58.518
1,0.686,58.279
1,0.735,58.056
1,0.784,59.345
1,0.833,59.07
1,0.882,58.82
1,0.931,65.094
1,0.98,64.26
1,1.029,63.529
1,1.078,62.89
1,1.127,62.332
1,1.176,62.447
1,1.225,62.121
1,1.274,61.799
1,1.323,71.281
1,1.372,70.082
1,1.421,69.007
1,1.47,68.051
1,1.519,67.205
1,1.568,67.187
1,1.617,66.759
1,1.666,66.303
1,1.715,66.746
1,1.764,66.461
1,1.813,66.134
1,1.862,65.793
1,1.911,65.453
1,1.96,78.929
1,2.009,77.254
1,2.058,75.783
1,2.107,75.468
1,2.156,74.653
1,2.205,73.832
1,2.254,73.039
1,2.303,72.292
1,2.352,89.117
1,2.401,86.672
1,2.45,84.521
1,2.499,91.057
1,2.548,88.298
1,2.597,86.006
1,2.646,84.074
1,2.695,82.424
1,2.744,100.54
1,2.793,98.099
1,2.842,95.709
1,2.891,93.461
1,2.94,91.832
1,2.989,90.232
1,3.038,88.717
1,3.087,87.308
1,3.136,109.36
1,3.185,105.72
1,3.234,102.53
1,3.283,99.73
1,3.332,97.274
1,3.381,95.111
1,3.43,93.198
1,3.479,91.497
1,3.528,89.087
1,3.577,88.785
1,3.626,88.227
1,3.675,87.541
1,3.724,86.803
1,3.773,86.09
1,3.822,85.319
1,3.871,84.593
1,3.92,111.21
1,3.969,108.94
1,4.018,106.67
1,4.067,104.49
1,4.116,102.46
1,4.165,113.99
1,4.214,110.93
1,4.263,108.27
1,4.312,114.91
1,4.361,112.16
1,4.41,109.79
1,4.459,107.71
1,4.508,105.87
1,4.557,104.32
1,4.606,102.87
1,4.655,101.53
1,4.704,128.59
1,4.753,125.78
1,4.802,123.02
1,4.851,120.42
1,4.9,118
1,4.949,129.38
1,4.998,125.72
1,5.047,122.59
1,5.096,120.15
1,5.145,117.66
1,5.194,115.54
1,5.243,113.69
1,5.292,112.06
1,5.341,123.5
1,5.39,121.15
1,5.439,119.02
1,5.488,130.52
1,5.537,127.13
1,5.586,124.26
1,5.635,121.77
1,5.684,119.58
1,5.733,145.71
1,5.782,142.25
1,5.831,138.92
1,5.88,137.1
1,5.929,134.61
1,5.978,132.21
1,6.027,129.95
1,6.076,127.84
1,6.125,139.03
1,6.174,136.06
1,6.223,133.44
1,6.272,138.76
1,6.321,136.14
1,6.37,133.74
1,6.419,131.54
1,6.468,129.53
1,6.517,155.4
1,6.566,152.08
1,6.615,148.8
1,6.664,145.68
1,6.713,142.76
1,6.762,140.06
1,6.811,137.57
1,6.86,135.29
1,6.909,133.34
1,6.958,131.28
1,7.007,129.45
1,7.056,127.81
1,7.105,126.31
1,7.154,124.94
1,7.203,123.66
1,7.252,122.47
1,7.301,147.9
1,7.35,145.22
1,7.399,142.6
1,7.448,140.12
1,7.497,137.8
1,7.546,147.91
1,7.595,144.63
1,7.644,141.73
1,7.693,152.58
1,7.742,149.53
1,7.791,146.59
1,7.84,143.86
1,7.889,141.34
1,7.938,139.09
1,7.987,137.57
1,8.036,136.03
1,8.085,161.16
1,8.134,158.08
1,8.183,155.09
1,8.232,152.26
1,8.281,149.63
1,8.33,159.61
1,8.379,155.96
1,8.428,152.75
1,8.477,157.49
1,8.526,155.14
1,8.575,152.67
1,8.624,150.24
1,8.673,147.94
1,8.722,145.91
1,8.771,143.83
1,8.82,141.96
1,8.869,152.23
1,8.918,149.34
1,8.967,146.83
1,9.016,144.62
1,9.065,142.66
1,9.114,166.86
1,9.163,163.67
1,9.212,160.62
1,9.261,157.79
1,9.31,155.17
1,9.359,152.76
1,9.408,150.56
1,9.457,148.54
1,9.506,146.01
1,9.555,146.19
1,9.604,145.77
1,9.653,157.02
1,9.702,154.9
1,9.751,152.89
1,9.8,151.02
1,9.849,149.29
1,9.898,173.35
1,9.947,170.34
1,9.996,167.4
1,10.045,164.68
1,10.094,162.07
1,10.143,159.66
1,10.192,157.44
1,10.241,155.41
1,10.29,153.67
1,10.339,152.66
1,10.388,151.5
1,10.437,150.28
1,10.486,149.05
1,10.535,147.83
1,10.584,146.65
1,10.633,145.52
1,10.682,168.57
1,10.731,165.13
1,10.78,162.06
1,10.829,159.32
1,10.878,156.86
1,10.927,155.58
1,10.976,154.04
1,11.025,152.49
1,11.074,176.32
1,11.123,172.5
1,11.172,169.03
1,11.221,165.88
1,11.27,163.05
1,11.319,162.82
1,11.368,160.97
1,11.417,159.13
1,11.466,181.57
1,11.515,178.39
1,11.564,175.17
1,11.613,172.08
1,11.662,169.17
1,11.711,168.23
1,11.76,166.07
1,11.809,163.98
1,11.858,187.37
1,11.907,182.8
1,11.956,178.73
