"N","Time","avg(f)","max(Y)"
1,0,25,241.5
1,0.049,25,241.5
1,0.098,25,241.5
1,0.147,25.43,241.5
1,0.196,25.36,241.5
1,0.245,25.31,241.5
1,0.294,25.273,241.5
1,0.343,25.244,241.5
1,0.392,25.202,241.5
1,0.441,25.203,241.5
1,0.49,25.202,241.5
1,0.539,28.324,241.5
1,0.588,27.964,241.5
1,0.637,27.678,241.5
1,0.686,27.444,241.5
1,0.735,27.247,241.5
1,0.784,28.729,241.5
1,0.833,28.592,241.5
1,0.882,28.424,241.5
1,0.931,34.06,241.5
1,0.98,33.012,241.5
1,1.029,32.192,241.5
1,1.078,31.531,241.5
1,1.127,30.985,241.5
1,1.176,30.234,241.5
1,1.225,30.098,241.5
1,1.274,29.935,241.5
1,1.323,37.977,241.5
1,1.372,36.803,241.5
1,1.421,35.85,241.5
1,1.47,35.054,241.5
1,1.519,34.376,241.5
1,1.568,34.874,241.5
1,1.617,34.463,241.5
1,1.666,34.047,241.5
1,1.715,33.206,241.5
1,1.764,33.219,241.5
1,1.813,33.125,241.5
1,1.862,32.97,241.5
1,1.911,32.782,241.5
1,1.96,44.786,241.5
1,2.009,42.775,241.5
1,2.058,41.226,241.5
1,2.107,43.141,241.5
1,2.156,42.028,241.5
1,2.205,41.051,241.5
1,2.254,40.189,241.5
1,2.303,39.423,241.5
1,2.352,53.468,241.5
1,2.401,51.077,241.5
1,2.45,49.132,241.5
1,2.499,53.179,241.5
1,2.548,51.358,241.5
1,2.597,49.797,241.5
1,2.646,48.434,241.5
1,2.695,47.229,241.5
1,2.744,63.387,241.5
1,2.793,59.934,241.5
1,2.842,57.206,241.5
1,2.891,54.582,241.5
1,2.94,53.292,241.5
1,2.989,52.083,241.5
1,3.038,50.962,241.5
1,3.087,49.931,241.5
1,3.136,67.356,241.5
1,3.185,64.05,241.5
1,3.234,61.363,241.5
1,3.283,59.123,241.5
1,3.332,57.217,241.5
1,3.381,55.574,241.5
1,3.43,54.14,241.5
1,3.479,52.878,241.5
1,3.528,51.406,241.5
1,3.577,50.885,241.5
1,3.626,50.294,241.5
1,3.675,49.679,241.5
1,3.724,49.068,241.5
1,3.773,48.495,241.5
1,3.822,47.922,241.5
1,3.871,47.379,241.5
1,3.92,70.016,241.5
1,3.969,67.303,241.5
1,4.018,65.048,241.5
1,4.067,63.124,241.5
1,4.116,61.453,241.5
1,4.165,68.794,241.5
1,4.214,66.957,241.5
1,4.263,65.308,241.5
1,4.312,72.245,241.5
1,4.361,70.004,241.5
1,4.41,68.112,241.5
1,4.459,66.462,241.5
1,4.508,64.995,241.5
1,4.557,63.641,241.5
1,4.606,62.546,241.5
1,4.655,61.552,241.5
1,4.704,84.541,241.5
1,4.753,81.424,241.5
1,4.802,78.795,241.5
1,4.851,76.52,241.5
1,4.9,74.517,241.5
1,4.949,78.378,241.5
1,4.998,76.798,241.5
1,5.047,75.241,241.5
1,5.096,73.806,241.5
1,5.145,72.376,241.5
1,5.194,71.089,241.5
1,5.243,69.912,241.5
1,5.292,68.826,241.5
1,5.341,76.886,241.5
1,5.39,74.589,241.5
1,5.439,72.765,241.5
1,5.488,76.737,241.5
1,5.537,75.465,241.5
1,5.586,74.223,241.5
1,5.635,73.03,241.5
1,5.684,71.897,241.5
1,5.733,94.401,241.5
1,5.782,91.194,241.5
1,5.831,88.438,241.5
1,5.88,85.181,241.5
1,5.929,83.691,241.5
1,5.978,82.204,241.5
1,6.027,80.761,241.5
1,6.076,79.385,241.5
1,6.125,90.357,241.5
1,6.174,87.133,241.5
1,6.223,84.633,241.5
1,6.272,90.962,241.5
1,6.321,89.26,241.5
1,6.37,87.546,241.5
1,6.419,85.876,241.5
1,6.468,84.283,241.5
1,6.517,106.31,241.5
1,6.566,102.66,241.5
1,6.615,99.52,241.5
1,6.664,96.719,241.5
1,6.713,94.257,241.5
1,6.762,92.044,241.5
1,6.811,90.041,241.5
1,6.86,88.219,241.5
1,6.909,86.864,241.5
1,6.958,85.087,241.5
1,7.007,83.565,241.5
1,7.056,82.223,241.5
1,7.105,81.016,241.5
1,7.154,79.914,241.5
1,7.203,78.904,241.5
1,7.252,77.96,241.5
1,7.301,99.02,241.5
1,7.35,96.484,241.5
1,7.399,94.155,241.5
1,7.448,92.018,241.5
1,7.497,90.06,241.5
1,7.546,96.585,241.5
1,7.595,94.309,241.5
1,7.644,92.268,241.5
1,7.693,100.64,241.5
1,7.742,98.536,241.5
1,7.791,96.418,241.5
1,7.84,94.37,241.5
1,7.889,92.439,241.5
1,7.938,90.243,241.5
1,7.987,89.225,241.5
1,8.036,88.105,241.5
1,8.085,108.96,241.5
1,8.134,106.12,241.5
1,8.183,103.49,241.5
1,8.232,101.06,241.5
1,8.281,98.819,241.5
1,8.33,105.14,241.5
1,8.379,102.72,241.5
1,8.428,100.51,241.5
1,8.477,103.93,241.5
1,8.526,102.47,241.5
1,8.575,100.8,241.5
1,8.624,99.057,241.5
1,8.673,97.346,241.5
1,8.722,95.856,241.5
1,8.771,94.334,241.5
1,8.82,92.935,241.5
1,8.869,99.781,241.5
1,8.918,98.06,241.5
1,8.967,96.483,241.5
1,9.016,95.024,241.5
1,9.065,93.666,241.5
1,9.114,114.36,241.5
1,9.163,111.12,241.5
1,9.212,108.32,241.5
1,9.261,105.9,241.5
1,9.31,103.9,241.5
1,9.359,102.06,241.5
1,9.408,100.35,241.5
1,9.457,98.782,241.5
1,9.506,99.784,241.5
1,9.555,99.12,241.5
1,9.604,98.193,241.5
1,9.653,105.2,241.5
1,9.702,103.58,241.5
1,9.751,102.04,241.5
1,9.8,100.58,241.5
1,9.849,99.208,241.5
1,9.898,119.66,241.5
1,9.947,116.38,241.5
1,9.996,113.55,241.5
1,10.045,111.23,241.5
1,10.094,108.92,241.5
1,10.143,106.89,241.5
1,10.192,105.08,241.5
1,10.241,103.44,241.5
1,10.29,101.49,241.5
1,10.339,100.98,241.5
1,10.388,100.24,241.5
1,10.437,99.382,241.5
1,10.486,98.472,241.5
1,10.535,97.551,241.5
1,10.584,96.638,241.5
1,10.633,95.746,241.5
1,10.682,116.44,241.5
1,10.731,112.35,241.5
1,10.78,109.11,241.5
1,10.829,106.47,241.5
1,10.878,104.24,241.5
1,10.927,101.52,241.5
1,10.976,100.6,241.5
1,11.025,99.626,241.5
1,11.074,119.91,241.5
1,11.123,116.34,241.5
1,11.172,113.36,241.5
1,11.221,110.81,241.5
1,11.27,108.57,241.5
1,11.319,114.13,241.5
1,11.368,112.28,241.5
1,11.417,110.42,241.5
1,11.466,130.22,241.5
1,11.515,125.31,241.5
1,11.564,121.32,241.5
1,11.613,117.97,241.5
1,11.662,115.1,241.5
1,11.711,117.58,241.5
1,11.76,114.91,241.5
1,11.809,112.64,241.5
1,11.858,130.25,241.5
1,11.907,126.12,241.5
1,11.956,122.64,241.5
1,12.005,119.64,241.5
1,12.054,117.02,241.5
1,12.103,114.22,241.5
1,12.152,112.8,241.5
1,12.201,111.34,241.5
1,12.25,114.76,241.5
1,12.299,112.95,241.5
1,12.348,111.34,241.5
1,12.397,109.85,241.5
1,12.446,108.47,241.5
1,12.495,127.59,241.5
1,12.544,123.72,241.5
1,12.593,120.56,241.5
1,12.642,117.42,241.5
1,12.691,115.75,241.5
1,12.74,114.13,241.5
1,12.789,112.58,241.5
1,12.838,111.12,241.5
1,12.887,129.07,241.5
1,12.936,125.21,241.5
1,12.985,122,241.5
1,13.034,126.69,241.5
1,13.083,123.74,241.5
1,13.132,121.18,241.5
1,13.181,118.9,241.5
1,13.23,116.85,241.5
1,13.279,134.68,241.5
1,13.328,131.11,241.5
1,13.377,128,241.5
1,13.426,124.95,241.5
1,13.475,123.01,241.5
1,13.524,121.12,241.5
1,13.573,119.31,241.5
1,13.622,117.61,241.5
1,13.671,125.46,241.5
1,13.72,123.56,241.5
1,13.769,121.68,241.5
1,13.818,119.86,241.5
1,13.867,118.14,241.5
1,13.916,116.52,241.5
1,13.965,115.01,241.5
1,14.014,113.61,241.5
1,14.063,119.08,241.5
1,14.112,116.81,241.5
1,14.161,114.95,241.5
1,14.21,113.36,241.5
1,14.259,111.96,241.5
1,14.308,110.74,241.5
1,14.357,109.58,241.5
1,14.406,108.52,241.5
1,14.455,126.34,241.5
1,14.504,123.68,241.5
1,14.553,121.39,241.5
1,14.602,119.39,241.5
1,14.651,117.6,241.5
1,14.7,125.14,241.5
1,14.749,123.47,241.5
1,14.798,121.77,241.5
1,14.847,127.7,241.5
1,14.896,124.79,241.5
1,14.945,122.41,241.5
1,14.994,120.39,241.5
1,15.043,118.63,241.5
1,15.092,117.04,241.5
1,15.141,115.71,241.5
1,15.19,114.51,241.5
1,15.239,132.01,241.5
1,15.288,129.21,241.5
1,15.337,126.81,241.5
1,15.386,124.69,241.5
1,15.435,122.79,241.5
1,15.484,125.57,241.5
1,15.533,123.94,241.5
1,15.582,122.39,241.5
1,15.631,120.96,241.5
1,15.68,119.57,241.5
1,15.729,118.31,241.5
1,15.778,117.14,241.5
1,15.827,116.05,241.5
1,15.876,124.25,241.5
1,15.925,121.96,241.5
1,15.974,120.11,241.5
1,16.023,122.91,241.5
1,16.072,121.49,241.5
1,16.121,120.17,241.5
1,16.17,118.92,241.5
1,16.219,117.75,241.5
1,16.268,134.81,241.5
1,16.317,132.05,241.5
1,16.366,129.66,241.5
1,16.415,126.74,241.5
1,16.464,125.55,241.5
1,16.513,124.31,241.5
1,16.562,123.07,241.5
1,16.611,121.85,241.5
1,16.66,130.07,241.5
1,16.709,127.42,241.5
1,16.758,125.32,241.5
1,16.807,127.94,241.5
1,16.856,126.3,241.5
1,16.905,124.8,241.5
1,16.954,123.42,241.5
1,17.003,122.13,241.5
1,17.052,138.85,241.5
1,17.101,135.97,241.5
1,17.15,133.49,241.5
1,17.199,131.29,241.5
1,17.248,129.33,241.5
1,17.297,127.56,241.5
1,17.346,125.95,241.5
1,17.395,124.47,241.5
1,17.444,123.24,241.5
1,17.493,121.89,241.5
1,17.542,120.67,241.5
1,17.591,119.57,241.5
1,17.64,118.56,241.5
1,17.689,117.62,241.5
1,17.738,116.75,241.5
1,17.787,115.93,241.5
1,17.836,131.75,241.5
1,17.885,129.67,241.5
1,17.934,127.78,241.5
1,17.983,126.06,241.5
1,18.032,124.49,241.5
1,18.081,129.34,241.5
1,18.13,127.53,241.5
1,18.179,125.9,241.5
1,18.228,126.31,241.5
1,18.277,125.48,241.5
1,18.326,124.49,241.5
1,18.375,123.42,241.5
1,18.424,122.35,241.5
1,18.473,121.09,241.5
1,18.522,120.53,241.5
1,18.571,119.86,241.5
1,18.62,135.95,241.5
1,18.669,133.64,241.5
1,18.718,131.63,241.5
1,18.767,129.86,241.5
1,18.816,128.26,241.5
1,18.865,133.06,241.5
1,18.914,131.33,241.5
1,18.963,129.76,241.5
1,19.012,127.96,241.5
1,19.061,127.31,241.5
1,19.11,126.48,241.5
1,19.159,125.58,241.5
1,19.208,124.66,241.5
1,19.257,123.61,241.5
1,19.306,123.01,241.5
1,19.355,122.35,241.5
1,19.404,127.69,241.5
1,19.453,126.62,241.5
1,19.502,125.61,241.5
1,19.551,124.64,241.5
1,19.6,123.72,241.5
1,19.649,139.1,241.5
1,19.698,136.71,241.5
1,19.747,134.65,241.5
1,19.796,132.75,241.5
1,19.845,131.24,241.5
1,19.894,129.87,241.5
1,19.943,128.61,241.5
1,19.992,127.46,241.5
1,20.041,125.8,241.5
1,20.09,125.8,241.5
1,20.139,125.5,241.5
1,20.188,132.78,241.5
1,20.237,132.01,241.5
1,20.286,131.07,241.5
1,20.335,130.05,241.5
1,20.384,129.02,241.5
1,20.433,144.04,241.5
1,20.482,141.51,241.5
1,20.531,139.32,241.5
1,20.58,137.37,241.5
1,20.629,135.65,241.5
1,20.678,134.08,241.5
1,20.727,132.66,241.5
1,20.776,131.36,241.5
1,20.825,129.97,241.5
1,20.874,129.33,241.5
1,20.923,128.6,241.5
1,20.972,127.82,241.5
