"N","Time","avg(f)","max(f)"
3257,0,60,60.001
3257,0.021496,59.994,60.001
3257,0.042992,59.989,59.998
3257,0.064488,59.983,59.995
3257,0.085984,59.978,59.994
3257,0.10748,59.973,59.991
3257,0.12898,59.968,59.988
3257,0.15047,59.963,59.986
3257,0.17197,59.958,59.985
3257,0.19346,59.954,59.982
3257,0.21496,59.95,59.979
3257,0.23646,59.945,59.978
3257,0.25795,59.941,59.973
3257,0.27945,59.937,59.973
3257,0.30094,59.933,59.97
3257,0.32244,59.929,59.971
3257,0.34394,59.926,59.971
3257,0.36543,59.923,59.967
3257,0.38693,59.919,59.963
3257,0.40842,59.915,59.963
3257,0.42992,59.913,59.96
3257,0.45142,59.909,59.964
3257,0.47291,59.906,59.959
3257,0.49441,59.904,59.967
3257,0.5159,59.9,59.966
3257,0.5374,59.897,59.96
3257,0.5589,59.895,59.971
3257,0.58039,59.892,59.959
3257,0.60189,59.889,59.962
3257,0.62338,59.887,59.956
3257,0.64488,59.885,59.973
3257,0.66638,59.882,59.964
3257,0.68787,59.879,59.967
3257,0.70937,59.878,59.988
3257,0.73086,59.876,59.977
3257,0.75236,59.873,59.965
3257,0.77386,59.872,59.996
3257,0.79535,59.87,59.984
3257,0.81685,59.868,59.973
3257,0.83834,59.866,60.018
3257,0.85984,59.864,60.005
3257,0.88134,59.862,59.992
3257,0.90283,59.86,59.981
3257,0.92433,59.86,60.009
3257,0.94582,59.858,59.996
3257,0.96732,59.856,59.983
3257,0.98882,59.856,60.022
3257,1.0103,59.854,60.009
3257,1.0318,59.852,59.996
3257,1.0533,59.85,60.043
3257,1.0748,59.849,60.029
3257,1.0963,59.848,60.015
3257,1.1178,59.846,60.002
3257,1.1393,59.847,60.047
3257,1.1608,59.845,60.032
3257,1.1823,59.843,60.017
3257,1.2038,59.844,60.084
3257,1.2253,59.843,60.066
3257,1.2468,59.841,60.049
3257,1.2683,59.841,60.083
3257,1.2898,59.84,60.064
3257,1.3113,59.838,60.046
3257,1.3328,59.837,60.137
3257,1.3542,59.838,60.115
3257,1.3757,59.836,60.095
3257,1.3972,59.835,60.076
3257,1.4187,59.837,60.119
3257,1.4402,59.835,60.098
3257,1.4617,59.834,60.079
3257,1.4832,59.835,60.145
3257,1.5047,59.834,60.123
3257,1.5262,59.833,60.103
3257,1.5477,59.833,60.219
3257,1.5692,59.833,60.192
3257,1.5907,59.832,60.168
3257,1.6122,59.831,60.145
3257,1.6337,59.832,60.149
3257,1.6552,59.831,60.128
3257,1.6767,59.83,60.109
3257,1.6982,59.833,60.225
3257,1.7197,59.832,60.202
3257,1.7412,59.831,60.18
3257,1.7627,59.831,60.275
3257,1.7842,59.831,60.242
3257,1.8057,59.831,60.212
3257,1.8272,59.83,60.184
3257,1.8487,59.831,60.238
3257,1.8702,59.831,60.213
3257,1.8916,59.83,60.189
3257,1.9131,59.836,60.28
3257,1.9346,59.835,60.249
3257,1.9561,59.834,60.22
3257,1.9776,59.836,60.373
3257,1.9991,59.835,60.331
3257,2.0206,59.834,60.293
3257,2.0421,59.834,60.258
3257,2.0636,59.836,60.226
3257,2.0851,59.835,60.198
3257,2.1066,59.834,60.189
3257,2.1281,59.839,60.26
3257,2.1496,59.838,60.224
3257,2.1711,59.838,60.213
3257,2.1926,59.84,60.325
3257,2.2141,59.84,60.291
3257,2.2356,59.839,60.268
3257,2.2571,59.84,60.382
3257,2.2786,59.842,60.353
3257,2.3001,59.841,60.325
3257,2.3216,59.841,60.298
3257,2.3431,59.844,60.457
3257,2.3646,59.843,60.419
3257,2.3861,59.842,60.384
3257,2.4076,59.847,60.372
3257,2.429,59.847,60.339
3257,2.4505,59.847,60.309
3257,2.472,59.849,60.394
3257,2.4935,59.85,60.362
3257,2.515,59.85,60.332
3257,2.5365,59.849,60.304
3257,2.558,59.851,60.408
3257,2.5795,59.851,60.375
3257,2.601,59.851,60.345
3257,2.6225,59.857,60.474
3257,2.644,59.857,60.434
3257,2.6655,59.857,60.398
3257,2.687,59.86,60.52
3257,2.7085,59.86,60.486
3257,2.73,59.86,60.454
3257,2.7515,59.861,60.458
3257,2.773,59.863,60.405
3257,2.7945,59.862,60.376
