"N","Time","avg(f)","max(f)"
32939,0,60,60.001
32939,0.018064,59.987,60.002
32939,0.036134,59.977,60.137
32939,0.054212,59.969,60.309
32939,0.072295,59.963,60.442
32939,0.090386,59.957,60.591
32939,0.10848,59.955,60.757
32939,0.12659,59.951,60.892
32939,0.1447,59.949,60.995
32939,0.16282,59.948,61.174
32939,0.18094,59.949,61.422
32939,0.19907,59.948,61.53
32939,0.21721,59.948,61.718
32939,0.23535,59.952,62.023
32939,0.2535,59.953,62.084
32939,0.27166,59.954,62.124
32939,0.28983,59.963,62.297
32939,0.308,59.965,62.625
32939,0.32617,59.967,62.488
32939,0.34436,59.979,62.989
32939,0.36255,59.98,63.001
32939,0.38075,59.983,62.665
32939,0.39896,59.996,63.811
32939,0.41717,59.999,63.789
32939,0.43539,60.002,63.746
32939,0.45361,60.01,64.196
32939,0.47184,60.017,64.289
32939,0.49008,60.021,64.595
32939,0.50833,60.03,64.261
32939,0.52658,60.04,64.704
32939,0.54484,60.045,65.005
32939,0.56311,60.05,65.134
32939,0.58138,60.073,65.19
32939,0.59967,60.077,64.674
32939,0.61795,60.081,65.291
32939,0.63625,60.109,67.261
32939,0.65455,60.112,66.416
32939,0.67286,60.117,65.953
32939,0.69117,60.147,66.096
32939,0.7095,60.15,65.997
32939,0.72782,60.155,66.623
32939,0.74616,60.179,67.178
32939,0.7645,60.183,66.366
32939,0.78285,60.188,67.232
32939,0.80121,60.204,67.913
32939,0.81958,60.216,67.355
32939,0.83795,60.221,67.055
32939,0.85632,60.233,67.709
32939,0.87471,60.256,68.955
32939,0.8931,60.261,68.949
32939,0.9115,60.267,67.756
32939,0.92991,60.294,69.795
32939,0.94832,60.3,68.49
32939,0.96674,60.306,68.655
32939,0.98517,60.362,69.134
32939,1.0036,60.362,68.764
32939,1.022,60.365,69.533
32939,1.0405,60.396,70.178
32939,1.0589,60.398,70.305
32939,1.0774,60.404,70.174
32939,1.0959,60.425,70.337
32939,1.1144,60.431,71.486
32939,1.1328,60.437,71.383
32939,1.1513,60.454,70.401
32939,1.1698,60.477,71.638
32939,1.1883,60.483,71.728
32939,1.2069,60.492,70.719
32939,1.2254,60.518,71.837
32939,1.2439,60.523,72.12
32939,1.2624,60.533,72.898
32939,1.281,60.578,73.45
32939,1.2995,60.582,72.237
32939,1.3181,60.588,73.688
32939,1.3366,60.656,72.373
32939,1.3552,60.658,72.818
32939,1.3738,60.662,72.955
32939,1.3924,60.692,74.561
32939,1.411,60.696,72.257
32939,1.4296,60.701,71.134
32939,1.4482,60.737,75.414
32939,1.4668,60.747,74.116
32939,1.4854,60.754,74.231
32939,1.504,60.771,73.842
32939,1.5227,60.801,75.509
32939,1.5413,60.807,74.625
32939,1.56,60.816,75.94
32939,1.5786,60.853,76.661
32939,1.5973,60.858,74.307
32939,1.616,60.864,76.79
32939,1.6346,60.935,77.671
32939,1.6533,60.938,76.974
32939,1.672,60.942,74.143
32939,1.6907,60.998,78.989
32939,1.7094,61,79.383
32939,1.7282,61.005,76.682
32939,1.7469,61.061,79.466
32939,1.7656,61.061,76.105
32939,1.7843,61.067,77.488
32939,1.8031,61.079,77.732
32939,1.8218,61.097,79.793
32939,1.8406,61.106,76.888
32939,1.8594,61.127,78.151
32939,1.8782,61.144,78.891
32939,1.8969,61.153,76.638
32939,1.9157,61.163,80.138
32939,1.9345,61.227,80.075
32939,1.9533,61.23,80.224
32939,1.9721,61.238,78.565
32939,1.991,61.307,81.964
32939,2.0098,61.307,79.145
32939,2.0286,61.312,81.55
32939,2.0475,61.404,86.153
32939,2.0663,61.402,79.897
32939,2.0852,61.404,81.555
32939,2.1041,61.447,83.538
32939,2.1229,61.448,80.268
32939,2.1418,61.456,81.759
32939,2.1607,61.494,80.5
32939,2.1796,61.518,81.321
32939,2.1985,61.523,81.221
32939,2.2174,61.537,80.079
32939,2.2363,61.591,83.419
32939,2.2553,61.594,83.565
32939,2.2742,61.601,82.967
32939,2.2931,61.65,86.437
32939,2.3121,61.652,81.856
32939,2.3311,61.656,80.576
32939,2.35,61.779,85.887
32939,2.369,61.776,82.626
32939,2.388,61.776,79.977
32939,2.407,61.853,84.881
32939,2.426,61.846,85.035
32939,2.445,61.847,84.883
32939,2.464,61.881,84.971
32939,2.483,61.883,82.514
32939,2.502,61.889,86.523
32939,2.5211,61.925,85.839
32939,2.5401,61.958,85.385
32939,2.5592,61.961,84.075
32939,2.5782,61.97,81.684
32939,2.5973,62.004,87.727
32939,2.6164,62.011,86.595
32939,2.6354,62.021,83.92
32939,2.6545,62.103,91.614
32939,2.6736,62.103,86.647
32939,2.6927,62.107,85.611
32939,2.7119,62.265,93.552
32939,2.731,62.251,86.572
32939,2.7501,62.247,88.721
32939,2.7692,62.307,87.447
32939,2.7884,62.306,88.443
32939,2.8075,62.306,87.896
32939,2.8267,62.361,88.246
32939,2.8459,62.371,86.349
32939,2.865,62.374,88.4
32939,2.8842,62.403,86.838
32939,2.9034,62.448,90.7
32939,2.9226,62.449,91.613
32939,2.9418,62.454,89.256
32939,2.9611,62.528,94.299
32939,2.9803,62.523,87.556
32939,2.9995,62.529,90.222
32939,3.0188,62.644,91.351
32939,3.038,62.636,88.96
32939,3.0573,62.636,89.846
32939,3.0765,62.743,94.435
32939,3.0958,62.736,90.836
32939,3.1151,62.736,88.618
32939,3.1344,62.82,97.602
32939,3.1537,62.815,93.181
32939,3.173,62.815,91.194
32939,3.1923,62.842,94.447
32939,3.2116,62.868,93.796
32939,3.231,62.869,93.372
32939,3.2503,62.891,94.58
32939,3.2696,62.928,92.613
32939,3.289,62.931,89.882
32939,3.3084,62.94,89.036
32939,3.3277,63.035,93.66
32939,3.3471,63.034,94.012
32939,3.3665,63.04,91.893
32939,3.3859,63.138,97.338
32939,3.4053,63.128,95.475
32939,3.4247,63.129,97.486
32939,3.4441,63.243,93.883
32939,3.4636,63.233,93.376
32939,3.483,63.232,95.131
32939,3.5024,63.291,95.577
32939,3.5219,63.289,93.195
32939,3.5414,63.296,93.963
32939,3.5608,63.35,96.996
32939,3.5803,63.38,99.014
32939,3.5998,63.381,94.92
32939,3.6193,63.398,97.706
32939,3.6388,63.479,100.82
32939,3.6583,63.477,94.684
32939,3.6778,63.48,96.005
32939,3.6974,63.564,104.92
32939,3.7169,63.559,94.148
32939,3.7364,63.558,92.572
32939,3.756,63.731,96.612
32939,3.7756,63.719,96.487
32939,3.7951,63.716,95.199
32939,3.8147,63.826,100.69
32939,3.8343,63.814,101.48
32939,3.8539,63.807,95.476
32939,3.8735,63.884,104.9
32939,3.8931,63.882,98.32
32939,3.9127,63.878,100.4
