"N","Time","avg(f)","max(f)"
3257,0,55,55.001
3257,0.021501,54.995,55.001
3257,0.043006,54.99,55.005
3257,0.064521,54.987,55.016
3257,0.086045,54.983,55.023
3257,0.10758,54.98,55.041
3257,0.12912,54.978,55.083
3257,0.15068,54.975,55.065
3257,0.17224,54.973,55.076
3257,0.19381,54.973,55.116
3257,0.21539,54.971,55.113
3257,0.23698,54.969,55.137
3257,0.25858,54.972,55.217
3257,0.28019,54.97,55.188
3257,0.30181,54.969,55.215
3257,0.32344,54.973,55.31
3257,0.34508,54.972,55.271
3257,0.36673,54.972,55.294
3257,0.38839,54.976,55.399
3257,0.41005,54.976,55.369
3257,0.43173,54.977,55.376
3257,0.45342,54.982,55.626
3257,0.47512,54.983,55.561
3257,0.49682,54.984,55.503
3257,0.51854,54.991,55.713
3257,0.54026,54.992,55.666
3257,0.562,54.994,55.623
3257,0.58374,55.002,55.853
3257,0.6055,55.005,55.804
3257,0.62726,55.006,55.759
3257,0.64904,55.015,56.024
3257,0.67082,55.017,55.971
3257,0.69262,55.02,55.921
3257,0.71442,55.027,56.189
3257,0.73624,55.03,56.115
3257,0.75806,55.033,56.047
3257,0.77989,55.042,56.252
3257,0.80174,55.045,56.178
3257,0.82359,55.049,56.111
3257,0.84545,55.06,56.309
3257,0.86733,55.064,56.253
3257,0.88921,55.068,56.2
3257,0.9111,55.08,56.646
3257,0.93301,55.085,56.543
3257,0.95492,55.089,56.447
3257,0.97684,55.098,56.558
3257,0.99878,55.104,56.475
3257,1.0207,55.109,56.439
3257,1.0427,55.12,56.895
3257,1.0646,55.128,56.786
3257,1.0866,55.133,56.686
3257,1.1086,55.146,57.033
3257,1.1306,55.155,56.92
3257,1.1526,55.16,56.817
3257,1.1746,55.171,56.808
3257,1.1966,55.182,56.739
3257,1.2187,55.188,56.831
3257,1.2407,55.2,57.265
3257,1.2628,55.211,57.146
3257,1.2848,55.216,57.173
3257,1.3069,55.227,57.101
3257,1.329,55.241,57.396
3257,1.3511,55.248,57.197
3257,1.3732,55.259,57.487
3257,1.3953,55.275,57.429
3257,1.4174,55.281,57.3
3257,1.4396,55.292,58.031
3257,1.4617,55.307,57.961
3257,1.4839,55.314,57.748
3257,1.506,55.324,58.143
3257,1.5282,55.339,57.993
3257,1.5504,55.346,57.852
3257,1.5726,55.354,57.726
3257,1.5948,55.375,58.358
3257,1.617,55.381,58.191
3257,1.6393,55.389,58.035
3257,1.6615,55.411,57.924
3257,1.6837,55.418,57.819
3257,1.706,55.426,57.995
3257,1.7283,55.446,58.437
3257,1.7506,55.455,58.254
3257,1.7729,55.463,58.171
3257,1.7952,55.484,58.83
3257,1.8175,55.491,58.628
3257,1.8398,55.499,58.442
3257,1.8621,55.525,59.094
3257,1.8845,55.533,58.904
3257,1.9068,55.54,58.727
3257,1.9292,55.573,58.751
3257,1.9516,55.581,58.554
3257,1.974,55.589,58.894
3257,1.9964,55.622,59.468
3257,2.0188,55.629,59.26
3257,2.0412,55.638,59.067
3257,2.0636,55.668,60.147
3257,2.0861,56.02,77.975
3257,2.1085,56.35,76.594
3257,2.131,57.089,80.882
3257,2.1534,57.395,84.68
3257,2.1759,57.702,86.352
3257,2.1984,58.425,92.924
3257,2.2209,58.702,90.471
3257,2.2434,58.983,88.414
3257,2.266,59.8,97.922
3257,2.2885,60.042,104.33
3257,2.3111,60.275,101.49
3257,2.3336,61.011,109.31
3257,2.3562,61.252,105.12
3257,2.3788,61.477,101.41
3257,2.4014,62.171,118.36
3257,2.424,62.369,113.34
3257,2.4466,62.563,108.86
3257,2.4692,63.456,115.58
3257,2.4919,63.637,112.35
3257,2.5145,63.824,109.37
3257,2.5372,64.81,118.09
3257,2.5598,64.963,113.6
3257,2.5825,65.113,109.59
3257,2.6052,65.837,126.76
3257,2.6279,65.955,121.87
3257,2.6506,66.082,117.52
3257,2.6733,66.695,135.09
3257,2.6961,66.807,129.13
3257,2.7188,66.933,123.85
3257,2.7416,67.632,124.86
3257,2.7644,67.747,120.38
3257,2.7871,67.872,116.89
3257,2.8099,68.453,138.22
3257,2.8327,68.552,132.86
3257,2.8555,68.659,128.09
3257,2.8784,69.193,136.71
3257,2.9012,69.287,131.28
3257,2.9241,69.372,126.47
3257,2.9469,69.823,137.11
3257,2.9698,69.914,132.96
3257,2.9927,70.005,129.17
3257,3.0156,70.399,133.84
3257,3.0385,70.496,129.89
3257,3.0614,70.588,127.43
3257,3.0843,71.066,146.58
3257,3.1073,71.142,141.56
3257,3.1302,71.225,137
3257,3.1532,71.666,136.59
3257,3.1761,71.738,131.17
3257,3.1991,71.82,127.14
3257,3.2221,72.159,144.23
3257,3.2451,72.252,140.04
3257,3.2682,72.325,136.22
3257,3.2912,72.614,144.47
3257,3.3142,72.684,140.16
3257,3.3373,72.779,136.47
3257,3.3604,73.103,138.56
3257,3.3834,73.182,135.85
3257,3.4065,73.257,133.3
3257,3.4296,73.615,144.36
3257,3.4527,73.692,140.5
3257,3.4759,73.767,137.22
3257,3.499,74.038,160.15
3257,3.5222,74.129,155.12
3257,3.5453,74.195,150.52
3257,3.5685,74.403,146.31
3257,3.5917,74.532,142.46
3257,3.6149,74.607,138.98
3257,3.6381,74.877,146.68
3257,3.6613,75.027,142.8
3257,3.6845,75.095,139.23
3257,3.7078,75.364,155.56
3257,3.731,75.544,150.23
3257,3.7543,75.601,145.45
3257,3.7776,75.817,148.26
3257,3.8009,76.02,144.61
3257,3.8242,76.075,141.22
3257,3.8475,76.286,149.36
3257,3.8708,76.485,146.07
3257,3.8942,76.535,143.01
3257,3.9175,76.693,147.42
3257,3.9409,76.944,143.85
3257,3.9642,76.98,140.57
3257,3.9876,77.129,146.68
3257,4.011,77.401,143.47
3257,4.0344,77.442,140.48
3257,4.0579,77.568,150.76
3257,4.0813,77.793,147.5
3257,4.1048,77.833,144.46
3257,4.1282,77.912,152.23
3257,4.1517,78.139,148.66
3257,4.1752,78.185,145.34
3257,4.1987,78.243,148.57
3257,4.2222,78.553,145.3
3257,4.2457,78.588,142.24
3257,4.2692,78.637,139.39
3257,4.2928,78.914,138.94
3257,4.3164,78.959,135.47
3257,4.3399,79.004,134.44
3257,4.3635,79.245,152.19
3257,4.3871,79.267,146.15
3257,4.4107,79.32,140.79
3257,4.4343,79.616,136.01
3257,4.458,79.655,134.41
3257,4.4816,79.708,134.61
3257,4.5053,80.098,143.7
3257,4.529,80.13,140.07
3257,4.5526,80.17,136.72
3257,4.5763,80.631,148.06
3257,4.6,80.645,144.66
3257,4.6238,80.688,141.52
3257,4.6475,81.033,153.81
3257,4.6713,81.07,148.47
3257,4.695,81.09,144.12
3257,4.7188,81.461,154.4
3257,4.7426,81.487,150.34
3257,4.7664,81.522,146.58
3257,4.7902,81.955,144.08
3257,4.814,81.959,140.95
3257,4.8379,81.956,138.05
3257,4.8617,82.431,153.72
3257,4.8856,82.419,150.07
3257,4.9094,82.426,146.71
3257,4.9333,82.98,159.77
3257,4.9572,82.981,156.21
3257,4.9812,82.976,152.91
3257,5.0051,83.433,154.85
3257,5.029,83.412,151.41
3257,5.053,83.402,148.19
3257,5.0769,83.919,152.7
3257,5.1009,83.894,149.43
3257,5.1249,83.871,146.38
3257,5.1489,84.652,162.25
3257,5.1729,84.624,158.44
3257,5.197,84.601,154.92
3257,5.221,85.339,154.18
3257,5.2451,85.304,151
3257,5.2692,85.285,148.02
3257,5.2932,85.809,162.33
3257,5.3173,85.772,158.04
3257,5.3415,85.732,154.09
3257,5.3656,86.183,166.44
3257,5.3897,86.132,162.19
3257,5.4139,86.099,158.27
3257,5.438,86.607,161.16
3257,5.4622,86.565,157.52
3257,5.4864,86.506,154.13
3257,5.5106,86.973,166.4
3257,5.5348,86.916,160.61
3257,5.5591,86.871,156.05
3257,5.5833,87.223,169.86
3257,5.6076,87.178,164.15
3257,5.6319,87.129,160.16
3257,5.6561,87.435,164.92
3257,5.6804,87.389,161.24
3257,5.7048,87.353,158.04
3257,5.7291,87.67,166.4
3257,5.7534,87.626,162.58
3257,5.7778,87.585,159.04
3257,5.8021,87.989,167.02
3257,5.8265,87.936,163.14
3257,5.8509,87.899,159.54
3257,5.8753,88.181,175.79
3257,5.8998,88.141,171.56
3257,5.9242,88.107,167.63
3257,5.9487,88.33,170.02
3257,5.9731,88.291,165.73
3257,5.9976,88.252,161.81
3257,6.0221,88.438,174.35
3257,6.0466,88.406,170.13
3257,6.0711,88.371,166.23
3257,6.0957,88.612,172.6
3257,6.1202,88.603,168.47
3257,6.1448,88.58,164.68
3257,6.1694,88.858,178.1
3257,6.1939,88.852,173.42
3257,6.2186,88.82,169.16
3257,6.2432,88.948,175.74
3257,6.2678,88.964,170.26
3257,6.2925,88.944,165.37
3257,6.3171,89.092,172
3257,6.3418,89.14,167.82
3257,6.3665,89.128,163.98
3257,6.3912,89.334,175.69
3257,6.4159,89.417,171.6
3257,6.4407,89.407,167.85
3257,6.4654,89.574,189.67
3257,6.4902,89.67,183.14
3257,6.5149,89.651,177.3
3257,6.5397,89.767,172.08
3257,6.5645,89.903,167.4
3257,6.5894,89.875,163.19
3257,6.6142,89.99,170.38
3257,6.639,90.108,166.92
3257,6.6639,90.077,163.74
3257,6.6888,90.174,180.69
3257,6.7137,90.347,176.61
3257,6.7386,90.321,172.86
3257,6.7635,90.381,169.39
3257,6.7885,90.56,166.24
3257,6.8134,90.536,163.32
3257,6.8384,90.59,171.52
3257,6.8634,90.701,167.99
3257,6.8884,90.691,164.72
3257,6.9134,90.696,174.48
3257,6.9384,90.905,170.71
3257,6.9634,90.888,167.22
3257,6.9885,90.855,163.98
3257,7.0136,91.094,164.06
3257,7.0387,91.076,160.15
3257,7.0638,91.056,156.58
3257,7.0889,91.288,165.59
3257,7.114,91.276,161.87
3257,7.1392,91.26,158.46
3257,7.1643,91.461,159.77
3257,7.1895,91.424,156.1
3257,7.2147,91.433,152.7
3257,7.2399,91.721,170.49
3257,7.2651,91.682,166.36
3257,7.2904,91.651,162.57
3257,7.3156,92.034,179.84
3257,7.3409,92.004,175.27
3257,7.3662,91.974,171.08
3257,7.3915,92.339,179.48
3257,7.4168,92.303,175.2
3257,7.4421,92.275,171.27
3257,7.4674,92.586,167.22
3257,7.4928,92.547,163.9
3257,7.5182,92.514,160.84
3257,7.5436,92.853,171.96
3257,7.569,92.807,168.48
3257,7.5944,92.773,165.26
3257,7.6198,93.162,172.92
3257,7.6453,93.108,169.28
3257,7.6708,93.067,165.88
3257,7.6963,93.529,180.43
3257,7.7218,93.471,176.29
3257,7.7473,93.412,172.49
3257,7.7728,93.965,174.57
3257,7.7984,93.895,170.95
3257,7.8239,93.838,167.6
3257,7.8495,94.289,175.27
3257,7.8751,94.213,172.07
3257,7.9007,94.149,169.07
3257,7.9263,94.699,174.91
3257,7.952,94.615,170.89
3257,7.9776,94.561,167.2
3257,8.0033,95.378,182.85
3257,8.029,95.299,178.48
3257,8.0547,95.233,174.47
3257,8.0804,95.8,170.98
