"N","Time","avg(f)","max(f)"
32939,0,60,60.001
32939,0.018064,59.987,60.002
32939,0.036134,59.977,60.046
32939,0.054212,59.971,60.106
32939,0.072295,59.964,60.154
32939,0.090386,59.959,60.223
32939,0.10848,59.958,60.322
32939,0.12659,59.955,60.402
32939,0.1447,59.953,60.467
32939,0.16282,59.954,60.617
32939,0.18094,59.956,60.664
32939,0.19907,59.956,60.771
32939,0.21721,59.957,60.789
32939,0.23535,59.963,61.047
32939,0.2535,59.965,60.996
32939,0.27166,59.967,60.989
32939,0.28983,59.98,61.339
32939,0.308,59.982,61.219
32939,0.32617,59.985,61.335
32939,0.34436,60.002,61.781
32939,0.36255,60.004,61.515
32939,0.38075,60.008,61.772
32939,0.39896,60.024,62.048
32939,0.41717,60.028,61.673
32939,0.43539,60.032,62.044
32939,0.45361,60.045,62.359
32939,0.47184,60.053,62.207
32939,0.49008,60.058,62.202
32939,0.50833,60.069,62.624
32939,0.52658,60.081,62.727
32939,0.54484,60.087,62.305
32939,0.56311,60.094,62.234
32939,0.58138,60.12,62.783
32939,0.59967,60.125,62.468
32939,0.61795,60.131,63.035
32939,0.63625,60.164,63.458
32939,0.65455,60.168,63.044
32939,0.67286,60.174,63.374
32939,0.69117,60.212,63.021
32939,0.7095,60.216,63.502
32939,0.72782,60.222,63.158
32939,0.74616,60.249,63.947
32939,0.7645,60.254,63.559
32939,0.78285,60.26,63.69
32939,0.80121,60.281,63.798
32939,0.81958,60.296,63.785
32939,0.83795,60.303,63.764
32939,0.85632,60.316,64.239
32939,0.87471,60.343,64.047
32939,0.8931,60.349,64.283
32939,0.9115,60.358,64.505
32939,0.92991,60.391,64.901
32939,0.94832,60.397,64.436
32939,0.96674,60.406,64.771
32939,0.98517,60.463,66.041
32939,1.0036,60.465,65.132
32939,1.022,60.471,64.568
32939,1.0405,60.514,66.058
32939,1.0589,60.517,65.215
32939,1.0774,60.524,65.089
32939,1.0959,60.55,66.344
32939,1.1144,60.557,65.684
32939,1.1328,60.565,66.057
32939,1.1513,60.592,66.314
32939,1.1698,60.614,65.502
32939,1.1883,60.621,65.863
32939,1.2069,60.633,66.022
32939,1.2254,60.666,66.902
32939,1.2439,60.674,66.122
32939,1.2624,60.685,67.239
32939,1.281,60.739,68.035
32939,1.2995,60.744,65.792
32939,1.3181,60.752,66.082
32939,1.3366,60.845,69.371
32939,1.3552,60.845,67.615
32939,1.3738,60.85,67.529
32939,1.3924,60.893,69.293
32939,1.411,60.897,67.141
32939,1.4296,60.902,67.6
32939,1.4482,60.944,68.427
32939,1.4668,60.955,67.556
32939,1.4854,60.962,67.298
32939,1.504,60.986,68.611
32939,1.5227,61.02,67.967
32939,1.5413,61.028,68.196
32939,1.56,61.037,68.005
32939,1.5786,61.081,69.791
32939,1.5973,61.087,67.574
32939,1.616,61.097,68.068
32939,1.6346,61.173,70.737
32939,1.6533,61.176,68.3
32939,1.672,61.183,68.762
32939,1.6907,61.254,70.962
32939,1.7094,61.255,69.304
32939,1.7282,61.26,69.063
32939,1.7469,61.325,70.143
32939,1.7656,61.327,69.196
32939,1.7843,61.334,70.955
32939,1.8031,61.363,70.803
32939,1.8218,61.384,69.798
32939,1.8406,61.391,69.727
32939,1.8594,61.416,70.915
32939,1.8782,61.447,70.966
32939,1.8969,61.455,69.863
32939,1.9157,61.467,71.392
32939,1.9345,61.54,72.528
32939,1.9533,61.544,70.542
32939,1.9721,61.554,70.336
32939,1.991,61.643,75.125
32939,2.0098,61.641,71.764
32939,2.0286,61.646,71.562
32939,2.0475,61.742,73.989
32939,2.0663,61.74,70.749
32939,2.0852,61.744,70.75
32939,2.1041,61.797,73.073
32939,2.1229,61.8,71.992
32939,2.1418,61.807,71.791
32939,2.1607,61.854,73.134
32939,2.1796,61.88,71.856
32939,2.1985,61.887,72.479
32939,2.2174,61.906,74.046
32939,2.2363,61.967,71.948
32939,2.2553,61.971,72.032
32939,2.2742,61.979,74.005
32939,2.2931,62.045,73.738
32939,2.3121,62.048,73.48
32939,2.3311,62.056,72.888
32939,2.35,62.214,74.472
32939,2.369,62.205,75.771
32939,2.388,62.206,73.476
32939,2.407,62.289,76.217
32939,2.426,62.283,73.868
32939,2.445,62.284,75.651
32939,2.464,62.336,78.692
32939,2.483,62.339,75.085
32939,2.502,62.344,74.697
32939,2.5211,62.382,77.555
32939,2.5401,62.424,76.824
32939,2.5592,62.428,75.089
32939,2.5782,62.437,74.663
32939,2.5973,62.487,76.577
32939,2.6164,62.494,74.908
32939,2.6354,62.506,75.187
32939,2.6545,62.605,77.068
32939,2.6736,62.604,73.45
32939,2.6927,62.611,77.41
32939,2.7119,62.763,78.944
32939,2.731,62.751,76.601
32939,2.7501,62.749,74.664
32939,2.7692,62.818,79.239
32939,2.7884,62.817,74.928
32939,2.8075,62.82,75.553
32939,2.8267,62.887,76.872
32939,2.8459,62.903,78.175
32939,2.865,62.906,78.545
32939,2.8842,62.942,77.082
32939,2.9034,62.995,78.284
32939,2.9226,62.999,76.551
32939,2.9418,63.006,78.412
32939,2.9611,63.091,78.489
32939,2.9803,63.092,78.321
32939,2.9995,63.098,78.853
32939,3.0188,63.244,79.335
32939,3.038,63.237,80.612
32939,3.0573,63.237,77.042
32939,3.0765,63.36,80.556
32939,3.0958,63.352,78.328
32939,3.1151,63.351,78.207
32939,3.1344,63.46,84.311
32939,3.1537,63.45,78.501
32939,3.173,63.449,79.146
32939,3.1923,63.487,83.203
32939,3.2116,63.515,78.935
32939,3.231,63.517,79.671
32939,3.2503,63.547,83.375
32939,3.2696,63.6,81.893
32939,3.289,63.602,79.58
32939,3.3084,63.611,80.086
32939,3.3277,63.723,81.065
32939,3.3471,63.721,80.283
32939,3.3665,63.725,80.401
32939,3.3859,63.857,82.959
32939,3.4053,63.845,80.765
32939,3.4247,63.845,82.136
32939,3.4441,63.977,82.824
32939,3.4636,63.966,81.472
32939,3.483,63.964,80.361
32939,3.5024,64.036,82.562
32939,3.5219,64.035,84.56
32939,3.5414,64.039,83.256
32939,3.5608,64.105,84.309
32939,3.5803,64.144,84.044
32939,3.5998,64.146,81.935
32939,3.6193,64.164,87.407
32939,3.6388,64.251,86.319
32939,3.6583,64.25,80.657
32939,3.6778,64.253,79.858
32939,3.6974,64.363,87.579
32939,3.7169,64.358,80.659
32939,3.7364,64.363,82.903
32939,3.756,64.574,83.944
32939,3.7756,64.56,82.697
32939,3.7951,64.553,83.509
32939,3.8147,64.668,83.583
32939,3.8343,64.654,82.197
32939,3.8539,64.648,82.834
32939,3.8735,64.725,86.676
32939,3.8931,64.727,83.132
32939,3.9127,64.727,84.589
