"N","Time","avg(f)"
1,0,60
1,0.018064,59.988
1,0.036134,59.977
1,0.054212,59.967
1,0.072295,59.958
1,0.090386,59.95
1,0.10848,59.942
1,0.12659,59.935
1,0.1447,59.94
1,0.16282,59.934
1,0.18094,59.928
1,0.19907,60.079
1,0.21721,60.056
1,0.23535,60.036
1,0.2535,60.227
1,0.27166,60.189
1,0.28983,60.156
1,0.308,60.31
1,0.32617,60.26
1,0.34436,60.219
1,0.36255,60.185
1,0.38075,60.156
1,0.39896,60.132
1,0.41717,60.112
1,0.43539,60.141
1,0.45361,60.129
1,0.47184,60.115
1,0.49008,60.502
1,0.50833,60.442
1,0.52658,60.391
1,0.54484,60.342
1,0.56311,60.326
1,0.58138,60.305
1,0.59967,60.285
1,0.61795,60.263
1,0.63625,60.242
1,0.65455,60.224
1,0.67286,60.207
1,0.69117,60.192
1,0.7095,60.177
1,0.72782,60.164
1,0.74616,60.152
1,0.7645,60.141
1,0.78285,60.195
1,0.80121,60.183
1,0.81958,60.172
1,0.83795,60.844
1,0.85632,60.74
1,0.87471,60.657
1,0.8931,61.351
1,0.9115,61.209
1,0.92991,61.09
1,0.94832,61.489
1,0.96674,61.335
1,0.98517,61.208
1,1.0036,61.103
1,1.022,61.015
1,1.0405,60.941
1,1.0589,60.877
1,1.0774,60.822
1,1.0959,60.774
1,1.1144,60.732
1,1.1328,60.924
1,1.1513,60.898
1,1.1698,60.863
1,1.1883,61.821
1,1.2069,61.672
1,1.2254,61.543
1,1.2439,62.552
1,1.2624,62.292
1,1.281,62.079
1,1.2995,61.903
1,1.3181,61.775
1,1.3366,61.664
1,1.3552,61.568
1,1.3738,61.483
1,1.3924,61.409
1,1.411,61.342
1,1.4296,61.284
1,1.4482,61.231
1,1.4668,61.183
1,1.4854,61.138
1,1.504,61.099
1,1.5227,61.063
1,1.5413,61.628
1,1.56,61.492
1,1.5786,61.393
1,1.5973,62.657
1,1.616,62.442
1,1.6346,62.263
1,1.6533,62.355
1,1.672,62.219
1,1.6907,62.1
1,1.7094,61.997
1,1.7282,61.907
1,1.7469,61.828
1,1.7656,61.758
1,1.7843,62.596
1,1.8031,62.42
1,1.8218,62.27
1,1.8406,63.708
1,1.8594,63.421
1,1.8782,63.18
1,1.8969,64.654
1,1.9157,64.292
1,1.9345,63.983
1,1.9533,63.72
1,1.9721,63.525
1,1.991,63.352
1,2.0098,63.197
1,2.0286,63.06
1,2.0475,62.937
1,2.0663,62.827
1,2.0852,62.728
1,2.1041,62.639
1,2.1229,62.557
1,2.1418,62.481
1,2.1607,62.412
1,2.1796,62.348
1,2.1985,62.233
1,2.2174,62.255
1,2.2363,62.252
1,2.2553,64.111
1,2.2742,63.872
1,2.2931,63.666
1,2.3121,63.697
1,2.3311,63.541
1,2.35,63.407
1,2.369,63.289
1,2.388,63.185
1,2.407,63.091
1,2.426,63.006
1,2.445,62.929
1,2.464,62.858
1,2.483,62.792
1,2.502,63.968
1,2.5211,63.734
1,2.5401,63.54
1,2.5592,65.534
1,2.5782,65.148
1,2.5973,64.824
1,2.6164,66.841
1,2.6354,66.347
1,2.6545,65.932
1,2.6736,67.03
1,2.6927,66.543
1,2.7119,66.133
1,2.731,65.789
1,2.7501,65.498
1,2.7692,65.25
1,2.7884,65.035
1,2.8075,64.848
1,2.8267,64.684
1,2.8459,64.537
1,2.865,65.238
1,2.8842,65.064
1,2.9034,64.885
1,2.9226,64.717
1,2.9418,64.565
1,2.9611,64.428
1,2.9803,66.772
1,2.9995,66.29
1,3.0188,65.904
1,3.038,65.593
1,3.0573,65.325
1,3.0765,65.102
1,3.0958,64.913
1,3.1151,64.749
1,3.1344,64.605
1,3.1537,64.478
1,3.173,66.188
1,3.1923,65.804
1,3.2116,65.496
1,3.231,67.974
1,3.2503,67.443
1,3.2696,67
1,3.289,69.505
1,3.3084,68.855
1,3.3277,68.309
1,3.3471,68.589
1,3.3665,68.23
1,3.3859,67.884
1,3.4053,67.567
1,3.4247,67.282
1,3.4441,67.026
