"N","Time","avg(f)"
1,0,55
1,0.016333,54.996
1,0.032667,54.992
1,0.049,54.988
1,0.065333,54.984
1,0.081667,54.98
1,0.098,54.977
1,0.11433,54.973
1,0.13067,54.97
1,0.147,55.08
1,0.16333,55.075
1,0.17967,55.071
1,0.196,55.066
1,0.21233,55.061
1,0.22867,55.057
1,0.245,55.052
1,0.26133,55.043
1,0.27767,55.611
1,0.294,55.594
1,0.31033,55.577
1,0.32667,55.561
1,0.343,55.545
1,0.35933,55.53
1,0.37567,55.515
1,0.392,55.542
1,0.40833,56.366
1,0.42467,56.333
1,0.441,56.301
1,0.45733,56.27
1,0.47367,56.239
1,0.49,56.21
1,0.50633,56.181
1,0.52267,56.232
1,0.539,57.185
1,0.55533,57.134
1,0.57167,57.084
1,0.588,57.036
1,0.60433,56.99
1,0.62067,56.944
1,0.637,56.901
1,0.65333,57.431
1,0.66967,57.732
1,0.686,57.672
1,0.70233,57.615
1,0.71867,57.56
1,0.735,57.507
1,0.75133,57.455
1,0.76767,57.405
1,0.784,57.581
1,0.80033,57.551
1,0.81667,57.52
1,0.833,57.489
1,0.84933,57.459
1,0.86567,57.429
1,0.882,57.399
1,0.89833,57.369
1,0.91467,57.264
1,0.931,58.019
1,0.94733,57.991
1,0.96367,57.964
1,0.98,57.936
1,0.99633,57.908
1,1.0127,57.88
1,1.029,57.852
1,1.0453,57.733
1,1.0617,59.978
1,1.078,59.904
1,1.0943,59.832
1,1.1107,59.761
1,1.127,59.691
1,1.1433,59.623
1,1.1597,59.557
1,1.176,59.681
1,1.1923,62.009
1,1.2087,61.894
1,1.225,61.783
1,1.2413,61.674
1,1.2577,61.568
1,1.274,61.465
1,1.2903,61.364
1,1.3067,61.446
1,1.323,63.791
1,1.3393,63.635
1,1.3557,63.484
1,1.372,63.337
1,1.3883,63.195
1,1.4047,63.057
1,1.421,62.923
1,1.4373,63.383
1,1.4537,63.954
1,1.47,63.799
1,1.4863,63.65
1,1.5027,63.505
1,1.519,63.365
1,1.5353,63.23
1,1.5517,63.098
