"N","Time","avg(f)","max(f)"
6428,0,55,55.001
6428,0.01102,54.997,55.002
6428,0.022042,54.995,55.089
6428,0.033066,54.995,55.147
6428,0.044092,54.997,55.255
6428,0.055121,55.003,55.413
6428,0.066152,55.019,55.717
6428,0.077186,55.028,55.959
6428,0.088222,55.035,55.867
6428,0.099261,55.044,55.835
6428,0.1103,55.055,56.107
6428,0.12135,55.074,56.384
6428,0.13239,55.11,56.733
6428,0.14344,55.125,57.145
6428,0.15449,55.141,56.986
6428,0.16555,55.158,56.842
6428,0.1766,55.176,56.793
6428,0.18766,55.213,57.741
6428,0.19872,55.261,58.627
6428,0.20979,55.281,58.407
6428,0.22085,55.303,58.206
6428,0.23192,55.326,58.412
6428,0.24299,55.351,58.64
6428,0.25407,55.4,59.07
6428,0.26514,55.461,60.653
6428,0.27622,55.487,60.206
6428,0.2873,55.515,59.808
6428,0.29839,55.543,59.453
6428,0.30947,55.573,60.147
6428,0.32056,55.643,60.473
6428,0.33165,55.713,62.081
6428,0.34275,55.744,61.671
6428,0.35385,55.776,61.297
6428,0.36494,55.811,60.955
6428,0.37605,55.847,60.975
6428,0.38715,55.933,62.171
6428,0.39826,56.006,64.996
6428,0.40937,56.043,64.279
6428,0.42048,56.081,63.634
6428,0.43159,56.121,63.053
6428,0.44271,56.162,62.528
6428,0.45383,56.266,63.638
6428,0.46495,56.354,65.338
6428,0.47607,56.394,64.631
6428,0.4872,56.436,64
6428,0.49833,56.48,65.997
6428,0.50946,56.531,65.414
6428,0.5206,56.667,65.542
6428,0.53174,56.741,68.981
6428,0.54288,56.784,68.093
6428,0.55402,56.828,67.295
6428,0.56516,56.877,68.504
6428,0.57631,56.942,67.817
6428,0.58746,57.093,69.312
6428,0.59861,57.18,69.382
6428,0.60977,57.227,68.26
6428,0.62093,57.277,67.421
6428,0.63209,57.323,66.832
6428,0.64325,57.406,69.503
6428,0.65442,57.657,72.79
6428,0.66558,57.735,73.423
6428,0.67675,57.782,72.163
6428,0.68793,57.833,71.033
6428,0.6991,57.882,70.018
6428,0.71028,57.981,73.18
6428,0.72146,58.177,75.601
6428,0.73265,58.254,75.813
6428,0.74383,58.301,74.45
6428,0.75502,58.355,73.229
6428,0.76621,58.41,72.132
6428,0.77741,58.513,76.128
6428,0.7886,58.714,75.25
6428,0.7998,58.777,77.067
6428,0.811,58.83,75.8
6428,0.82221,58.887,74.646
6428,0.83342,58.944,73.594
6428,0.84463,59.075,76.225
6428,0.85584,59.261,77.906
6428,0.86705,59.314,76.704
6428,0.87827,59.371,75.606
6428,0.88949,59.429,74.601
6428,0.90071,59.491,73.682
6428,0.91194,59.63,77.673
6428,0.92317,59.818,84.775
6428,0.9344,59.873,82.687
6428,0.94563,59.928,80.829
6428,0.95686,59.994,79.173
6428,0.9681,60.055,77.846
6428,0.97934,60.23,77.909
6428,0.99059,60.419,80.59
6428,1.0018,60.479,79.559
6428,1.0131,60.538,78.598
6428,1.0243,60.603,77.701
6428,1.0356,60.667,77.611
6428,1.0468,60.881,82.552
6428,1.0581,61.039,84.361
6428,1.0694,61.099,82.394
6428,1.0806,61.161,80.646
6428,1.0919,61.229,79.117
6428,1.1032,61.294,78.653
6428,1.1144,61.517,82.959
6428,1.1257,61.705,86.833
6428,1.137,61.768,85.143
6428,1.1483,61.834,83.676
6428,1.1596,61.901,85.319
6428,1.1708,61.983,83.919
6428,1.1821,62.272,87.333
6428,1.1934,62.415,90.761
6428,1.2047,62.477,88.786
6428,1.216,62.544,87.007
6428,1.2273,62.61,87.173
6428,1.2386,62.714,85.783
6428,1.2499,63.002,92.322
6428,1.2612,63.159,96.173
6428,1.2725,63.223,94.263
6428,1.2839,63.296,92.584
6428,1.2952,63.366,91.029
6428,1.3065,63.499,92.662
6428,1.3178,63.94,99.106
6428,1.3291,64.066,96.817
6428,1.3405,64.125,94.74
6428,1.3518,64.189,92.851
6428,1.3631,64.255,91.129
6428,1.3745,64.414,98.196
6428,1.3858,64.768,105.49
6428,1.3971,64.884,106.6
6428,1.4085,64.945,103.56
6428,1.4198,65.014,100.83
6428,1.4312,65.082,98.381
6428,1.4425,65.251,105.34
6428,1.4539,65.61,110.06
6428,1.4652,65.695,106.79
6428,1.4766,65.757,103.87
6428,1.4879,65.827,101.24
6428,1.4993,65.899,98.885
6428,1.5107,66.106,108.8
6428,1.522,66.416,109.55
6428,1.5334,66.474,106.06
6428,1.5448,66.538,103.01
6428,1.5562,66.6,100.34
6428,1.5675,66.678,97.991
6428,1.5789,66.893,100.71
6428,1.5903,67.173,105.74
6428,1.6017,67.239,103.21
6428,1.6131,67.308,100.91
6428,1.6245,67.385,98.822
6428,1.6359,67.465,99.054
6428,1.6473,67.727,102.2
6428,1.6587,68.029,108.26
6428,1.6701,68.096,106.14
6428,1.6815,68.172,104.16
6428,1.6929,68.252,102.3
6428,1.7043,68.332,103.79
6428,1.7157,68.647,108
6428,1.7272,68.87,111.7
6428,1.7386,68.936,108.14
6428,1.75,69.002,104.97
6428,1.7614,69.083,105.6
6428,1.7729,69.157,103.1
6428,1.7843,69.488,110.34
6428,1.7957,69.75,113.92
6428,1.8072,69.823,111.34
6428,1.8186,69.9,108.97
6428,1.8301,69.976,106.79
6428,1.8415,70.065,104.77
6428,1.853,70.48,115.61
6428,1.8644,70.684,127.05
6428,1.8759,70.746,123.7
6428,1.8873,70.814,120.63
6428,1.8988,70.89,117.8
6428,1.9102,71.018,115.2
6428,1.9217,71.443,126.89
6428,1.9332,71.654,131.57
6428,1.9446,71.721,127.57
6428,1.9561,71.791,123.96
6428,1.9676,71.87,120.7
6428,1.9791,72.03,117.74
6428,1.9906,72.618,129.58
6428,2.002,72.772,131.18
6428,2.0135,72.839,126.9
6428,2.025,72.915,123.06
6428,2.0365,72.988,119.61
6428,2.048,73.178,117.17
