"N","Time","avg(f)","max(f)"
32939,0,60,60.001
32939,0.018064,59.988,60.001
32939,0.036134,59.978,60.014
32939,0.054212,59.972,60.036
32939,0.072295,59.966,60.069
32939,0.090386,59.962,60.094
32939,0.10848,59.961,60.152
32939,0.12659,59.959,60.181
32939,0.1447,59.957,60.216
32939,0.16282,59.959,60.294
32939,0.18094,59.962,60.297
32939,0.19907,59.962,60.354
32939,0.21721,59.964,60.364
32939,0.23535,59.971,60.468
32939,0.2535,59.973,60.504
32939,0.27166,59.976,60.537
32939,0.28983,59.991,60.675
32939,0.308,59.994,60.68
32939,0.32617,59.998,60.687
32939,0.34436,60.017,60.925
32939,0.36255,60.02,60.864
32939,0.38075,60.024,60.942
32939,0.39896,60.042,61.069
32939,0.41717,60.046,61.047
32939,0.43539,60.051,61.218
32939,0.45361,60.066,61.235
32939,0.47184,60.075,61.241
32939,0.49008,60.081,61.219
32939,0.50833,60.093,61.474
32939,0.52658,60.108,61.477
32939,0.54484,60.114,61.298
32939,0.56311,60.122,61.623
32939,0.58138,60.149,61.831
32939,0.59967,60.155,61.63
32939,0.61795,60.163,61.751
32939,0.63625,60.201,62.224
32939,0.65455,60.206,61.819
32939,0.67286,60.213,62.027
32939,0.69117,60.253,62.4
32939,0.7095,60.257,61.913
32939,0.72782,60.264,62.133
32939,0.74616,60.294,62.295
32939,0.7645,60.3,62.221
32939,0.78285,60.308,62.293
32939,0.80121,60.33,62.635
32939,0.81958,60.347,62.498
32939,0.83795,60.355,62.398
32939,0.85632,60.37,62.807
32939,0.87471,60.399,62.822
32939,0.8931,60.407,62.714
32939,0.9115,60.417,63.012
32939,0.92991,60.456,63.119
32939,0.94832,60.463,62.959
32939,0.96674,60.472,63.177
32939,0.98517,60.531,63.349
32939,1.0036,60.535,63.429
32939,1.022,60.543,63.239
32939,1.0405,60.592,63.793
32939,1.0589,60.596,63.226
32939,1.0774,60.604,63.77
32939,1.0959,60.637,64.296
32939,1.1144,60.645,63.671
32939,1.1328,60.655,63.986
32939,1.1513,60.683,64.665
32939,1.1698,60.707,63.679
32939,1.1883,60.716,63.959
32939,1.2069,60.728,64.207
32939,1.2254,60.766,64.279
32939,1.2439,60.775,64.18
32939,1.2624,60.787,64.472
32939,1.281,60.843,64.852
32939,1.2995,60.849,64.156
32939,1.3181,60.86,64.806
32939,1.3366,60.955,65.515
32939,1.3552,60.956,64.469
32939,1.3738,60.962,64.5
32939,1.3924,61.014,65.688
32939,1.411,61.018,64.916
32939,1.4296,61.025,65.125
32939,1.4482,61.07,65.211
32939,1.4668,61.083,65.34
32939,1.4854,61.092,65.734
32939,1.504,61.122,65.645
32939,1.5227,61.159,65.576
32939,1.5413,61.167,65.456
32939,1.56,61.178,65.942
32939,1.5786,61.228,65.834
32939,1.5973,61.235,65.983
32939,1.616,61.247,66.169
32939,1.6346,61.33,66.359
32939,1.6533,61.334,66.462
32939,1.672,61.342,65.819
32939,1.6907,61.423,67.039
32939,1.7094,61.424,65.967
32939,1.7282,61.431,66.199
32939,1.7469,61.501,67.854
32939,1.7656,61.504,66.345
32939,1.7843,61.511,66.969
32939,1.8031,61.553,68.316
32939,1.8218,61.574,66.659
32939,1.8406,61.583,66.78
32939,1.8594,61.611,67.746
32939,1.8782,61.652,67.558
32939,1.8969,61.66,67.212
32939,1.9157,61.672,67.535
32939,1.9345,61.751,67.998
32939,1.9533,61.756,67.011
32939,1.9721,61.766,67.264
32939,1.991,61.861,68.933
32939,2.0098,61.86,67.542
32939,2.0286,61.867,67.918
32939,2.0475,61.969,69.023
32939,2.0663,61.967,68.452
32939,2.0852,61.971,68.108
32939,2.1041,62.035,68.856
32939,2.1229,62.038,69.076
32939,2.1418,62.046,69.004
32939,2.1607,62.097,69.787
32939,2.1796,62.131,68.955
32939,2.1985,62.138,68.671
32939,2.2174,62.159,70.02
32939,2.2363,62.223,69.886
32939,2.2553,62.229,68.625
32939,2.2742,62.239,69.265
32939,2.2931,62.323,69.457
32939,2.3121,62.325,69.056
32939,2.3311,62.334,69.579
32939,2.35,62.482,70.231
32939,2.369,62.475,69.922
32939,2.388,62.476,69.7
32939,2.407,62.567,70.814
32939,2.426,62.563,69.942
32939,2.445,62.567,70.3
32939,2.464,62.628,71.906
