"N","Time","avg(f)"
1,0,60
1,0.018064,59.99
1,0.036134,59.98
1,0.054212,59.971
1,0.072295,59.962
1,0.090386,59.954
1,0.10848,59.947
1,0.12659,59.94
1,0.1447,59.933
1,0.16282,59.927
1,0.18094,59.921
1,0.19907,59.916
1,0.21721,59.91
1,0.23535,59.907
1,0.2535,59.9
1,0.27166,59.895
1,0.28983,59.89
1,0.308,59.887
1,0.32617,59.884
1,0.34436,59.881
1,0.36255,59.878
1,0.38075,59.875
1,0.39896,59.872
1,0.41717,59.869
1,0.43539,59.866
1,0.45361,59.863
1,0.47184,59.861
1,0.49008,59.858
1,0.50833,59.855
1,0.52658,61.545
1,0.54484,61.334
1,0.56311,61.158
1,0.58138,63.037
1,0.59967,62.617
1,0.61795,62.282
1,0.63625,62.011
1,0.65455,61.789
1,0.67286,61.604
1,0.69117,61.449
1,0.7095,61.317
1,0.72782,61.203
1,0.74616,61.105
1,0.7645,61.019
1,0.78285,60.944
1,0.80121,60.877
1,0.81958,60.816
1,0.83795,60.764
1,0.85632,60.716
1,0.87471,60.671
1,0.8931,60.631
1,0.9115,60.593
1,0.92991,60.559
1,0.94832,60.528
1,0.96674,60.499
1,0.98517,60.472
1,1.0036,60.448
1,1.022,60.425
1,1.0405,60.403
1,1.0589,60.383
1,1.0774,60.365
1,1.0959,60.347
1,1.1144,60.33
1,1.1328,60.314
1,1.1513,60.299
1,1.1698,60.781
1,1.1883,60.834
1,1.2069,60.841
1,1.2254,65.143
1,1.2439,64.798
1,1.2624,64.438
1,1.281,64.095
1,1.2995,63.781
1,1.3181,63.498
1,1.3366,63.246
1,1.3552,63.023
1,1.3738,62.825
1,1.3924,62.649
1,1.411,62.492
1,1.4296,62.352
1,1.4482,62.225
1,1.4668,62.11
1,1.4854,62.006
1,1.504,61.911
1,1.5227,61.904
1,1.5413,61.883
1,1.56,61.854
1,1.5786,61.817
1,1.5973,61.776
1,1.616,61.731
1,1.6346,61.686
1,1.6533,61.64
1,1.672,61.594
1,1.6907,61.55
1,1.7094,61.507
1,1.7282,61.465
1,1.7469,61.425
1,1.7656,61.386
1,1.7843,61.35
1,1.8031,61.314
1,1.8218,61.28
1,1.8406,61.248
1,1.8594,61.216
1,1.8782,61.222
1,1.8969,61.154
1,1.9157,61.115
1,1.9345,67.816
1,1.9533,67.373
1,1.9721,66.899
1,1.991,66.437
1,2.0098,66.006
1,2.0286,65.613
1,2.0475,65.257
1,2.0663,64.938
1,2.0852,64.651
1,2.1041,64.394
1,2.1229,64.162
1,2.1418,63.952
1,2.1607,63.762
1,2.1796,66.553
1,2.1985,65.968
1,2.2174,65.531
1,2.2363,65.183
1,2.2553,64.893
1,2.2742,64.643
1,2.2931,64.423
1,2.3121,64.227
1,2.3311,64.05
1,2.35,63.889
1,2.369,63.742
1,2.388,63.607
1,2.407,63.483
1,2.426,63.368
1,2.445,63.261
1,2.464,63.161
1,2.483,63.068
1,2.502,62.981
1,2.5211,62.899
1,2.5401,62.821
1,2.5592,62.749
1,2.5782,62.681
1,2.5973,71.315
1,2.6164,70.475
1,2.6354,69.667
1,2.6545,68.932
1,2.6736,68.279
1,2.6927,67.704
1,2.7119,67.201
1,2.731,66.76
1,2.7501,66.373
1,2.7692,66.031
1,2.7884,65.728
1,2.8075,65.458
1,2.8267,65.215
1,2.8459,64.996
1,2.865,64.799
1,2.8842,64.618
1,2.9034,74.565
1,2.9226,73.352
1,2.9418,72.275
1,2.9611,71.331
1,2.9803,70.521
1,2.9995,69.812
1,3.0188,69.192
1,3.038,68.65
1,3.0573,68.173
1,3.0765,67.752
1,3.0958,67.379
1,3.1151,67.045
1,3.1344,66.746
1,3.1537,66.476
1,3.173,66.231
1,3.1923,66.007
1,3.2116,65.802
1,3.231,65.614
1,3.2503,65.439
1,3.2696,65.277
1,3.289,65.127
1,3.3084,64.986
1,3.3277,66.262
1,3.3471,66.322
1,3.3665,66.256
1,3.3859,66.129
1,3.4053,65.978
1,3.4247,65.82
1,3.4441,65.664
1,3.4636,65.514
1,3.483,65.371
1,3.5024,65.237
1,3.5219,65.111
1,3.5414,64.992
1,3.5608,64.88
1,3.5803,77.051
1,3.5998,76.235
1,3.6193,75.305
1,3.6388,74.406
1,3.6583,73.512
1,3.6778,72.716
1,3.6974,72.011
1,3.7169,71.387
1,3.7364,70.832
1,3.756,70.337
1,3.7756,69.895
1,3.7951,69.497
1,3.8147,69.138
1,3.8343,68.811
1,3.8539,68.512
1,3.8735,68.238
1,3.8931,67.986
1,3.9127,67.752
1,3.9324,67.535
1,3.952,67.332
1,3.9717,67.143
1,3.9913,66.965
1,4.011,66.81
1,4.0307,66.709
1,4.0504,66.609
1,4.07,66.509
1,4.0897,66.412
1,4.1095,66.316
1,4.1292,66.222
1,4.1489,66.129
1,4.1686,66.038
1,4.1884,65.949
1,4.2081,65.863
1,4.2279,65.778
1,4.2477,65.695
1,4.2674,65.615
1,4.2872,65.537
1,4.307,65.46
1,4.3268,79.824
1,4.3466,78.52
1,4.3665,77.238
1,4.3863,82.05
1,4.4061,80.098
1,4.426,78.553
1,4.4458,77.282
1,4.4657,76.211
1,4.4856,75.29
1,4.5055,74.487
1,4.5254,73.781
1,4.5453,73.154
1,4.5652,72.595
1,4.5851,72.092
1,4.605,71.639
1,4.625,71.227
1,4.6449,70.851
1,4.6649,70.508
1,4.6848,70.192
1,4.7048,69.9
1,4.7248,69.63
1,4.7448,69.379
1,4.7648,69.145
1,4.7848,68.928
1,4.8048,68.724
1,4.8248,68.532
1,4.8449,68.351
1,4.8649,68.181
1,4.885,68.02
1,4.905,67.869
1,4.9251,67.726
1,4.9452,67.591
1,4.9653,67.464
1,4.9854,67.341
1,5.0055,67.225
1,5.0256,82.966
1,5.0457,80.76
1,5.0659,78.943
1,5.086,94.765
1,5.1062,90.794
1,5.1263,87.665
1,5.1465,85.157
1,5.1667,83.114
1,5.1869,81.423
1,5.2071,80.006
1,5.2273,78.803
1,5.2475,77.771
1,5.2678,76.876
1,5.288,76.093
1,5.3082,75.402
1,5.3285,74.788
1,5.3488,74.238
1,5.369,73.743
1,5.3893,73.293
1,5.4096,72.905
1,5.4299,72.509
1,5.4502,72.169
1,5.4706,71.865
1,5.4909,71.584
1,5.5112,71.327
1,5.5316,71.089
1,5.552,70.866
1,5.5723,70.656
1,5.5927,70.459
1,5.6131,70.273
1,5.6335,70.097
1,5.6539,69.93
1,5.6743,69.771
1,5.6948,69.619
1,5.7152,69.475
1,5.7357,69.336
1,5.7561,69.204
1,5.7766,69.076
1,5.7971,68.644
1,5.8176,69.237
1,5.838,69.524
1,5.8586,89.416
1,5.8791,88.204
1,5.8996,86.765
1,5.9201,85.311
1,5.9407,83.931
1,5.9612,82.668
1,5.9818,81.529
1,6.0024,80.507
1,6.023,79.592
1,6.0436,78.772
1,6.0642,78.033
1,6.0848,77.366
1,6.1054,76.761
1,6.126,76.547
1,6.1467,76.286
1,6.1673,75.999
1,6.188,75.693
1,6.2087,75.378
1,6.2294,75.063
1,6.2501,74.753
1,6.2708,74.452
1,6.2915,74.161
1,6.3122,73.882
1,6.3329,73.615
1,6.3537,73.36
1,6.3744,73.117
1,6.3952,72.885
1,6.416,72.664
1,6.4368,72.452
1,6.4576,72.25
1,6.4784,72.058
1,6.4992,71.872
1,6.52,71.801
1,6.5408,71.507
1,6.5617,71.318
1,6.5825,93.224
1,6.6034,91.525
1,6.6243,89.751
1,6.6452,88.055
1,6.6661,86.497
1,6.687,85.093
1,6.7079,83.837
1,6.7288,82.717
1,6.7498,81.717
1,6.7707,80.822
1,6.7917,80.018
1,6.8127,79.293
1,6.8336,78.636
1,6.8546,78.038
1,6.8756,77.493
1,6.8966,76.992
1,6.9177,88.711
1,6.9387,86.823
1,6.9597,85.285
1,6.9808,83.991
1,7.0019,82.88
1,7.0229,81.91
1,7.044,81.055
1,7.0651,80.295
1,7.0862,79.615
1,7.1073,79.001
1,7.1285,78.444
1,7.1496,77.937
1,7.1708,77.471
1,7.1919,77.042
1,7.2131,76.646
1,7.2343,76.277
1,7.2555,75.934
1,7.2767,75.613
1,7.2979,75.312
