"N","Time","avg(f)"
1,0,60
1,0.018064,59.985
1,0.036134,59.973
1,0.054212,59.962
1,0.072295,59.953
1,0.090386,59.945
1,0.10848,59.98
1,0.12659,59.967
1,0.1447,59.956
1,0.16282,60.103
1,0.18094,60.066
1,0.19907,60.04
1,0.21721,60.21
1,0.23535,60.155
1,0.2535,60.115
1,0.27166,60.086
1,0.28983,60.062
1,0.308,60.043
1,0.32617,60.027
1,0.34436,60.013
1,0.36255,60.001
1,0.38075,59.991
1,0.39896,59.981
1,0.41717,59.972
1,0.43539,59.964
1,0.45361,59.956
1,0.47184,59.95
1,0.49008,59.944
1,0.50833,59.991
1,0.52658,59.983
1,0.54484,59.977
1,0.56311,60.532
1,0.58138,60.424
1,0.59967,60.35
1,0.61795,60.394
1,0.63625,60.354
1,0.65455,60.319
1,0.67286,60.288
1,0.69117,60.261
1,0.7095,60.236
1,0.72782,60.215
1,0.74616,60.195
1,0.7645,60.178
1,0.78285,60.162
1,0.80121,60.518
1,0.81958,60.452
1,0.83795,60.399
1,0.85632,61.228
1,0.87471,61.033
1,0.8931,60.897
1,0.9115,61.762
1,0.92991,61.506
1,0.94832,61.325
1,0.96674,61.627
1,0.98517,61.458
1,1.0036,61.324
1,1.022,61.214
1,1.0405,61.123
1,1.0589,61.045
1,1.0774,60.978
1,1.0959,60.919
1,1.1144,60.867
1,1.1328,60.821
1,1.1513,60.747
1,1.1698,60.727
1,1.1883,60.711
1,1.2069,60.693
1,1.2254,60.676
1,1.2439,60.659
1,1.2624,61.912
1,1.281,61.665
1,1.2995,61.492
1,1.3181,61.359
1,1.3366,61.268
1,1.3552,61.192
1,1.3738,61.128
1,1.3924,61.072
1,1.411,61.023
1,1.4296,60.979
1,1.4482,62.077
1,1.4668,61.827
1,1.4854,61.648
1,1.504,63.079
1,1.5227,62.683
1,1.5413,62.403
1,1.56,63.873
1,1.5786,63.399
1,1.5973,63.06
1,1.616,63.006
1,1.6346,62.839
1,1.6533,62.688
1,1.672,62.551
1,1.6907,62.428
1,1.7094,62.317
1,1.7282,62.217
1,1.7469,62.127
1,1.7656,62.046
1,1.7843,61.971
1,1.8031,61.905
1,1.8218,61.844
1,1.8406,61.787
1,1.8594,63.375
1,1.8782,62.99
1,1.8969,62.723
1,1.9157,64.522
1,1.9345,63.948
1,1.9533,63.539
1,1.9721,63.229
1,1.991,62.999
1,2.0098,62.816
1,2.0286,62.666
1,2.0475,62.54
1,2.0663,62.432
1,2.0852,62.338
1,2.1041,62.256
1,2.1229,62.182
1,2.1418,62.115
1,2.1607,62.386
1,2.1796,62.333
1,2.1985,62.273
1,2.2174,64.457
1,2.2363,63.984
1,2.2553,63.653
1,2.2742,65.819
1,2.2931,65.178
1,2.3121,64.724
1,2.3311,66.357
1,2.35,65.716
1,2.369,65.242
1,2.388,64.876
1,2.407,64.581
1,2.426,64.338
1,2.445,64.132
1,2.464,63.955
1,2.483,63.802
1,2.502,63.668
1,2.5211,66.144
1,2.5401,65.549
1,2.5592,65.123
1,2.5782,64.802
1,2.5973,64.536
1,2.6164,64.324
1,2.6354,64.432
1,2.6545,64.274
1,2.6736,64.135
1,2.6927,64.01
1,2.7119,63.898
1,2.731,63.795
1,2.7501,63.7
1,2.7692,63.613
1,2.7884,63.531
1,2.8075,63.456
1,2.8267,65.28
1,2.8459,64.865
1,2.865,64.552
1,2.8842,67.271
1,2.9034,66.516
1,2.9226,65.985
1,2.9418,68.727
1,2.9611,67.829
1,2.9803,67.189
1,2.9995,68.22
1,3.0188,67.613
1,3.038,67.131
1,3.0573,66.736
1,3.0765,66.406
1,3.0958,66.125
1,3.1151,65.882
1,3.1344,65.67
1,3.1537,65.482
1,3.173,65.314
1,3.1923,65.231
1,3.2116,65.185
1,3.231,65.116
1,3.2503,68.329
1,3.2696,67.624
1,3.289,67.126
1,3.3084,66.64
1,3.3277,66.406
1,3.3471,66.224
1,3.3665,66.071
1,3.3859,65.932
1,3.4053,65.802
1,3.4247,65.681
1,3.4441,65.568
1,3.4636,65.463
1,3.483,65.364
1,3.5024,65.272
1,3.5219,65.184
1,3.5414,65.101
1,3.5608,65.016
1,3.5803,64.964
1,3.5998,64.909
1,3.6193,68.495
1,3.6388,67.715
1,3.6583,67.164
1,3.6778,70.562
1,3.6974,69.526
1,3.7169,68.798
1,3.7364,70.929
1,3.756,70.007
1,3.7756,69.307
1,3.7951,68.756
1,3.8147,68.31
1,3.8343,67.941
1,3.8539,67.629
1,3.8735,67.445
1,3.8931,67.325
1,3.9127,67.187
1,3.9324,71.037
1,3.952,70.141
1,3.9717,69.507
1,3.9913,70.514
1,4.011,69.841
1,4.0307,69.357
1,4.0504,68.979
1,4.07,68.667
1,4.0897,68.397
1,4.1095,68.161
1,4.1292,67.952
1,4.1489,67.764
1,4.1686,67.594
1,4.1884,67.439
1,4.2081,67.296
1,4.2279,67.164
1,4.2477,67.027
1,4.2674,66.95
1,4.2872,66.874
1,4.307,69.475
1,4.3268,68.909
1,4.3466,68.484
1,4.3665,72.593
1,4.3863,71.481
1,4.4061,70.704
1,4.426,70.847
1,4.4458,70.397
1,4.4657,70.007
1,4.4856,69.667
1,4.5055,69.37
1,4.5254,69.107
1,4.5453,68.874
1,4.5652,68.664
1,4.5851,68.475
1,4.605,68.304
1,4.625,70.264
1,4.6449,69.803
1,4.6649,69.44
1,4.6848,73.882
1,4.7048,72.726
1,4.7248,71.914
1,4.7448,76.331
1,4.7648,74.876
1,4.7848,73.83
1,4.8048,73.149
1,4.8248,72.664
1,4.8449,72.233
1,4.8649,71.845
1,4.885,71.494
1,4.905,71.176
1,4.9251,70.887
1,4.9452,70.624
1,4.9653,70.384
1,4.9854,70.163
1,5.0055,69.96
1,5.0256,69.758
1,5.0457,69.582
1,5.0659,69.741
1,5.086,69.605
1,5.1062,69.474
1,5.1263,74.418
1,5.1465,73.318
1,5.1667,72.565
1,5.1869,72.424
1,5.2071,71.957
1,5.2273,71.582
1,5.2475,71.269
1,5.2678,70.998
1,5.288,70.759
1,5.3082,70.545
1,5.3285,74.452
1,5.3488,73.469
1,5.369,72.763
1,5.3893,77.725
1,5.4096,76.236
1,5.4299,75.188
1,5.4502,80.159
1,5.4706,78.428
1,5.4909,77.196
1,5.5112,76.395
1,5.5316,75.822
1,5.552,75.311
1,5.5723,74.848
1,5.5927,74.429
1,5.6131,74.048
1,5.6335,73.701
1,5.6539,73.384
1,5.6743,73.093
1,5.6948,72.826
1,5.7152,72.577
1,5.7357,72.35
1,5.7561,72.137
1,5.7766,73.927
1,5.7971,73.337
1,5.8176,72.938
1,5.838,78.44
1,5.8586,77.076
1,5.8791,76.115
1,5.8996,75.384
1,5.9201,74.86
1,5.9407,74.42
1,5.9612,74.041
1,5.9818,73.707
1,6.0024,73.409
1,6.023,73.14
1,6.0436,72.895
1,6.0642,72.67
1,6.0848,72.462
1,6.1054,75.008
1,6.126,74.408
1,6.1467,73.93
1,6.1673,79.642
1,6.188,78.123
1,6.2087,77.061
1,6.2294,82.707
1,6.2501,80.831
1,6.2708,79.506
1,6.2915,82.307
1,6.3122,80.846
1,6.3329,79.747
1,6.3537,78.876
1,6.3744,78.158
1,6.3952,77.551
1,6.416,77.027
1,6.4368,76.566
1,6.4576,76.158
1,6.4784,75.793
1,6.4992,81.029
1,6.52,79.52
1,6.5408,78.467
1,6.5617,77.677
1,6.5825,77.06
1,6.6034,76.55
1,6.6243,80.21
1,6.6452,79.051
1,6.6661,78.171
1,6.687,77.474
1,6.7079,76.912
1,6.7288,76.44
1,6.7498,76.035
1,6.7707,75.681
1,6.7917,75.368
1,6.8127,75.086
1,6.8336,79.226
1,6.8546,78.166
1,6.8756,77.369
1,6.8966,83.576
1,6.9177,81.732
1,6.9387,80.441
1,6.9597,86.645
1,6.9808,84.481
1,7.0019,82.952
1,7.0229,84.887
1,7.044,83.513
1,7.0651,82.425
1,7.0862,81.534
1,7.1073,80.785
1,7.1285,80.143
1,7.1496,79.585
1,7.1708,79.093
1,7.1919,78.656
1,7.2131,78.263
1,7.2343,78.011
1,7.2555,77.821
1,7.2767,77.595
1,7.2979,84.454
1,7.3191,82.805
1,7.3403,81.651
1,7.3616,81.577
1,7.3828,80.844
1,7.4041,80.25
1,7.4254,79.742
1,7.4467,79.305
1,7.468,78.915
1,7.4893,78.564
1,7.5106,78.245
1,7.532,77.954
1,7.5533,77.686
1,7.5747,77.437
1,7.596,77.205
1,7.6174,76.987
1,7.6388,77.342
1,7.6602,77.104
1,7.6816,76.897
1,7.703,84.067
1,7.7245,82.461
1,7.7459,81.357
1,7.7674,88.324
1,7.7888,86.142
1,7.8103,84.622
1,7.8318,88.87
1,7.8533,86.954
1,7.8748,85.506
1,7.8963,84.368
1,7.9179,83.445
1,7.9394,82.677
1,7.961,82.025
1,7.9825,81.646
1,8.0041,81.366
1,8.0257,81.048
1,8.0473,88.548
1,8.0689,86.675
1,8.0905,85.36
1,8.1122,84.155
1,8.1338,83.506
1,8.1555,82.982
1,8.1772,82.514
1,8.1988,82.1
1,8.2205,81.725
1,8.2422,81.38
1,8.264,81.058
1,8.2857,80.758
1,8.3074,80.476
1,8.3292,80.211
1,8.3509,79.961
1,8.3727,79.725
1,8.3945,80.64
1,8.4163,80.379
1,8.4381,80.111
1,8.4599,87.988
1,8.4818,86.02
1,8.5036,84.639
1,8.5255,92.057
1,8.5473,89.578
1,8.5692,87.854
1,8.5911,90.631
1,8.613,88.977
1,8.6349,87.682
1,8.6569,86.633
1,8.6788,85.761
1,8.7007,85.021
1,8.7227,84.384
1,8.7447,83.826
1,8.7667,83.333
1,8.7887,82.892
1,8.8107,85.996
1,8.8327,85.09
1,8.8547,84.361
1,8.8768,92.323
1,8.8989,90.088
1,8.9209,88.533
1,8.943,95.172
1,8.9651,92.504
1,8.9872,90.636
1,9.0093,89.346
1,9.0315,88.44
1,9.0536,87.665
1,9.0758,86.982
1,9.0979,86.373
1,9.1201,85.824
1,9.1423,85.327
1,9.1645,84.875
1,9.1867,84.461
1,9.209,84.079
1,9.2312,83.717
1,9.2535,83.405
1,9.2758,83.106
1,9.298,86.059
1,9.3203,85.152
1,9.3426,84.483
1,9.365,92.86
1,9.3873,90.629
1,9.4096,89.106
1,9.432,89.339
1,9.4544,88.409
1,9.4767,87.618
1,9.4991,86.938
1,9.5215,86.347
1,9.544,85.827
1,9.5664,85.365
1,9.5888,89.708
1,9.6113,88.46
1,9.6338,87.532
1,9.6563,96.092
1,9.6788,93.602
1,9.7013,91.876
1,9.7238,100.37
1,9.7463,97.331
1,9.7689,95.182
1,9.7914,93.567
1,9.814,92.295
1,9.8366,91.26
1,9.8592,90.395
1,9.8818,89.656
1,9.9044,89.012
1,9.9271,88.442
1,9.9497,87.932
1,9.9724,87.469
1,9.9951,87.046
1,10.018,86.648
1,10.04,86.293
1,10.063,85.962
1,10.086,86.023
1,10.109,85.926
1,10.131,85.816
1,10.154,95.189
1,10.177,93.074
1,10.2,91.654
1,10.223,92.058
1,10.245,91.175
1,10.268,90.41
1,10.291,89.742
1,10.314,89.153
1,10.337,88.628
1,10.36,88.158
1,10.383,87.731
1,10.406,87.341
1,10.429,86.983
1,10.451,91.114
1,10.474,90.07
1,10.497,89.244
1,10.52,98.465
1,10.543,95.875
1,10.566,94.097
1,10.589,103.2
1,10.612,100.04
1,10.636,97.845
1,10.659,100.7
1,10.682,98.69
1,10.705,97.119
1,10.728,95.84
1,10.751,94.771
1,10.774,93.858
1,10.797,93.066
1,10.821,92.37
1,10.844,91.749
1,10.867,91.192
1,10.89,94.24
1,10.913,93.024
1,10.937,92.179
1,10.96,91.516
1,10.983,90.955
1,11.006,90.462
1,11.03,100.29
1,11.053,97.618
1,11.076,95.75
1,11.1,94.347
1,11.123,93.301
1,11.146,92.455
1,11.17,91.748
1,11.193,91.142
1,11.217,90.611
1,11.24,90.139
1,11.263,96.554
1,11.287,94.8
1,11.31,93.504
1,11.334,103.13
1,11.357,100.13
1,11.381,98.067
1,11.404,107.68
1,11.428,104.19
1,11.451,101.77
1,11.475,104.75
1,11.499,102.56
1,11.522,100.84
1,11.546,99.439
1,11.569,98.271
1,11.593,97.276
1,11.617,96.414
1,11.64,95.657
1,11.664,94.984
1,11.688,94.381
1,11.712,93.84
1,11.735,93.357
1,11.759,92.917
1,11.783,103.27
1,11.807,100.46
1,11.83,98.567
1,11.854,104.19
1,11.878,101.69
1,11.902,99.842
1,11.926,98.411
1,11.95,97.283
1,11.974,96.354
