"N","Time","avg(f)","max(f)"
2286,0,55,55
2286,0.049,54.998,55.001
2286,0.098,55.005,55.639
2286,0.147,55.023,56.245
2286,0.196,55.046,57.043
2286,0.245,55.098,57.46
2286,0.294,55.133,58.086
2286,0.343,55.168,58.836
2286,0.392,55.279,59.608
2286,0.441,55.322,59.214
2286,0.49,55.383,60.229
2286,0.539,55.476,61.302
2286,0.588,55.542,62.265
2286,0.637,55.653,64.138
2286,0.686,55.725,63.025
2286,0.735,55.8,64.35
2286,0.784,56.024,64.738
2286,0.833,56.109,66.35
2286,0.882,56.215,70.796
2286,0.931,56.344,68.89
2286,0.98,56.435,68.101
2286,1.029,56.645,71.346
2286,1.078,56.742,74.391
2286,1.127,56.834,72.077
2286,1.176,57.097,74.628
2286,1.225,57.193,72.97
2286,1.274,57.326,70.997
2286,1.323,57.494,75.597
2286,1.372,57.578,78.656
2286,1.421,57.927,77.513
2286,1.47,58.016,75.511
2286,1.519,58.137,76.984
2286,1.568,58.451,83.743
2286,1.617,58.569,87.262
2286,1.666,58.742,83.32
2286,1.715,58.896,79.966
2286,1.764,59.013,84.172
2286,1.813,59.369,93.239
2286,1.862,59.512,88.96
2286,1.911,59.664,86.39
2286,1.96,60.041,89.32
2286,2.009,60.176,96.486
2286,2.058,60.402,91.703
2286,2.107,60.571,88.994
2286,2.156,60.693,97.795
2286,2.205,61.163,97.951
2286,2.254,61.256,94.132
2286,2.303,61.452,103.78
2286,2.352,61.88,98.29
2286,2.401,62.006,106.25
2286,2.45,62.265,100.25
2286,2.499,62.371,95.136
2286,2.548,62.536,105.12
2286,2.597,63.153,100.1
2286,2.646,63.28,111.96
2286,2.695,63.429,105.84
2286,2.744,63.808,112.15
2286,2.793,63.921,106.01
2286,2.842,64.285,110.97
2286,2.891,64.443,113.48
2286,2.94,64.589,107
2286,2.989,65.174,112.64
2286,3.038,65.297,106.66
2286,3.087,65.493,115.62
2286,3.136,65.936,116.23
2286,3.185,66.067,115.88
2286,3.234,66.435,117.27
2286,3.283,66.571,112.49
2286,3.332,66.725,118.79
2286,3.381,67.764,119.43
2286,3.43,67.886,115.59
2286,3.479,68.076,112.07
2286,3.528,68.442,114.92
2286,3.577,68.594,123.7
2286,3.626,69.057,128.32
2286,3.675,69.218,122.3
2286,3.724,69.334,118.61
2286,3.773,70.169,121.7
2286,3.822,70.26,117.47
2286,3.871,70.423,122.65
2286,3.92,70.843,124.1
2286,3.969,71.002,130.2
2286,4.018,71.537,134.55
2286,4.067,71.635,126.83
2286,4.116,71.78,126.46
2286,4.165,72.647,133.09
2286,4.214,72.745,132.45
2286,4.263,72.923,150.05
2286,4.312,73.274,140.67
2286,4.361,73.378,140.36
2286,4.41,73.8,141.7
2286,4.459,73.901,141.56
2286,4.508,74.027,148.28
2286,4.557,74.699,148.21
2286,4.606,74.721,140.13
2286,4.655,74.929,136.94
2286,4.704,75.176,137.24
2286,4.753,75.328,134.1
2286,4.802,75.918,142.32
2286,4.851,75.965,135.19
2286,4.9,76.021,141.91
2286,4.949,76.651,151.55
2286,4.998,76.711,152.67
2286,5.047,76.87,145.81
2286,5.096,77.053,143.97
2286,5.145,77.077,139.18
2286,5.194,77.585,146.79
2286,5.243,77.588,141
2286,5.292,77.677,135.8
2286,5.341,78.221,151.96
2286,5.39,78.285,145.97
2286,5.439,78.516,149.69
