"N","Time","avg(f)"
1,0,60
1,0.018064,59.988
1,0.036134,59.977
1,0.054212,59.967
1,0.072295,59.958
1,0.090386,59.95
1,0.10848,59.942
1,0.12659,59.935
1,0.1447,59.929
1,0.16282,59.923
1,0.18094,59.917
1,0.19907,59.898
1,0.21721,59.901
1,0.23535,59.902
1,0.2535,60.875
1,0.27166,60.768
1,0.28983,60.674
1,0.308,60.593
1,0.32617,60.525
1,0.34436,60.467
1,0.36255,60.417
1,0.38075,60.374
1,0.39896,60.336
1,0.41717,60.302
1,0.43539,60.272
1,0.45361,60.245
1,0.47184,60.221
1,0.49008,60.181
1,0.50833,60.239
1,0.52658,60.261
1,0.54484,60.264
1,0.56311,60.258
1,0.58138,60.247
1,0.59967,60.234
1,0.61795,60.22
1,0.63625,60.206
1,0.65455,60.192
1,0.67286,60.178
1,0.69117,60.165
1,0.7095,60.153
1,0.72782,60.141
1,0.74616,60.13
1,0.7645,60.119
1,0.78285,60.109
1,0.80121,60.099
1,0.81958,60.089
1,0.83795,60.08
1,0.85632,60.071
1,0.87471,60.063
1,0.8931,63.64
1,0.9115,63.143
1,0.92991,62.738
1,0.94832,62.409
1,0.96674,62.143
1,0.98517,61.925
1,1.0036,61.743
1,1.022,61.591
1,1.0405,61.461
1,1.0589,61.349
1,1.0774,61.252
1,1.0959,61.167
1,1.1144,61.092
1,1.1328,61.024
1,1.1513,60.965
1,1.1698,60.911
1,1.1883,65.804
1,1.2069,64.99
1,1.2254,64.343
1,1.2439,63.825
1,1.2624,63.408
1,1.281,63.069
1,1.2995,62.789
1,1.3181,62.556
1,1.3366,62.358
1,1.3552,62.189
1,1.3738,62.044
1,1.3924,61.916
1,1.411,61.804
1,1.4296,61.705
1,1.4482,61.616
1,1.4668,61.536
1,1.4854,61.463
1,1.504,61.397
1,1.5227,61.336
1,1.5413,61.281
1,1.56,61.228
1,1.5786,61.181
1,1.5973,63.793
1,1.616,63.232
1,1.6346,62.859
1,1.6533,62.597
1,1.672,62.402
1,1.6907,62.25
1,1.7094,62.125
1,1.7282,62.02
1,1.7469,61.928
1,1.7656,61.846
1,1.7843,61.769
1,1.8031,61.704
1,1.8218,61.643
1,1.8406,68.997
1,1.8594,68.099
1,1.8782,67.312
1,1.8969,66.629
1,1.9157,66.054
1,1.9345,65.572
1,1.9533,65.164
1,1.9721,64.816
1,1.991,64.517
1,2.0098,64.256
1,2.0286,64.027
1,2.0475,63.824
1,2.0663,63.643
1,2.0852,63.481
1,2.1041,63.334
1,2.1229,63.2
1,2.1418,63.078
1,2.1607,62.966
1,2.1796,62.862
1,2.1985,62.766
1,2.2174,62.677
1,2.2363,62.594
1,2.2553,62.222
1,2.2742,62.331
1,2.2931,62.403
1,2.3121,62.447
1,2.3311,62.47
1,2.35,62.477
1,2.369,62.472
1,2.388,62.458
1,2.407,62.437
1,2.426,62.411
1,2.445,62.382
1,2.464,62.35
1,2.483,62.316
1,2.502,62.278
1,2.5211,62.245
1,2.5401,62.21
1,2.5592,72.346
1,2.5782,71.148
1,2.5973,70.109
1,2.6164,69.162
1,2.6354,68.873
1,2.6545,68.477
1,2.6736,68.053
1,2.6927,67.652
1,2.7119,67.277
1,2.731,66.933
1,2.7501,66.62
1,2.7692,66.334
1,2.7884,66.074
1,2.8075,65.837
1,2.8267,65.619
1,2.8459,65.419
1,2.865,65.235
1,2.8842,65.063
1,2.9034,64.904
1,2.9226,64.757
1,2.9418,64.619
1,2.9611,64.49
1,2.9803,64.365
1,2.9995,64.256
1,3.0188,64.151
1,3.038,64.05
1,3.0573,63.953
1,3.0765,63.86
1,3.0958,63.772
1,3.1151,63.688
1,3.1344,63.609
1,3.1537,63.535
1,3.173,63.46
1,3.1923,63.396
1,3.2116,63.335
1,3.231,76.158
1,3.2503,73.661
1,3.2696,71.864
1,3.289,77.395
1,3.3084,75.823
1,3.3277,74.413
1,3.3471,73.193
1,3.3665,72.163
1,3.3859,71.289
1,3.4053,70.547
1,3.4247,69.912
1,3.4441,69.365
