"N","Time","avg(f)"
1,0,60
1,0.21496,59.954
1,0.43087,59.913
1,0.64773,60.543
1,0.86557,60.413
1,1.0844,60.305
1,1.3042,60.214
1,1.5251,60.137
1,1.7469,59.926
1,1.9698,60.051
1,2.1938,61.428
1,2.4188,61.297
1,2.645,61.177
1,2.8722,61.07
1,3.1005,60.978
1,3.33,62.083
1,3.5606,62.266
1,3.7924,62.281
1,4.0254,62.217
1,4.2596,62.117
1,4.4951,68.241
1,4.7317,67.236
1,4.9697,66.407
1,5.2089,65.72
1,5.4494,65.15
1,5.6913,64.249
1,5.9345,64.457
1,6.1791,68.663
1,6.425,68.279
1,6.6724,67.853
1,6.9213,67.439
1,7.1716,67.058
1,7.4234,70.231
1,7.6768,70.349
1,7.9317,70.125
1,8.1881,69.758
1,8.4462,69.345
1,8.7059,72.098
1,8.9674,72.349
1,9.2305,72.137
1,9.4953,71.731
1,9.7619,71.26
1,10.03,70.185
1,10.301,71.19
1,10.573,72.896
1,10.847,73.398
1,11.123,73.465
1,11.401,73.333
1,11.681,73.114
1,11.963,78.524
1,12.248,78.711
1,12.534,78.376
1,12.823,77.836
1,13.114,77.237
1,13.408,82.867
1,13.704,82.939
1,14.002,82.375
1,14.303,81.581
1,14.607,80.738
1,14.913,84.203
1,15.222,83.758
1,15.534,82.087
1,15.849,83.121
1,16.166,83.353
1,16.487,83.221
1,16.811,82.926
1,17.138,97.516
1,17.469,94.831
1,17.803,92.692
1,18.141,90.942
1,18.482,89.478
1,18.827,96.794
1,19.176,96.125
1,19.529,94.84
1,19.887,93.419
1,20.249,92.052
1,20.61,96.361
1,20.977,95.562
1,21.555,94.335
1,22.141,96.681
1,22.739,96.859
1,23.35,96.312
1,23.975,95.521
1,24.614,144.55
1,25.27,127.88
1,25.943,117.71
1,26.635,111.09
1,27.347,106.53
1,28.081,128.63
1,28.839,119.81
1,29.623,113.81
1,30.437,109.52
1,31.284,106.34
1,32.168,115.93
1,33.095,110.79
1,34.07,112.74
1,35.102,111.41
1,36.201,109.77
1,37.382,108.21
1,38.664,106.81
1,40.077,146.93
1,41.665,126.62
1,43.504,116.92
1,45.742,111.56
1,48.728,108.03
1,53.766,107.17
