"N","Time","avg(f)","max(f)"
3257,0,55,55.001
3257,0.049,54.998,55
3257,0.098,55.006,55.419
3257,0.147,55.032,56.354
3257,0.196,55.059,56.22
3257,0.245,55.125,57.67
3257,0.294,55.168,57.201
3257,0.343,55.217,57.571
3257,0.392,55.368,60.147
3257,0.441,55.425,59.954
3257,0.49,55.496,59.497
3257,0.539,55.63,64.112
3257,0.588,55.71,62.664
3257,0.637,55.861,64.144
3257,0.686,55.95,63.071
3257,0.735,56.05,62.575
3257,0.784,56.368,67.32
3257,0.833,56.46,66.005
3257,0.882,56.56,65.495
3257,0.931,56.737,69.84
3257,0.98,56.849,68.372
3257,1.029,57.116,70.348
3257,1.078,57.24,68.574
3257,1.127,57.362,71.215
3257,1.176,57.761,76.691
3257,1.225,57.88,74.236
3257,1.274,58.035,74.358
3257,1.323,58.26,75.797
3257,1.372,58.394,73.866
3257,1.421,58.819,77.947
3257,1.47,58.939,76.124
3257,1.519,59.086,75.453
3257,1.568,59.513,85.843
3257,1.617,59.663,82.728
3257,1.666,59.883,80.085
3257,1.715,60.116,85.293
3257,1.764,60.263,82.479
3257,1.813,60.706,87.033
3257,1.862,60.866,84.121
3257,1.911,61.015,81.654
3257,1.96,61.55,95.546
3257,2.009,61.682,89.562
3257,2.058,61.953,90.48
3257,2.107,62.195,90.122
3257,2.156,62.363,90.352
3257,2.205,63.017,102.41
3257,2.254,63.171,96.574
3257,2.303,63.319,93.266
3257,2.352,63.904,100.15
3257,2.401,64.057,96.193
3257,2.45,64.389,98.375
3257,2.499,64.559,96.188
3257,2.548,64.728,103.32
3257,2.597,65.631,113.13
3257,2.646,65.796,108.18
3257,2.695,65.964,105.02
3257,2.744,66.419,120.11
3257,2.793,66.576,114
3257,2.842,67.057,111.45
3257,2.891,67.222,106.92
3257,2.94,67.414,108.4
3257,2.989,68.277,125.81
3257,3.038,68.426,118.68
3257,3.087,68.609,112.74
3257,3.136,69.198,125.2
3257,3.185,69.354,116.04
3257,3.234,69.739,125.13
3257,3.283,69.908,120.19
3257,3.332,70.08,115.77
3257,3.381,71.676,133.48
3257,3.43,71.762,124.26
3257,3.479,71.882,117.85
3257,3.528,72.363,121.12
3257,3.577,72.509,120.65
3257,3.626,73.167,137.56
3257,3.675,73.317,130.77
3257,3.724,73.474,124.97
3257,3.773,74.736,154.61
3257,3.822,74.874,146.14
3257,3.871,75.035,138.95
3257,3.92,75.581,155.87
3257,3.969,75.698,146.61
3257,4.018,76.265,141.09
3257,4.067,76.423,134.21
3257,4.116,76.566,128.31
3257,4.165,77.742,155.93
3257,4.214,77.817,144.84
3257,4.263,77.937,135.9
3257,4.312,78.447,171.74
3257,4.361,78.572,157.67
3257,4.41,79.217,152.98
3257,4.459,79.278,144.21
3257,4.508,79.387,137.93
3257,4.557,80.403,175.37
3257,4.606,80.416,163.52
3257,4.655,80.517,153.67
3257,4.704,80.909,157.36
3257,4.753,80.974,148.51
3257,4.802,81.8,161.94
3257,4.851,81.836,153.05
3257,4.9,81.87,146.15
3257,4.949,82.658,159.92
3257,4.998,82.68,151.56
3257,5.047,82.875,144.56
3257,5.096,83.134,158.95
3257,5.145,83.138,148.91
3257,5.194,83.776,164.88
3257,5.243,83.791,156.89
3257,5.292,83.824,150.03
3257,5.341,84.53,161.02
3257,5.39,84.526,152.75
3257,5.439,84.74,154.36
3257,5.488,84.882,175.81
3257,5.537,84.922,166.83
3257,5.586,85.706,171.76
3257,5.635,85.709,162.21
3257,5.684,85.736,154.21
3257,5.733,86.526,167.23
3257,5.782,86.471,158.28
3257,5.831,86.763,157.93
3257,5.88,86.81,158.46
3257,5.929,86.781,152.64
3257,5.978,87.664,167.91
3257,6.027,87.633,160.69
3257,6.076,87.636,154.48
3257,6.125,88.082,177.44
3257,6.174,88.033,168.79
3257,6.223,88.379,167.14
3257,6.272,88.378,159.74
3257,6.321,88.33,153.33
3257,6.37,89.232,179.57
3257,6.419,89.204,170.27
3257,6.468,89.172,162.25
3257,6.517,89.618,165.02
3257,6.566,89.572,154.39
3257,6.615,89.941,174.8
3257,6.664,89.886,166.55
3257,6.713,89.871,159.6
3257,6.762,91.072,166.08
3257,6.811,90.945,157.65
3257,6.86,90.829,152.13
3257,6.909,91.208,159.56
3257,6.958,91.146,153.08
3257,7.007,91.498,174.91
3257,7.056,91.473,166.59
3257,7.105,91.386,159.5
3257,7.154,92.755,167.89
3257,7.203,92.668,161.09
3257,7.252,92.58,155.67
3257,7.301,92.831,187.78
3257,7.35,92.745,178.8
3257,7.399,93.183,172.27
3257,7.448,93.117,165.69
3257,7.497,93.052,159.96
3257,7.546,93.879,195.93
3257,7.595,93.737,185.98
3257,7.644,93.669,177.45
3257,7.693,93.951,186.53
3257,7.742,93.88,178.3
3257,7.791,94.198,177.93
3257,7.84,94.106,167.98
3257,7.889,94.018,161.06
3257,7.938,94.949,191.41
3257,7.987,94.831,180.91
3257,8.036,94.775,172.11
3257,8.085,94.966,189.25
3257,8.134,94.879,180.04
3257,8.183,95.462,195.57
3257,8.232,95.373,185.04
3257,8.281,95.269,176.25
3257,8.33,95.969,186.6
3257,8.379,95.842,177.12
3257,8.428,95.881,170.91
3257,8.477,96.008,174.35
3257,8.526,95.931,168.13
3257,8.575,96.531,183.5
3257,8.624,96.438,174.94
3257,8.673,96.369,169.24
3257,8.722,96.904,189.95
3257,8.771,96.808,181.79
3257,8.82,96.891,174.72
3257,8.869,96.944,168.63
3257,8.918,96.858,163.18
3257,8.967,97.425,177.16
3257,9.016,97.323,169.21
3257,9.065,97.269,163.57
3257,9.114,97.993,195.66
3257,9.163,97.888,184.14
3257,9.212,98.02,176.45
3257,9.261,97.996,169.87
3257,9.31,97.901,164.2
3257,9.359,98.714,191.18
3257,9.408,98.589,180.65
3257,9.457,98.506,172.27
3257,9.506,98.904,181.71
3257,9.555,98.783,173.99
3257,9.604,98.985,174.73
3257,9.653,98.905,168.59
3257,9.702,98.828,163.96
3257,9.751,99.779,190.67
3257,9.8,99.657,178.5
3257,9.849,99.552,172.48
3257,9.898,99.894,194.3
3257,9.947,99.782,185.89
3257,9.996,100.03,183.22
3257,10.045,99.946,176.84
3257,10.094,99.854,171.28
3257,10.143,100.71,187.62
3257,10.192,100.6,180.16
