"N","Time","avg(f)"
1,0,60
1,0.018064,59.985
1,0.036134,59.973
1,0.054212,59.962
1,0.072295,59.953
1,0.090386,59.945
1,0.10848,59.938
1,0.12659,59.931
1,0.1447,59.924
1,0.16282,60.559
1,0.18094,60.423
1,0.19907,60.331
1,0.21721,60.263
1,0.23535,60.213
1,0.2535,60.174
1,0.27166,60.141
1,0.28983,60.114
1,0.308,60.091
1,0.32617,60.071
1,0.34436,60.054
1,0.36255,60.038
1,0.38075,60.024
1,0.39896,60.012
1,0.41717,60.001
1,0.43539,59.99
1,0.45361,59.98
1,0.47184,59.972
1,0.49008,59.963
1,0.50833,59.955
1,0.52658,59.948
1,0.54484,59.941
1,0.56311,60.221
1,0.58138,60.208
1,0.59967,60.195
1,0.61795,60.181
1,0.63625,60.167
1,0.65455,60.153
1,0.67286,60.14
1,0.69117,60.127
1,0.7095,60.114
1,0.72782,60.102
1,0.74616,60.091
1,0.7645,60.08
1,0.78285,60.069
1,0.80121,60.06
1,0.81958,60.05
1,0.83795,60.041
1,0.85632,64.221
1,0.87471,63.459
1,0.8931,62.938
1,0.9115,62.457
1,0.92991,62.222
1,0.94832,62.051
1,0.96674,61.911
1,0.98517,61.789
1,1.0036,61.681
1,1.022,61.582
1,1.0405,61.492
1,1.0589,61.41
1,1.0774,61.334
1,1.0959,61.265
1,1.1144,61.2
1,1.1328,61.141
1,1.1513,61.086
1,1.1698,61.035
1,1.1883,60.987
1,1.2069,60.942
1,1.2254,60.901
1,1.2439,60.862
1,1.2624,60.818
1,1.281,60.784
1,1.2995,60.758
1,1.3181,60.735
1,1.3366,60.713
1,1.3552,60.692
1,1.3738,60.672
1,1.3924,60.652
1,1.411,60.634
1,1.4296,60.615
1,1.4482,60.597
1,1.4668,60.58
1,1.4854,60.564
1,1.504,68.01
1,1.5227,66.544
1,1.5413,65.517
1,1.56,67.503
1,1.5786,66.34
1,1.5973,65.552
1,1.616,64.978
1,1.6346,64.535
1,1.6533,64.179
1,1.672,63.882
1,1.6907,63.631
1,1.7094,63.414
1,1.7282,63.224
1,1.7469,63.055
1,1.7656,62.905
1,1.7843,62.77
1,1.8031,62.648
1,1.8218,62.536
1,1.8406,62.434
1,1.8594,62.338
1,1.8782,62.258
1,1.8969,62.178
1,1.9157,62.101
1,1.9345,62.029
1,1.9533,61.962
1,1.9721,61.9
1,1.991,61.842
1,2.0098,61.788
1,2.0286,61.738
1,2.0475,61.691
1,2.0663,61.647
1,2.0852,61.605
1,2.1041,61.566
1,2.1229,61.529
1,2.1418,61.494
1,2.1607,61.46
1,2.1796,61.428
1,2.1985,61.398
1,2.2174,68.018
1,2.2363,66.646
1,2.2553,65.68
1,2.2742,76.465
1,2.2931,73.612
1,2.3121,71.638
1,2.3311,70.202
1,2.35,69.116
1,2.369,68.267
1,2.388,67.584
1,2.407,67.023
1,2.426,66.552
1,2.445,66.15
1,2.464,65.803
1,2.483,65.499
1,2.502,65.231
1,2.5211,64.995
1,2.5401,64.76
1,2.5592,64.564
1,2.5782,64.392
1,2.5973,64.237
1,2.6164,64.096
1,2.6354,63.967
1,2.6545,63.848
1,2.6736,63.736
1,2.6927,63.632
1,2.7119,63.535
1,2.731,63.444
1,2.7501,63.359
1,2.7692,63.278
1,2.7884,63.201
1,2.8075,63.129
1,2.8267,63.06
1,2.8459,62.994
1,2.865,62.932
1,2.8842,63.811
1,2.9034,63.715
1,2.9226,63.634
1,2.9418,77.984
1,2.9611,75.171
1,2.9803,73.256
1,2.9995,71.87
1,3.0188,70.814
1,3.038,69.977
1,3.0573,69.293
1,3.0765,68.719
1,3.0958,68.229
1,3.1151,67.803
1,3.1344,67.429
1,3.1537,67.096
1,3.173,66.798
1,3.1923,66.529
1,3.2116,66.285
1,3.231,66.061
1,3.2503,65.432
1,3.2696,65.489
1,3.289,65.556
1,3.3084,65.589
1,3.3277,65.584
1,3.3471,65.548
1,3.3665,65.491
1,3.3859,65.419
1,3.4053,65.338
1,3.4247,65.251
1,3.4441,65.162
1,3.4636,65.072
1,3.483,64.983
1,3.5024,64.894
1,3.5219,64.807
1,3.5414,64.722
1,3.5608,64.64
1,3.5803,64.56
1,3.5998,64.482
1,3.6193,64.403
1,3.6388,64.331
1,3.6583,64.26
1,3.6778,82.083
1,3.6974,78.439
1,3.7169,75.904
1,3.7364,74.065
1,3.756,72.681
1,3.7756,71.605
1,3.7951,70.746
1,3.8147,70.044
1,3.8343,69.458
1,3.8539,68.962
1,3.8735,68.535
1,3.8931,68.162
1,3.9127,67.833
1,3.9324,77.503
1,3.952,74.991
1,3.9717,73.372
1,3.9913,72.241
1,4.011,71.387
1,4.0307,70.716
1,4.0504,70.166
1,4.07,69.7
1,4.0897,69.297
1,4.1095,68.942
1,4.1292,68.625
1,4.1489,68.34
1,4.1686,68.08
1,4.1884,67.842
1,4.2081,67.623
1,4.2279,67.42
1,4.2477,67.232
1,4.2674,67.057
1,4.2872,66.893
1,4.307,66.738
1,4.3268,66.593
1,4.3466,66.457
1,4.3665,79.154
1,4.3863,76.402
1,4.4061,74.463
1,4.426,73.046
1,4.4458,71.975
1,4.4657,71.141
1,4.4856,70.473
1,4.5055,69.924
1,4.5254,69.465
1,4.5453,69.073
1,4.5652,68.733
1,4.5851,68.435
1,4.605,68.17
1,4.625,67.931
1,4.6449,67.714
1,4.6649,67.518
1,4.6848,89.715
1,4.7048,85.1
1,4.7248,81.97
1,4.7448,79.728
1,4.7648,77.981
1,4.7848,76.631
1,4.8048,75.548
1,4.8248,74.653
1,4.8449,73.898
1,4.8649,73.25
1,4.885,72.686
1,4.905,72.189
1,4.9251,71.746
1,4.9452,71.347
1,4.9653,70.986
1,4.9854,70.656
1,5.0055,70.353
1,5.0256,70.073
1,5.0457,69.814
1,5.0659,69.573
1,5.086,69.348
1,5.1062,69.137
1,5.1263,70.575
1,5.1465,70.317
1,5.1667,70.092
1,5.1869,69.882
1,5.2071,69.681
1,5.2273,69.488
1,5.2475,69.303
1,5.2678,69.126
1,5.288,68.959
1,5.3082,68.799
1,5.3285,68.644
1,5.3488,68.5
1,5.369,68.363
1,5.3893,93.684
1,5.4096,88.734
1,5.4299,85.371
1,5.4502,82.368
1,5.4706,80.86
1,5.4909,79.736
1,5.5112,78.804
1,5.5316,77.986
1,5.552,77.25
1,5.5723,76.582
1,5.5927,75.973
1,5.6131,75.416
1,5.6335,74.904
1,5.6539,74.434
1,5.6743,74
1,5.6948,73.599
1,5.7152,73.227
1,5.7357,72.882
1,5.7561,72.559
1,5.7766,72.259
1,5.7971,71.974
1,5.8176,71.71
1,5.838,71.429
1,5.8586,71.202
1,5.8791,71.012
1,5.8996,70.838
1,5.9201,70.672
1,5.9407,70.512
1,5.9612,70.358
1,5.9818,70.209
1,6.0024,70.066
1,6.023,69.928
1,6.0436,69.794
1,6.0642,69.666
1,6.0848,69.542
1,6.1054,69.421
1,6.126,69.305
1,6.1467,69.195
1,6.1673,97.789
1,6.188,91.039
1,6.2087,86.553
1,6.2294,99.235
1,6.2501,93.3
1,6.2708,89.367
1,6.2915,86.569
1,6.3122,84.47
1,6.3329,82.824
1,6.3537,81.49
1,6.3744,80.38
1,6.3952,79.438
1,6.416,78.625
1,6.4368,77.913
1,6.4576,77.284
1,6.4784,76.721
1,6.4992,76.207
1,6.52,75.767
1,6.5408,75.349
1,6.5617,74.957
1,6.5825,74.594
1,6.6034,74.258
1,6.6243,73.946
1,6.6452,73.658
1,6.6661,73.391
1,6.687,73.141
1,6.7079,72.907
1,6.7288,72.687
1,6.7498,72.478
1,6.7707,72.28
1,6.7917,72.093
1,6.8127,71.914
1,6.8336,71.741
1,6.8546,71.578
1,6.8756,71.425
1,6.8966,90.803
1,6.9177,86.462
1,6.9387,83.464
1,6.9597,114.56
1,6.9808,105.77
1,7.0019,99.805
1,7.0229,95.518
1,7.044,92.297
1,7.0651,89.79
1,7.0862,87.779
1,7.1073,86.128
1,7.1285,84.743
1,7.1496,83.563
1,7.1708,82.542
1,7.1919,81.648
1,7.2131,80.857
1,7.2343,80.151
1,7.2555,79.514
1,7.2767,78.937
1,7.2979,78.287
1,7.3191,77.793
1,7.3403,77.442
1,7.3616,77.136
1,7.3828,76.848
1,7.4041,76.57
1,7.4254,76.3
1,7.4467,76.039
1,7.468,75.788
1,7.4893,75.546
1,7.5106,75.312
1,7.532,75.088
1,7.5533,74.871
1,7.5747,74.663
1,7.596,74.462
1,7.6174,74.268
1,7.6388,74.081
1,7.6602,73.9
1,7.6816,73.727
1,7.703,73.451
1,7.7245,73.37
1,7.7459,73.324
1,7.7674,108.85
1,7.7888,101.84
1,7.8103,97.15
1,7.8318,93.785
1,7.8533,91.235
1,7.8748,89.217
1,7.8963,87.567
1,7.9179,86.183
1,7.9394,85
1,7.961,83.973
1,7.9825,83.07
1,8.0041,82.267
1,8.0257,81.548
1,8.0473,79.96
1,8.0689,80.018
1,8.0905,80.079
1,8.1122,80.046
1,8.1338,79.922
1,8.1555,79.73
1,8.1772,79.494
1,8.1988,79.232
1,8.2205,78.958
1,8.2422,78.678
1,8.264,78.4
1,8.2857,78.125
1,8.3074,77.856
1,8.3292,77.595
1,8.3509,77.341
1,8.3727,77.096
1,8.3945,76.859
1,8.4163,76.63
1,8.4381,76.41
1,8.4599,76.192
1,8.4818,75.991
1,8.5036,75.794
1,8.5255,114.55
1,8.5473,106.06
1,8.5692,100.29
1,8.5911,96.171
1,8.613,93.112
1,8.6349,90.756
1,8.6569,88.886
1,8.6788,87.363
1,8.7007,86.096
1,8.7227,85.022
1,8.7447,84.097
1,8.7667,83.29
1,8.7887,82.576
1,8.8107,81.938
1,8.8327,81.363
1,8.8547,80.843
1,8.8768,115.32
1,8.8989,106.55
1,8.9209,100.87
1,8.943,96.921
1,8.9651,94.063
1,8.9872,91.852
1,9.0093,90.084
1,9.0315,88.634
1,9.0536,87.418
1,9.0758,86.379
1,9.0979,85.478
1,9.1201,84.686
1,9.1423,83.981
1,9.1645,83.349
1,9.1867,82.776
1,9.209,82.253
1,9.2312,81.773
1,9.2535,81.33
1,9.2758,80.919
1,9.298,80.536
1,9.3203,80.176
1,9.3426,79.838
1,9.365,100.41
1,9.3873,95.498
1,9.4096,92.105
1,9.432,89.663
1,9.4544,87.837
1,9.4767,86.423
1,9.4991,85.292
1,9.5215,84.363
1,9.544,83.581
1,9.5664,82.909
1,9.5888,82.318
1,9.6113,81.796
1,9.6338,81.331
1,9.6563,124.29
1,9.6788,114.9
1,9.7013,108.67
1,9.7238,104.24
1,9.7463,100.77
1,9.7689,98.143
1,9.7914,96.051
1,9.814,94.329
1,9.8366,92.877
1,9.8592,91.629
1,9.8818,90.538
1,9.9044,89.574
1,9.9271,88.711
1,9.9497,87.933
1,9.9724,87.225
1,9.9951,86.577
1,10.018,85.98
1,10.04,85.428
1,10.063,84.915
1,10.086,84.436
1,10.109,83.989
1,10.131,83.568
1,10.154,86.239
1,10.177,85.725
1,10.2,85.271
1,10.223,84.845
1,10.245,84.436
1,10.268,84.045
1,10.291,83.672
1,10.314,83.316
1,10.337,82.977
1,10.36,82.655
1,10.383,82.349
1,10.406,82.058
1,10.429,81.78
1,10.451,81.514
1,10.474,81.257
1,10.497,81.015
1,10.52,127.24
1,10.543,117.32
1,10.566,110.72
1,10.589,116.95
1,10.612,111.1
1,10.636,107.15
1,10.659,104.17
1,10.682,101.78
1,10.705,99.782
1,10.728,98.074
1,10.751,96.588
1,10.774,95.281
1,10.797,94.118
1,10.821,93.076
1,10.844,92.135
1,10.867,91.281
1,10.89,90.501
1,10.913,89.779
1,10.937,89.119
1,10.96,88.511
1,10.983,87.946
1,11.006,87.418
1,11.03,86.918
1,11.053,86.449
1,11.076,86.014
1,11.1,85.606
1,11.123,85.222
1,11.146,84.86
1,11.17,84.518
1,11.193,84.196
1,11.217,83.89
1,11.24,83.601
1,11.263,83.321
1,11.287,83.058
1,11.31,82.812
1,11.334,131.45
1,11.357,119.09
1,11.381,111.13
1,11.404,132.51
1,11.428,122.07
1,11.451,115.32
1,11.475,110.59
1,11.499,107.06
1,11.522,104.3
1,11.546,102.08
1,11.569,100.22
1,11.593,98.648
1,11.617,97.289
1,11.64,96.098
1,11.664,95.042
1,11.688,94.097
1,11.712,93.244
1,11.735,92.468
1,11.759,91.758
1,11.783,91.096
1,11.807,90.532
1,11.83,89.962
1,11.854,89.418
1,11.878,88.915
1,11.902,88.451
1,11.926,88.023
1,11.95,87.625
1,11.974,87.252
1,11.997,86.9
