"N","Time","avg(f)"
1,0,60
1,0.21496,59.952
1,0.43087,59.91
1,0.64773,59.873
1,0.86557,60.17
1,1.0844,60.124
1,1.3042,60.533
1,1.5251,60.459
1,1.7469,60.39
1,1.9698,60.328
1,2.1938,60.272
1,2.4188,67.263
1,2.645,65.718
1,2.8722,64.601
1,3.1005,63.771
1,3.33,63.14
1,3.5606,73.308
1,3.7924,70.718
1,4.0254,68.806
1,4.2596,67.361
1,4.4951,66.247
1,4.7317,66.89
1,4.9697,66.369
1,5.2089,67.78
1,5.4494,67.219
1,5.6913,66.656
1,5.9345,66.133
1,6.1791,65.662
1,6.425,79.295
1,6.6724,76.025
1,6.9213,73.598
1,7.1716,71.754
1,7.4234,70.32
1,7.6768,91.681
1,7.9317,85.604
1,8.1881,81.251
1,8.4462,78.036
1,8.7059,75.602
1,8.9674,76.564
1,9.2305,75.431
1,9.4953,77.719
1,9.7619,76.492
1,10.03,75.29
1,10.301,74.2
1,10.573,73.239
1,10.847,83.366
1,11.123,81.41
1,11.401,79.473
1,11.681,77.754
1,11.963,76.29
1,12.248,100.09
1,12.534,93.575
1,12.823,88.825
1,13.114,85.274
1,13.408,82.562
1,13.704,81.808
1,14.002,80.107
1,14.303,83.198
1,14.607,82.159
1,14.913,80.96
1,15.222,79.841
1,15.534,78.865
1,15.849,92.985
1,16.166,90.085
1,16.487,87.426
1,16.811,85.21
1,17.138,83.419
1,17.469,98.257
1,17.803,94.875
1,18.141,91.744
1,18.482,89.135
1,18.827,87.03
1,19.176,85.285
1,19.529,84.346
1,19.887,89.439
1,20.249,89.233
1,20.61,88.323
1,20.977,87.314
1,21.555,85.984
1,22.141,89.895
1,22.739,90.924
1,23.35,90.053
1,23.975,88.948
1,24.614,87.97
1,25.27,113.92
1,25.943,106.51
1,26.635,101.32
1,27.347,97.875
1,28.081,95.557
1,28.839,94.089
1,29.623,93.335
1,30.437,96.986
1,31.284,97.63
1,32.168,97.39
1,33.095,97.009
1,34.07,96.624
1,35.102,98.08
1,36.201,98.951
1,37.382,98.977
1,38.664,98.808
1,40.077,98.585
1,41.665,104.17
1,43.504,104.13
1,45.742,103.3
1,48.728,102.64
1,53.766,101.91
