"N","Time","avg(f)","max(f)"
3257,0,60,60.001
3257,0.21496,59.951,60.005
3257,0.43087,59.944,61.306
3257,0.64773,59.957,61.903
3257,0.86557,59.996,63.172
3257,1.0844,60.141,65.825
3257,1.3042,60.197,66.406
3257,1.5251,60.385,71.187
3257,1.7469,60.461,67.633
3257,1.9698,60.567,71.057
3257,2.1938,60.857,72.445
3257,2.4188,60.948,73.798
3257,2.645,61.321,82.511
3257,2.8722,61.405,74.786
3257,3.1005,61.545,77.499
3257,3.33,61.806,80.902
3257,3.5606,61.955,82.595
3257,3.7924,63.073,90.351
3257,4.0254,63.057,86.768
3257,4.2596,63.312,97.863
3257,4.4951,63.394,85.639
3257,4.7317,63.532,91.739
3257,4.9697,64.166,96.688
3257,5.2089,64.266,91.067
3257,5.4494,64.796,111.62
3257,5.6913,64.865,94.518
3257,5.9345,65.003,93.902
3257,6.1791,65.618,107.44
3257,6.425,65.692,97.677
3257,6.6724,66.489,120.41
3257,6.9213,66.524,104.32
3257,7.1716,66.636,105.9
3257,7.4234,67.04,111.33
3257,7.6768,67.195,105.1
3257,7.9317,69.261,129.96
3257,8.1881,69.081,113.24
3257,8.4462,69.408,139.56
3257,8.7059,69.457,114.33
3257,8.9674,69.579,122.45
3257,9.2305,70.484,135.6
3257,9.4953,70.477,125.33
3257,9.7619,71.272,145.55
3257,10.03,71.236,125.84
3257,10.301,71.361,130.17
3257,10.573,72.169,150.72
3257,10.847,72.148,142.12
3257,11.123,73.396,171.45
3257,11.401,73.29,142.51
3257,11.681,73.337,137.82
3257,11.963,73.774,141.92
3257,12.248,73.858,130.25
3257,12.534,76.428,167.58
3257,12.823,76.041,139.95
3257,13.114,76.452,186.07
3257,13.408,76.411,148.55
3257,13.704,76.44,146.81
3257,14.002,77.878,179.64
3257,14.303,77.787,155.64
3257,14.607,78.716,186.43
3257,14.913,78.545,156.95
3257,15.222,78.602,159.57
3257,15.534,79.461,194.02
3257,15.849,79.38,169.28
3257,16.166,81.207,212.22
3257,16.487,80.94,170.72
3257,16.811,80.834,164.17
3257,17.138,81.333,170.32
3257,17.469,81.296,156.19
3257,17.803,84.051,208.46
3257,18.141,83.585,170.16
3257,18.482,84.151,231.12
3257,18.827,83.925,180.77
3257,19.176,83.861,173.15
3257,19.529,85.678,211.12
3257,19.887,85.389,179.92
3257,20.249,86.534,215.8
3257,20.61,86.249,183.18
3257,20.977,86.221,172.85
3257,21.555,87.574,256.71
3257,22.141,87.562,217.53
3257,22.739,90.709,285.26
3257,23.35,90.029,224.18
3257,23.975,89.82,224.85
3257,24.614,90.45,210.51
3257,25.27,90.317,201.25
3257,25.943,94.283,262.8
3257,26.635,93.081,196.34
3257,27.347,93.606,286.41
3257,28.081,93.176,210.27
3257,28.839,93.003,186.4
3257,29.623,95.445,232.51
3257,30.437,94.488,203.67
3257,31.284,95.491,265.77
3257,32.168,94.705,201.98
3257,33.095,94.48,181.07
3257,34.07,95.253,208.1
3257,35.102,94.881,196.07
3257,36.201,97.405,216.66
3257,37.382,96.255,194
3257,38.664,95.691,185.95
3257,40.077,95.817,190.4
3257,41.665,95.262,172.79
3257,43.504,97.337,199.71
3257,45.742,95.474,147.5
3257,48.728,94.608,164.75
3257,53.766,92.229,118.3
