D1,D2,D3,D4,D5,D6,P1,P2,P3
67.171,61.769,59.816,59.114,55.788,55.422,64.281,69.048,77.047
67.049,61.678,59.755,59.053,55.757,55.391,64.281,69.048,77.047
67.049,61.708,59.725,59.023,55.849,55.483,64.281,69.048,77.047
67.11,61.708,59.786,59.084,55.788,55.422,64.281,69.048,77.047
67.141,61.769,59.786,59.114,55.727,55.391,64.281,69.048,77.047
67.171,61.769,59.725,59.023,55.818,55.361,64.281,69.048,77.047
67.293,61.831,59.877,59.114,55.849,55.422,64.281,69.048,77.047
67.202,61.8,59.816,59.053,55.757,55.391,64.281,69.048,77.047
67.141,61.8,59.755,59.053,55.757,55.391,64.281,69.048,77.047
67.171,61.769,59.816,59.114,55.818,55.391,64.281,69.048,77.047
67.11,61.769,59.786,59.053,55.849,55.452,64.281,69.048,77.047
67.049,61.678,59.786,59.175,55.788,55.452,64.281,69.048,77.047
66.988,61.617,59.694,59.053,55.849,55.391,64.281,69.048,77.047
66.958,61.617,59.694,59.053,55.91,55.513,64.281,69.048,77.047
67.202,61.739,59.816,59.114,55.818,55.452,64.281,69.048,77.047
67.141,61.769,59.847,59.114,55.788,55.452,64.281,69.048,77.047
67.171,61.769,59.786,59.114,55.879,55.422,64.281,69.048,77.047
67.141,61.769,59.786,59.053,55.849,55.422,64.281,69.048,77.047
67.141,61.708,59.786,59.053,55.757,55.422,64.281,69.048,77.047
66.988,61.647,59.725,59.175,55.788,55.452,64.281,69.048,77.047
67.11,61.708,59.725,59.114,55.788,55.422,64.281,69.048,77.047
67.141,61.739,59.725,59.084,55.849,55.422,64.281,69.048,77.047
67.08,61.769,59.755,59.053,55.879,55.483,64.281,69.048,77.047
66.958,61.678,59.725,59.053,55.849,55.483,64.281,69.048,77.047
67.232,61.769,59.664,58.901,55.879,55.422,64.281,69.048,77.047
67.11,61.739,59.725,59.023,55.879,55.452,64.281,69.048,77.047
67.08,61.647,59.725,59.114,55.849,55.422,64.281,69.048,77.047
67.019,61.617,59.786,59.175,55.757,55.391,64.281,69.048,77.047
66.988,61.678,59.725,59.145,55.635,55.3,64.281,69.048,77.047
67.11,61.708,59.755,59.175,55.788,55.422,64.281,69.048,77.047
66.958,61.617,59.725,59.084,56.032,55.605,64.281,69.048,77.047
67.11,61.739,59.786,59.084,55.879,55.513,64.281,69.048,77.047
67.141,61.739,59.755,59.084,55.788,55.391,64.281,69.048,77.047
67.08,61.678,59.725,59.053,55.788,55.391,64.281,69.048,77.047
66.988,61.678,59.786,59.114,55.879,55.422,64.281,69.048,77.047
67.049,61.678,59.755,59.084,55.727,55.391,64.281,69.048,77.047
67.08,61.739,59.755,59.114,55.879,55.452,64.281,69.048,77.047
67.11,61.739,59.755,59.053,55.849,55.422,64.281,69.048,77.047
67.141,61.769,59.816,59.084,55.757,55.391,64.281,69.048,77.047
67.049,61.708,59.786,59.114,55.788,55.452,64.223,69.048,77.047
67.11,61.708,59.725,59.053,55.788,55.391,64.223,69.048,77.047
67.08,61.708,59.725,59.084,55.727,55.361,64.223,69.048,77.047
67.11,61.708,59.755,59.084,55.818,55.422,64.223,69.048,77.047
67.141,61.769,59.786,59.145,55.879,55.513,64.223,69.048,77.047
67.11,61.678,59.755,59.084,55.818,55.422,64.223,69.048,77.047
67.141,61.831,59.847,59.175,55.818,55.452,64.223,69.048,77.047
67.141,61.769,59.816,59.084,55.757,55.422,64.223,69.048,77.047
67.08,61.739,59.816,59.114,55.849,55.452,64.223,69.048,77.047
67.049,61.708,59.786,59.114,55.818,55.422,64.223,69.048,77.047
67.141,61.8,59.786,59.175,55.818,55.391,64.223,69.048,77.047
67.11,61.739,59.786,59.175,55.757,55.391,64.223,69.048,77.047
66.988,61.678,59.725,59.114,55.696,55.3,64.223,69.048,77.047
67.11,61.739,59.786,59.114,55.818,55.422,64.223,69.048,77.047
67.049,61.678,59.725,58.962,55.849,55.422,64.223,69.048,77.047
67.049,61.708,59.725,59.114,55.757,55.391,64.223,69.048,77.047
67.049,61.739,59.755,59.053,55.818,55.452,64.223,69.048,77.047
67.11,61.739,59.755,59.114,55.818,55.391,64.223,69.048,77.047
66.988,61.647,59.725,59.053,55.696,55.3,64.223,69.048,77.047
66.988,61.708,59.755,59.114,55.605,55.208,64.223,69.048,77.047
67.049,61.678,59.725,59.023,55.818,55.452,64.223,69.048,77.047
67.049,61.678,59.694,59.084,55.879,55.452,64.223,69.048,77.047
67.11,61.708,59.725,59.114,55.818,55.422,64.223,69.048,77.047
67.08,61.708,59.755,59.114,55.818,55.422,64.223,69.048,77.047
67.141,61.769,59.755,59.114,55.849,55.422,64.223,69.048,77.047
67.049,61.739,59.725,59.053,55.788,55.391,64.223,69.048,77.047
