"N","Time","avg(f)"
1,0,55
1,0.049,54.978
1,0.098,54.96
1,0.147,56.237
1,0.196,56.003
1,0.245,55.815
1,0.294,55.669
1,0.343,55.556
1,0.392,55.483
1,0.441,55.421
1,0.49,55.377
1,0.539,61.823
1,0.588,60.744
1,0.637,59.881
1,0.686,59.22
1,0.735,58.714
1,0.784,63.442
1,0.833,62.047
1,0.882,61.109
1,0.931,72.293
1,0.98,69.807
1,1.029,67.794
1,1.078,66.223
1,1.127,64.997
1,1.176,64.577
1,1.225,64.212
1,1.274,63.735
1,1.323,80.3
1,1.372,77.09
1,1.421,74.474
1,1.47,72.42
1,1.519,70.805
1,1.568,71.325
1,1.617,70.666
1,1.666,69.878
1,1.715,69.9
1,1.764,69.782
1,1.813,69.365
1,1.862,68.856
1,1.911,68.338
1,1.96,92.811
1,2.009,88.283
1,2.058,84.622
1,2.107,84.264
1,2.156,82.569
1,2.205,80.893
1,2.254,79.361
1,2.303,78.009
1,2.352,106.9
1,2.401,100.97
1,2.45,96.052
1,2.499,108.51
1,2.548,102.21
1,2.597,97.41
1,2.646,93.705
1,2.695,90.783
1,2.744,123.87
1,2.793,116.2
1,2.842,110
1,2.891,105.29
1,2.94,101.73
1,2.989,98.777
1,3.038,96.326
1,3.087,94.263
1,3.136,132.12
1,3.185,124.11
1,3.234,117.34
1,3.283,111.94
1,3.332,107.65
1,3.381,104.2
1,3.43,101.38
1,3.479,99.024
1,3.528,97.864
1,3.577,98.004
1,3.626,97.166
1,3.675,96.028
1,3.724,94.841
1,3.773,93.698
1,3.822,92.635
1,3.871,91.644
1,3.92,139.04
1,3.969,130.39
1,4.018,123.38
1,4.067,117.91
1,4.116,113.63
1,4.165,144.88
1,4.214,135
1,4.263,127.83
1,4.312,145.26
1,4.361,137.82
1,4.41,131.54
1,4.459,126.49
1,4.508,122.45
1,4.557,119.17
1,4.606,116.47
1,4.655,114.18
1,4.704,162.29
1,4.753,152.5
1,4.802,144.56
1,4.851,138.32
1,4.9,133.38
1,4.949,148.22
1,4.998,141.69
1,5.047,136.72
1,5.096,132.76
1,5.145,129.53
1,5.194,126.79
1,5.243,124.46
1,5.292,122.46
1,5.341,143.07
1,5.39,138.63
1,5.439,134.42
1,5.488,149.42
1,5.537,143.24
1,5.586,138.58
1,5.635,134.87
1,5.684,131.84
1,5.733,178.75
1,5.782,168.61
1,5.831,160.37
1,5.88,154.25
1,5.929,149.93
1,5.978,146.3
1,6.027,143.18
1,6.076,140.47
1,6.125,181.05
1,6.174,169.8
1,6.223,161.3
1,6.272,173.52
1,6.321,165.27
1,6.37,159.11
1,6.419,154.25
1,6.468,150.29
1,6.517,196.09
1,6.566,185.37
1,6.615,176.63
1,6.664,169.67
1,6.713,164.1
1,6.762,159.56
1,6.811,155.78
1,6.86,152.57
1,6.909,149.79
1,6.958,147.36
1,7.007,145.2
1,7.056,143.26
1,7.105,141.51
1,7.154,139.9
1,7.203,138.42
1,7.252,137.04
1,7.301,182.46
1,7.35,173.73
1,7.399,166.6
1,7.448,160.97
1,7.497,156.49
1,7.546,177.21
1,7.595,169.75
1,7.644,163.88
1,7.693,182.98
1,7.742,174.73
1,7.791,168.56
1,7.84,163.72
1,7.889,159.79
1,7.938,156.74
1,7.987,154.34
1,8.036,152.17
1,8.085,196.97
1,8.134,187.7
1,8.183,180.12
1,8.232,174.09
1,8.281,169.27
1,8.33,189.52
1,8.379,181.87
1,8.428,175.79
1,8.477,194.11
1,8.526,185.5
1,8.575,179.07
1,8.624,174.04
1,8.673,169.95
1,8.722,166.59
1,8.771,163.74
1,8.82,161.38
1,8.869,182.6
1,8.918,176.56
1,8.967,171.74
1,9.016,167.89
1,9.065,164.74
1,9.114,207.93
1,9.163,198.3
1,9.212,190.45
1,9.261,184.22
1,9.31,179.25
1,9.359,175.22
1,9.408,171.86
1,9.457,169.02
1,9.506,168.78
1,9.555,167.79
1,9.604,166.56
1,9.653,196.11
1,9.702,188.43
1,9.751,182.76
1,9.8,178.36
1,9.849,174.81
1,9.898,217.24
1,9.947,207.44
1,9.996,199.46
1,10.045,193.12
1,10.094,188.04
1,10.143,183.9
1,10.192,180.46
1,10.241,177.53
1,10.29,176.87
1,10.339,175.43
1,10.388,173.75
1,10.437,172.05
1,10.486,170.41
1,10.535,168.85
1,10.584,167.38
1,10.633,166
1,10.682,207.62
1,10.731,199.33
1,10.78,192.42
1,10.829,186.88
1,10.878,182.42
1,10.927,179.11
1,10.976,176.79
1,11.025,174.67
1,11.074,216.32
1,11.123,207.39
1,11.172,200
1,11.221,194.07
1,11.27,189.27
1,11.319,201.11
1,11.368,194.73
1,11.417,189.9
1,11.466,229.99
1,11.515,219.63
1,11.564,211.2
1,11.613,204.44
1,11.662,198.97
1,11.711,196.76
1,11.76,194.41
1,11.809,191.64
1,11.858,232.15
1,11.907,222.55
1,11.956,214.37
1,12.005,207.7
1,12.054,202.25
1,12.103,197.94
1,12.152,194.54
1,12.201,191.51
1,12.25,191.04
1,12.299,190.03
1,12.348,188.33
1,12.397,186.45
1,12.446,184.58
1,12.495,224.59
1,12.544,216.15
1,12.593,209.18
1,12.642,204.31
1,12.691,200.22
1,12.74,196.68
1,12.789,193.61
1,12.838,190.94
1,12.887,229.86
1,12.936,221
1,12.985,213.44
1,13.034,229.37
1,13.083,220.4
1,13.132,213.33
1,13.181,207.7
1,13.23,203.13
1,13.279,241.13
1,13.328,231.17
1,13.377,223.02
1,13.426,216.6
1,13.475,211.51
1,13.524,207.26
1,13.573,203.69
