"N","Time","avg(f)","max(f)"
12219,0,55,55.001
12219,0.049,54.997,55
12219,0.098,55.021,55.989
12219,0.147,55.085,57.011
12219,0.196,55.147,57.903
12219,0.245,55.281,59.123
12219,0.294,55.371,60.256
12219,0.343,55.48,61.725
12219,0.392,55.782,62.85
12219,0.441,55.888,62.735
12219,0.49,56.019,63.261
12219,0.539,56.267,67.591
12219,0.588,56.416,68.48
12219,0.637,56.721,68.389
12219,0.686,56.881,69.156
12219,0.735,57.069,73.577
12219,0.784,57.644,76.102
12219,0.833,57.792,75.149
12219,0.882,57.972,77.081
12219,0.931,58.308,81.295
12219,0.98,58.509,77.987
12219,1.029,59.007,80.923
12219,1.078,59.191,80.574
12219,1.127,59.408,84.954
12219,1.176,60.164,88.24
12219,1.225,60.322,91.061
12219,1.274,60.574,87.568
12219,1.323,60.969,91.843
12219,1.372,61.177,89.808
12219,1.421,61.943,95.149
12219,1.47,62.123,99.541
12219,1.519,62.361,94.786
12219,1.568,63.152,101.73
12219,1.617,63.33,103.04
12219,1.666,63.655,105.51
12219,1.715,64.045,110
12219,1.764,64.279,102.39
12219,1.813,65.136,105.09
12219,1.862,65.329,108.08
12219,1.911,65.576,112.96
12219,1.96,66.513,119.65
12219,2.009,66.705,109.24
12219,2.058,67.158,115.52
12219,2.107,67.48,119.55
12219,2.156,67.717,123.16
12219,2.205,68.858,125.71
12219,2.254,69.018,119.44
12219,2.303,69.284,115.72
12219,2.352,70.284,128.03
12219,2.401,70.461,117.93
12219,2.45,71.01,124.44
12219,2.499,71.263,126.33
12219,2.548,71.535,134.72
12219,2.597,73.083,138.41
12219,2.646,73.213,135.11
12219,2.695,73.428,135.57
12219,2.744,74.269,151.6
12219,2.793,74.465,143.62
12219,2.842,75.234,145.21
12219,2.891,75.459,139
12219,2.94,75.74,148.09
12219,2.989,77.392,156.29
12219,3.038,77.462,146.29
12219,3.087,77.66,150.15
12219,3.136,78.66,166.68
12219,3.185,78.825,154.56
12219,3.234,79.588,161.33
12219,3.283,79.796,157.44
12219,3.332,80.058,158.83
12219,3.381,82.677,173.38
