"N","Time","avg(f)"
1,0,60
1,0.036128,59.991
1,0.072282,59.982
1,0.10846,59.973
1,0.14467,59.981
1,0.18091,59.973
1,0.21717,59.964
1,0.25346,59.952
1,0.28977,59.946
1,0.32611,59.939
1,0.36248,59.933
1,0.39888,59.926
1,0.4353,59.922
1,0.47176,59.916
1,0.50824,59.909
1,0.54474,60.058
1,0.58128,60.043
1,0.61784,60.03
1,0.65443,60.017
1,0.69104,60.005
1,0.72769,60.03
1,0.76436,60.019
1,0.80106,60.008
1,0.83779,60.459
1,0.87454,60.423
1,0.91133,60.39
1,0.94814,60.36
1,0.98498,60.332
1,1.0218,60.306
1,1.0587,60.282
1,1.0957,60.259
1,1.1326,60.587
1,1.1696,60.555
1,1.2066,60.525
1,1.2437,60.547
1,1.2807,60.527
1,1.3178,60.506
1,1.355,60.486
1,1.3921,60.466
1,1.4293,60.699
1,1.4665,60.684
1,1.5037,60.667
1,1.541,60.653
1,1.5783,60.638
1,1.6156,60.623
1,1.653,60.606
1,1.6904,60.589
1,1.7278,60.505
1,1.7653,60.505
1,1.8027,60.503
1,1.8403,60.467
1,1.8778,60.47
1,1.9154,60.471
1,1.953,60.469
1,1.9906,60.466
1,2.0282,60.471
1,2.0659,60.464
1,2.1036,60.456
1,2.1414,61.03
1,2.1792,60.998
1,2.217,60.968
1,2.2548,60.94
1,2.2927,60.913
1,2.3306,61.007
1,2.3685,60.98
1,2.4065,60.955
1,2.4445,62.291
1,2.4825,62.19
1,2.5206,62.096
1,2.5586,62.01
1,2.5968,61.931
1,2.6349,61.858
1,2.6731,61.79
1,2.7113,61.727
1,2.7496,62.734
1,2.7878,62.636
1,2.8261,62.542
1,2.8645,62.572
1,2.9028,62.504
1,2.9412,62.438
1,2.9797,62.374
1,3.0181,62.312
1,3.0566,62.795
1,3.0952,62.745
1,3.1337,62.693
1,3.1723,62.713
1,3.211,62.667
1,3.2496,62.62
1,3.2883,62.571
1,3.327,62.522
1,3.3658,62.388
1,3.4046,62.365
1,3.4434,62.337
1,3.4823,62.244
1,3.5212,62.23
1,3.5601,62.213
1,3.5991,62.192
1,3.638,62.169
1,3.6771,62.161
1,3.7161,62.131
1,3.7552,62.103
1,3.7944,63.099
1,3.8335,63.027
1,3.8727,62.96
1,3.9119,62.896
1,3.9512,62.836
1,3.9905,62.982
1,4.0298,62.923
1,4.0692,62.868
1,4.1086,65.079
1,4.148,64.894
1,4.1875,64.723
1,4.227,64.567
1,4.2665,64.422
1,4.3061,64.289
1,4.3457,64.165
1,4.3854,64.049
1,4.425,65.897
1,4.4648,65.704
