"N","Time","avg(f)"
1,0,60
1,0.036128,59.99
1,0.072282,59.98
1,0.10846,59.97
1,0.14467,59.961
1,0.18091,60.062
1,0.21717,60.047
1,0.25346,60.033
1,0.28977,60.099
1,0.32611,60.083
1,0.36248,60.068
1,0.39888,60.053
1,0.4353,60.04
1,0.47176,60.347
1,0.50824,60.319
1,0.54474,60.292
1,0.58128,60.294
1,0.61784,60.272
1,0.65443,60.251
1,0.69104,60.231
1,0.72769,60.211
1,0.76436,60.234
1,0.80106,60.217
1,0.83779,60.201
1,0.87454,60.427
1,0.91133,60.407
1,0.94814,60.388
1,0.98498,60.368
1,1.0218,60.349
1,1.0587,60.367
1,1.0957,60.353
1,1.1326,60.338
1,1.1696,60.619
1,1.2066,60.599
1,1.2437,60.579
1,1.2807,60.558
1,1.3178,60.537
1,1.355,60.493
1,1.3921,60.477
1,1.4293,60.461
1,1.4665,60.67
1,1.5037,60.639
1,1.541,60.61
1,1.5783,60.583
1,1.6156,60.556
1,1.653,60.531
1,1.6904,60.507
1,1.7278,60.484
1,1.7653,61.61
1,1.8027,61.533
1,1.8403,61.461
1,1.8778,61.938
1,1.9154,61.85
1,1.953,61.767
1,1.9906,61.69
1,2.0282,61.618
1,2.0659,63.021
1,2.1036,62.88
1,2.1414,62.747
1,2.1792,62.729
1,2.217,62.618
1,2.2548,62.515
1,2.2927,62.417
1,2.3306,62.324
1,2.3685,62.367
1,2.4065,62.287
1,2.4445,62.211
1,2.4825,62.835
1,2.5206,62.753
1,2.5586,62.672
1,2.5968,62.592
1,2.6349,62.515
1,2.6731,62.569
1,2.7113,62.506
1,2.7496,62.443
1,2.7878,63.13
1,2.8261,63.049
1,2.8645,62.968
1,2.9028,62.889
1,2.9412,62.812
1,2.9797,62.715
1,3.0181,62.646
1,3.0566,62.578
1,3.0952,62.986
1,3.1337,62.892
1,3.1723,62.803
1,3.211,62.72
1,3.2496,62.639
1,3.2883,62.563
1,3.327,62.491
1,3.3658,62.422
1,3.4046,64.567
1,3.4434,64.392
1,3.4823,64.229
1,3.5212,64.544
1,3.5601,64.384
1,3.5991,64.235
1,3.638,64.096
1,3.6771,63.964
1,3.7161,66.469
1,3.7552,66.208
1,3.7944,65.965
1,3.8335,65.922
1,3.8727,65.719
1,3.9119,65.528
1,3.9512,65.348
1,3.9905,65.178
1,4.0298,65.228
1,4.0692,65.084
1,4.1086,64.946
1,4.148,66.841
1,4.1875,66.625
1,4.227,66.418
1,4.2665,66.22
1,4.3061,66.03
1,4.3457,65.968
1,4.3854,65.83
1,4.425,65.695
1,4.4648,66.755
1,4.5045,66.592
1,4.5443,66.432
1,4.5841,66.275
1,4.624,66.122
1,4.6639,65.94
1,4.7038,65.802
1,4.7437,65.668
1,4.7837,66.264
1,4.8238,66.09
1,4.8639,65.925
1,4.904,65.772
1,4.9441,65.623
1,4.9843,65.482
1,5.0245,65.349
1,5.0648,65.222
1,5.1051,68.226
1,5.1454,67.927
1,5.1858,67.648
1,5.2262,68.074
1,5.2666,67.808
1,5.3071,67.56
1,5.3476,67.328
1,5.3881,67.111
1,5.4287,70.698
1,5.4694,70.292
1,5.51,69.913
1,5.5507,69.825
1,5.5915,69.51
1,5.6323,69.215
1,5.6731,68.936
1,5.7139,68.673
1,5.7548,68.723
1,5.7958,68.501
1,5.8367,68.288
1,5.8778,70.915
1,5.9188,70.59
1,5.9599,70.28
1,6.001,69.983
1,6.0422,69.7
1,6.0834,69.595
1,6.1247,69.387
1,6.166,69.183
1,6.2073,70.62
1,6.2486,70.378
1,6.2901,70.14
1,6.3315,69.907
1,6.373,69.68
1,6.4145,69.416
1,6.4561,69.212
1,6.4977,69.014
1,6.5394,68.616
1,6.581,68.466
1,6.6228,68.318
1,6.6646,68.175
1,6.7064,68.032
1,6.7482,67.892
1,6.7901,67.755
1,6.8321,67.623
1,6.874,71.584
1,6.9161,71.21
1,6.9581,70.862
1,7.0002,71.447
1,7.0424,71.109
