"N","Time","avg(f)","max(f)"
6428,0,55,55.001
6428,0.049,54.986,55.002
6428,0.098,54.99,55.719
6428,0.147,55.023,56.629
6428,0.196,55.053,56.752
6428,0.245,55.141,58.123
6428,0.294,55.194,57.807
6428,0.343,55.259,58.7
6428,0.392,55.48,61.137
6428,0.441,55.548,59.673
6428,0.49,55.631,62.034
6428,0.539,55.806,65.108
6428,0.588,55.907,63.551
6428,0.637,56.135,65.744
6428,0.686,56.247,66.046
6428,0.735,56.374,67.1
6428,0.784,56.823,69.685
6428,0.833,56.928,67.769
6428,0.882,57.056,69.506
6428,0.931,57.309,77.198
6428,0.98,57.453,72.892
6428,1.029,57.825,74.683
6428,1.078,57.962,74.43
6428,1.127,58.12,75.378
6428,1.176,58.715,82.692
6428,1.225,58.849,77.733
6428,1.274,59.031,78.86
6428,1.323,59.322,89.263
6428,1.372,59.489,82.926
6428,1.421,60.111,86.765
6428,1.47,60.243,81.553
6428,1.519,60.411,81.126
6428,1.568,61.008,91.975
6428,1.617,61.148,87.176
6428,1.666,61.42,91.828
6428,1.715,61.727,93.572
6428,1.764,61.924,87.73
6428,1.813,62.604,99.163
6428,1.862,62.763,93.604
6428,1.911,62.955,93.426
6428,1.96,63.725,111.31
6428,2.009,63.872,102.5
6428,2.058,64.217,95.967
6428,2.107,64.482,101.9
6428,2.156,64.697,101.58
6428,2.205,65.606,111.27
6428,2.254,65.752,103.03
6428,2.303,65.929,99.059
6428,2.352,66.73,115.6
6428,2.401,66.898,108.31
6428,2.45,67.33,109.35
6428,2.499,67.514,111.48
6428,2.548,67.735,104.25
6428,2.597,68.955,122.55
6428,2.646,69.096,116.04
6428,2.695,69.279,111.26
6428,2.744,69.944,129.69
6428,2.793,70.103,118.66
6428,2.842,70.726,126.58
6428,2.891,70.893,119.31
6428,2.94,71.118,127.86
6428,2.989,72.425,137.58
6428,3.038,72.546,125.32
6428,3.087,72.732,145.8
6428,3.136,73.548,146.75
6428,3.185,73.702,135.72
6428,3.234,74.266,143.32
6428,3.283,74.42,134.12
6428,3.332,74.646,141.09
6428,3.381,76.744,156.43
6428,3.43,76.796,140.05
6428,3.479,76.91,128.82
6428,3.528,77.637,158.6
6428,3.577,77.785,144.11
6428,3.626,78.626,163.05
6428,3.675,78.751,147.12
