"N","Time","avg(f)"
1,0,55
1,0.0245,54.994
1,0.049,54.988
1,0.0735,54.983
1,0.098,54.977
1,0.1225,54.972
1,0.147,55.126
1,0.1715,55.119
1,0.196,55.111
1,0.2205,55.104
1,0.245,55.096
1,0.2695,55.645
1,0.294,55.623
1,0.3185,55.6
1,0.343,55.578
1,0.3675,55.557
1,0.392,55.599
1,0.4165,55.571
1,0.441,55.559
1,0.4655,55.548
1,0.49,55.536
1,0.5145,55.524
1,0.539,56.934
1,0.5635,56.865
1,0.588,56.8
1,0.6125,56.738
1,0.637,56.679
1,0.6615,57.432
1,0.686,57.346
1,0.7105,57.264
1,0.735,57.187
1,0.7595,57.115
1,0.784,57.378
1,0.8085,57.45
1,0.833,57.398
1,0.8575,57.348
1,0.882,57.3
1,0.9065,57.254
1,0.931,58.356
1,0.9555,58.297
1,0.98,58.238
1,1.0045,58.18
1,1.029,58.123
1,1.0535,61.394
1,1.078,61.229
1,1.1025,61.07
1,1.127,60.916
1,1.1515,60.769
1,1.176,60.913
1,1.2005,60.703
1,1.225,60.587
1,1.2495,60.474
1,1.274,60.364
1,1.2985,60.257
1,1.323,63.732
1,1.3475,63.487
1,1.372,63.253
1,1.3965,63.03
1,1.421,62.818
1,1.4455,63.636
1,1.47,63.398
1,1.4945,63.172
1,1.519,62.957
1,1.5435,62.753
1,1.568,62.617
1,1.5925,62.443
1,1.617,62.278
1,1.6415,62.121
1,1.666,61.971
1,1.6905,61.826
1,1.715,62.094
1,1.7395,61.971
1,1.764,61.851
1,1.7885,61.736
1,1.813,61.625
1,1.8375,63.711
1,1.862,63.573
1,1.8865,63.437
1,1.911,63.303
1,1.9355,63.171
1,1.96,65.469
1,1.9845,65.314
1,2.009,65.159
1,2.0335,65.003
1,2.058,64.848
1,2.0825,64.645
1,2.107,64.566
1,2.1315,64.442
1,2.156,64.318
1,2.1805,64.195
1,2.205,64.074
1,2.2295,69.891
1,2.254,69.535
1,2.2785,69.196
1,2.303,68.872
1,2.3275,68.562
1,2.352,74.599
1,2.3765,74.053
1,2.401,73.535
1,2.4255,73.043
1,2.45,72.577
1,2.4745,73.563
1,2.499,73.448
1,2.5235,73.096
1,2.548,72.757
1,2.5725,72.43
1,2.597,72.114
1,2.6215,74.895
1,2.646,74.55
1,2.6705,74.214
1,2.695,73.885
1,2.7195,73.565
1,2.744,79.253
1,2.7685,78.779
1,2.793,78.318
1,2.8175,77.869
1,2.842,77.433
1,2.8665,77.403
1,2.891,76.655
1,2.9155,76.331
1,2.94,76.012
1,2.9645,75.697
1,2.989,75.387
1,3.0135,83.091
1,3.038,82.472
1,3.0625,81.879
