"N","Time","avg(f)","max(f)"
3257,0,60,60.001
3257,0.018064,59.995,60.001
3257,0.036134,59.99,60.004
3257,0.054212,59.987,60.012
3257,0.072295,59.983,60.014
3257,0.090386,59.979,60.024
3257,0.10848,59.976,60.039
3257,0.12659,59.973,60.045
3257,0.1447,59.97,60.057
3257,0.16282,59.968,60.087
3257,0.18094,59.967,60.075
3257,0.19907,59.964,60.097
3257,0.21721,59.963,60.123
3257,0.23535,59.962,60.149
3257,0.2535,59.961,60.132
3257,0.27166,59.959,60.129
3257,0.28983,59.962,60.249
3257,0.308,59.961,60.227
3257,0.32617,59.96,60.21
3257,0.34436,59.965,60.371
3257,0.36255,59.964,60.342
3257,0.38075,59.964,60.315
3257,0.39896,59.968,60.419
3257,0.41717,59.968,60.379
3257,0.43539,59.969,60.342
3257,0.45361,59.972,60.661
3257,0.47184,59.973,60.604
3257,0.49008,59.974,60.552
3257,0.50833,59.977,60.505
3257,0.52658,59.98,60.503
3257,0.54484,59.981,60.472
3257,0.56311,59.983,60.442
3257,0.58138,59.991,60.613
3257,0.59967,59.993,60.669
3257,0.61795,59.995,60.625
3257,0.63625,60.008,60.847
3257,0.65455,60.009,60.774
3257,0.67286,60.012,60.71
3257,0.69117,60.026,60.975
3257,0.7095,60.028,60.894
3257,0.72782,60.03,60.821
3257,0.74616,60.04,61.14
3257,0.7645,60.042,61.047
3257,0.78285,60.045,60.964
3257,0.80121,60.052,61.081
3257,0.81958,60.058,61.025
3257,0.83795,60.061,60.973
3257,0.85632,60.066,60.925
3257,0.87471,60.076,60.879
3257,0.8931,60.08,60.836
3257,0.9115,60.084,60.868
3257,0.92991,60.097,61.302
3257,0.94832,60.1,61.23
3257,0.96674,60.104,61.163
3257,0.98517,60.124,61.468
3257,1.0036,60.128,61.388
3257,1.022,60.132,61.314
3257,1.0405,60.149,61.708
3257,1.0589,60.153,61.613
3257,1.0774,60.157,61.525
3257,1.0959,60.168,61.944
3257,1.1144,60.173,61.827
3257,1.1328,60.178,61.719
3257,1.1513,60.189,61.796
3257,1.1698,60.199,61.709
3257,1.1883,60.203,61.627
3257,1.2069,60.209,61.552
3257,1.2254,60.223,61.566
3257,1.2439,60.228,61.465
3257,1.2624,60.234,61.536
3257,1.281,60.254,61.936
3257,1.2995,60.259,61.859
3257,1.3181,60.263,61.764
3257,1.3366,60.302,62.395
3257,1.3552,60.306,62.291
3257,1.3738,60.311,62.193
3257,1.3924,60.33,62.637
3257,1.411,60.334,62.456
3257,1.4296,60.339,62.292
3257,1.4482,60.357,62.385
3257,1.4668,60.365,62.284
3257,1.4854,60.37,62.19
3257,1.504,60.383,62.394
3257,1.5227,60.399,62.281
3257,1.5413,60.404,62.176
3257,1.56,60.41,62.078
3257,1.5786,60.428,62.853
3257,1.5973,60.434,62.728
3257,1.616,60.44,62.61
3257,1.6346,60.471,63.108
3257,1.6533,60.477,62.975
3257,1.672,60.483,62.849
3257,1.6907,60.513,63.596
3257,1.7094,60.519,63.371
3257,1.7282,60.524,63.167
3257,1.7469,60.551,62.941
3257,1.7656,60.557,62.806
3257,1.7843,60.563,62.683
3257,1.8031,60.578,62.832
3257,1.8218,60.589,62.72
3257,1.8406,60.596,62.615
3257,1.8594,60.609,63.329
3257,1.8782,60.624,63.182
3257,1.8969,60.63,63.045
3257,1.9157,60.638,62.919
3257,1.9345,60.669,63.359
3257,1.9533,60.676,63.333
3257,1.9721,60.683,63.181
3257,1.991,60.718,63.805
3257,2.0098,60.724,63.587
3257,2.0286,60.732,63.39
3257,2.0475,60.769,64.111
3257,2.0663,60.776,63.871
3257,2.0852,60.782,63.652
3257,2.1041,60.808,64.933
3257,2.1229,60.814,64.65
3257,2.1418,60.821,64.392
3257,2.1607,60.841,65.285
3257,2.1796,60.858,64.981
3257,2.1985,60.866,64.704
3257,2.2174,60.878,64.593
3257,2.2363,60.903,64.419
3257,2.2553,60.91,64.256
3257,2.2742,60.917,64.102
3257,2.2931,60.947,65.077
3257,2.3121,60.954,64.798
3257,2.3311,60.962,64.544
3257,2.35,61.018,64.599
3257,2.369,61.024,64.436
3257,2.388,61.031,64.284
3257,2.407,61.068,65.625
3257,2.426,61.075,65.316
3257,2.445,61.082,65.036
3257,2.464,61.106,65.91
3257,2.483,61.114,65.668
3257,2.502,61.122,65.441
