"N","Time","avg(f)"
1,0,60
1,0.018064,59.988
1,0.036134,59.977
1,0.054212,59.967
1,0.072295,59.958
1,0.090386,59.95
1,0.10848,59.942
1,0.12659,59.935
1,0.1447,59.929
1,0.16282,59.923
1,0.18094,59.917
1,0.19907,60.056
1,0.21721,60.026
1,0.23535,60.004
1,0.2535,60.387
1,0.27166,60.329
1,0.28983,60.281
1,0.308,60.237
1,0.32617,60.208
1,0.34436,60.183
1,0.36255,60.16
1,0.38075,60.14
1,0.39896,60.122
1,0.41717,60.106
1,0.43539,60.092
1,0.45361,60.079
1,0.47184,60.067
1,0.49008,60.863
1,0.50833,60.741
1,0.52658,60.64
1,0.54484,60.557
1,0.56311,60.489
1,0.58138,60.432
1,0.59967,60.385
1,0.61795,60.344
1,0.63625,60.31
1,0.65455,60.28
1,0.67286,60.253
1,0.69117,60.23
1,0.7095,60.209
1,0.72782,60.191
1,0.74616,60.174
1,0.7645,60.158
1,0.78285,60.144
1,0.80121,60.13
1,0.81958,60.118
1,0.83795,60.059
1,0.85632,60.075
1,0.87471,60.088
1,0.8931,61.543
1,0.9115,61.384
1,0.92991,61.25
1,0.94832,61.137
1,0.96674,61.051
1,0.98517,60.977
1,1.0036,60.913
1,1.022,60.857
1,1.0405,60.809
1,1.0589,60.766
1,1.0774,60.727
1,1.0959,60.693
1,1.1144,60.662
1,1.1328,60.636
1,1.1513,60.618
1,1.1698,60.6
1,1.1883,62.509
1,1.2069,62.273
1,1.2254,62.073
1,1.2439,61.907
1,1.2624,61.813
1,1.281,61.718
1,1.2995,61.629
1,1.3181,61.549
1,1.3366,61.477
1,1.3552,61.411
1,1.3738,61.353
1,1.3924,61.299
1,1.411,61.251
1,1.4296,61.206
1,1.4482,61.165
1,1.4668,61.127
1,1.4854,61.092
1,1.504,61.059
1,1.5227,61.028
1,1.5413,61.003
1,1.56,60.969
1,1.5786,60.94
1,1.5973,63.492
1,1.616,63.178
1,1.6346,62.909
1,1.6533,62.681
1,1.672,62.487
1,1.6907,62.324
1,1.7094,62.186
1,1.7282,62.067
1,1.7469,61.963
1,1.7656,61.872
1,1.7843,61.793
1,1.8031,61.759
1,1.8218,61.717
1,1.8406,64.668
1,1.8594,64.281
1,1.8782,63.951
1,1.8969,64.789
1,1.9157,64.486
1,1.9345,64.197
1,1.9533,63.939
1,1.9721,63.715
1,1.991,63.518
1,2.0098,63.347
1,2.0286,63.197
1,2.0475,63.064
1,2.0663,62.947
1,2.0852,62.842
1,2.1041,62.747
1,2.1229,62.66
1,2.1418,62.581
1,2.1607,62.508
1,2.1796,62.441
1,2.1985,62.377
1,2.2174,62.32
1,2.2363,62.266
1,2.2553,65.856
1,2.2742,65.189
1,2.2931,64.69
1,2.3121,64.304
1,2.3311,64.001
1,2.35,63.755
1,2.369,63.55
1,2.388,63.377
1,2.407,63.229
1,2.426,63.101
1,2.445,62.988
1,2.464,62.887
1,2.483,62.797
1,2.502,62.717
1,2.5211,62.66
1,2.5401,62.603
1,2.5592,66.669
1,2.5782,66.14
1,2.5973,65.692
1,2.6164,69.827
1,2.6354,68.922
1,2.6545,68.163
1,2.6736,67.539
1,2.6927,67.034
1,2.7119,66.606
1,2.731,66.242
1,2.7501,65.93
1,2.7692,65.659
1,2.7884,65.422
1,2.8075,65.213
1,2.8267,65.028
1,2.8459,64.862
1,2.865,64.708
1,2.8842,64.574
1,2.9034,64.452
1,2.9226,64.34
1,2.9418,64.236
1,2.9611,64.14
1,2.9803,63.895
1,2.9995,63.907
1,3.0188,63.904
1,3.038,63.888
1,3.0573,63.864
1,3.0765,63.834
1,3.0958,63.798
1,3.1151,63.76
1,3.1344,63.719
1,3.1537,63.677
1,3.173,63.603
1,3.1923,63.614
1,3.2116,63.605
1,3.231,68.757
1,3.2503,68.117
1,3.2696,67.578
1,3.289,72.668
1,3.3084,71.662
1,3.3277,70.811
1,3.3471,70.116
1,3.3665,69.504
1,3.3859,68.989
1,3.4053,68.55
1,3.4247,68.172
1,3.4441,67.843
