"N","Time","avg(f)"
1,0,60
1,0.018064,59.995
1,0.036134,59.99
1,0.054212,59.984
1,0.072295,59.98
1,0.090386,59.975
1,0.10848,59.97
1,0.12659,59.964
1,0.1447,59.959
1,0.16282,59.955
1,0.18094,59.966
1,0.19907,59.962
1,0.21721,59.957
1,0.23535,59.985
1,0.2535,59.98
1,0.27166,59.976
1,0.28983,59.977
1,0.308,59.973
1,0.32617,59.968
1,0.34436,59.964
1,0.36255,59.96
1,0.38075,59.956
1,0.39896,59.951
1,0.41717,59.947
1,0.43539,59.943
1,0.45361,59.939
1,0.47184,59.947
1,0.49008,59.944
1,0.50833,59.94
1,0.52658,60.125
1,0.54484,60.116
1,0.56311,60.108
1,0.58138,60.279
1,0.59967,60.265
1,0.61795,60.253
1,0.63625,60.284
1,0.65455,60.271
1,0.67286,60.259
1,0.69117,60.247
1,0.7095,60.235
1,0.72782,60.224
1,0.74616,60.213
1,0.7645,60.197
1,0.78285,60.187
1,0.80121,60.178
1,0.81958,60.286
1,0.83795,60.272
1,0.85632,60.259
1,0.87471,60.24
1,0.8931,60.229
1,0.9115,60.218
1,0.92991,60.225
1,0.94832,60.216
1,0.96674,60.207
1,0.98517,60.196
1,1.0036,60.188
1,1.022,60.18
1,1.0405,60.172
1,1.0589,60.164
1,1.0774,60.157
1,1.0959,60.149
1,1.1144,60.17
1,1.1328,60.164
1,1.1513,60.157
1,1.1698,60.441
1,1.1883,60.429
1,1.2069,60.416
1,1.2254,60.816
1,1.2439,60.794
1,1.2624,60.772
1,1.281,60.843
1,1.2995,60.82
1,1.3181,60.798
1,1.3366,60.777
1,1.3552,60.756
1,1.3738,60.736
1,1.3924,60.717
1,1.411,60.698
1,1.4296,60.68
1,1.4482,60.662
1,1.4668,60.651
1,1.4854,60.635
1,1.504,60.619
1,1.5227,61.074
1,1.5413,61.045
1,1.56,61.016
1,1.5786,60.971
1,1.5973,60.949
1,1.616,60.928
1,1.6346,60.884
1,1.6533,60.866
1,1.672,60.849
1,1.6907,60.831
1,1.7094,60.815
1,1.7282,60.798
1,1.7469,60.783
1,1.7656,60.767
1,1.7843,60.752
1,1.8031,60.737
1,1.8218,60.764
1,1.8406,60.751
1,1.8594,60.738
1,1.8782,60.991
1,1.8969,60.976
1,1.9157,60.961
1,1.9345,61.65
1,1.9533,61.616
1,1.9721,61.582
1,1.991,61.595
1,2.0098,61.565
1,2.0286,61.535
1,2.0475,61.506
1,2.0663,61.478
1,2.0852,61.45
1,2.1041,61.423
1,2.1229,61.389
1,2.1418,61.367
1,2.1607,61.345
1,2.1796,61.992
1,2.1985,61.95
1,2.2174,61.909
1,2.2363,62.05
1,2.2553,62.006
1,2.2742,61.963
1,2.2931,61.922
1,2.3121,61.885
1,2.3311,61.85
1,2.35,61.813
1,2.369,61.78
1,2.388,61.747
1,2.407,61.716
1,2.426,61.685
1,2.445,61.655
1,2.464,61.626
1,2.483,61.625
1,2.502,61.604
1,2.5211,61.582
1,2.5401,61.901
1,2.5592,61.876
1,2.5782,61.852
1,2.5973,62.76
1,2.6164,62.711
1,2.6354,62.663
1,2.6545,62.69
1,2.6736,62.645
1,2.6927,62.601
1,2.7119,62.558
1,2.731,62.516
1,2.7501,62.474
1,2.7692,62.434
1,2.7884,62.395
1,2.8075,62.356
1,2.8267,62.319
1,2.8459,62.479
1,2.865,62.439
1,2.8842,62.4
1,2.9034,63.282
1,2.9226,63.217
1,2.9418,63.155
1,2.9611,63.513
1,2.9803,63.441
1,2.9995,63.372
1,3.0188,63.244
1,3.038,63.191
1,3.0573,63.139
1,3.0765,63.089
1,3.0958,63.04
1,3.1151,62.993
1,3.1344,62.947
1,3.1537,62.902
1,3.173,62.859
1,3.1923,62.816
1,3.2116,62.725
1,3.231,62.689
1,3.2503,62.654
1,3.2696,62.676
1,3.289,62.649
1,3.3084,62.623
1,3.3277,63.419
1,3.3471,63.374
1,3.3665,63.33
1,3.3859,63.371
1,3.4053,63.33
1,3.4247,63.29
1,3.4441,63.25
1,3.4636,63.211
1,3.483,63.172
1,3.5024,63.133
1,3.5219,63.324
1,3.5414,63.281
1,3.5608,63.24
1,3.5803,64.442
1,3.5998,64.365
1,3.6193,64.289
1,3.6388,64.888
1,3.6583,64.796
1,3.6778,64.707
1,3.6974,64.642
1,3.7169,64.561
1,3.7364,64.482
1,3.756,64.407
1,3.7756,64.334
1,3.7951,64.263
1,3.8147,64.195
1,3.8343,64.128
1,3.8539,64.064
1,3.8735,64.002
1,3.8931,63.884
1,3.9127,63.833
1,3.9324,63.782
1,3.952,64.077
1,3.9717,64.021
1,3.9913,63.966
1,4.011,64.468
1,4.0307,64.409
1,4.0504,64.351
1,4.07,64.404
1,4.0897,64.35
1,4.1095,64.298
1,4.1292,64.246
1,4.1489,64.195
1,4.1686,64.146
1,4.1884,64.097
1,4.2081,64.049
1,4.2279,64.002
1,4.2477,63.955
1,4.2674,63.999
1,4.2872,63.959
1,4.307,63.919
1,4.3268,65.432
1,4.3466,65.348
1,4.3665,65.267
1,4.3863,66.519
1,4.4061,66.399
1,4.426,66.283
1,4.4458,66.468
1,4.4657,66.355
1,4.4856,66.246
1,4.5055,66.14
1,4.5254,66.038
1,4.5453,65.939
1,4.5652,65.843
1,4.5851,65.707
1,4.605,65.622
1,4.625,65.54
1,4.6449,65.832
1,4.6649,65.741
1,4.6848,65.652
1,4.7048,65.594
1,4.7248,65.514
1,4.7448,65.436
1,4.7648,66.011
1,4.7848,65.928
1,4.8048,65.847
1,4.8248,65.792
1,4.8449,65.715
1,4.8649,65.64
1,4.885,65.567
1,4.905,65.496
1,4.9251,65.427
1,4.9452,65.359
1,4.9653,66.017
1,4.9854,65.931
1,5.0055,65.847
1,5.0256,67.542
1,5.0457,67.414
1,5.0659,67.29
1,5.086,68.712
1,5.1062,68.545
1,5.1263,68.384
1,5.1465,68.233
1,5.1667,68.09
1,5.1869,67.952
1,5.2071,67.819
1,5.2273,67.69
1,5.2475,67.566
1,5.2678,67.446
1,5.288,67.33
1,5.3082,67.217
1,5.3285,67.108
1,5.3488,66.983
1,5.369,66.887
1,5.3893,66.793
1,5.4096,67.452
1,5.4299,67.337
1,5.4502,67.226
1,5.4706,67.143
1,5.4909,67.059
1,5.5112,66.976
1,5.5316,66.817
1,5.552,66.744
1,5.5723,66.673
1,5.5927,66.604
1,5.6131,66.536
1,5.6335,66.469
1,5.6539,66.403
1,5.6743,66.339
1,5.6948,66.276
1,5.7152,66.213
1,5.7357,66.295
1,5.7561,66.239
1,5.7766,66.184
1,5.7971,67.274
1,5.8176,67.197
1,5.838,67.121
1,5.8586,69.086
1,5.8791,68.954
1,5.8996,68.826
1,5.9201,69.564
1,5.9407,69.42
1,5.9612,69.279
1,5.9818,69.142
1,6.0024,69.01
1,6.023,68.881
1,6.0436,68.755
1,6.0642,68.571
1,6.0848,68.464
1,6.1054,68.359
1,6.126,70.095
1,6.1467,69.931
1,6.1673,69.773
1,6.188,69.514
1,6.2087,69.376
1,6.2294,69.242
1,6.2501,69.115
1,6.2708,68.999
1,6.2915,68.885
1,6.3122,68.768
1,6.3329,68.661
1,6.3537,68.556
1,6.3744,68.454
1,6.3952,68.355
1,6.416,68.257
1,6.4368,68.163
1,6.4576,68.14
1,6.4784,68.066
1,6.4992,67.992
1,6.52,68.805
1,6.5408,68.721
1,6.5617,68.638
1,6.5825,70.883
1,6.6034,70.73
1,6.6243,70.581
1,6.6452,70.587
1,6.6661,70.451
1,6.687,70.318
1,6.7079,70.188
1,6.7288,70.061
1,6.7498,69.937
1,6.7707,69.816
1,6.7917,69.697
1,6.8127,69.581
1,6.8336,69.468
1,6.8546,69.378
1,6.8756,69.277
1,6.8966,69.177
1,6.9177,71.125
1,6.9387,70.959
1,6.9597,70.799
1,6.9808,71.242
1,7.0019,71.076
1,7.0229,70.916
1,7.044,70.689
1,7.0651,70.546
1,7.0862,70.408
1,7.1073,70.274
1,7.1285,70.144
1,7.1496,70.019
1,7.1708,69.897
1,7.1919,69.784
1,7.2131,69.667
1,7.2343,69.555
1,7.2555,69.468
1,7.2767,69.361
1,7.2979,69.257
1,7.3191,70.112
1,7.3403,70.002
1,7.3616,69.894
1,7.3828,72.335
1,7.4041,72.158
1,7.4254,71.986
1,7.4467,72.006
1,7.468,71.849
1,7.4893,71.696
1,7.5106,71.547
1,7.532,71.401
1,7.5533,71.259
1,7.5747,71.12
1,7.596,71.454
1,7.6174,71.309
1,7.6388,71.168
1,7.6602,73.37
1,7.6816,73.159
1,7.703,72.956
1,7.7245,73.807
1,7.7459,73.575
1,7.7674,73.352
1,7.7888,73.101
1,7.8103,72.896
1,7.8318,72.7
1,7.8533,72.516
1,7.8748,72.333
1,7.8963,72.158
1,7.9179,71.988
1,7.9394,71.825
1,7.961,71.668
1,7.9825,71.516
1,8.0041,71.468
1,8.0257,71.342
1,8.0473,71.218
1,8.0689,71.132
1,8.0905,71.043
1,8.1122,70.953
1,8.1338,72.802
1,8.1555,72.665
1,8.1772,72.529
1,8.1988,72.607
1,8.2205,72.48
1,8.2422,72.354
1,8.264,72.23
1,8.2857,72.108
1,8.3074,71.987
1,8.3292,71.867
1,8.3509,71.75
1,8.3727,71.634
1,8.3945,71.52
1,8.4163,71.969
1,8.4381,71.844
1,8.4599,71.721
1,8.4818,74.535
1,8.5036,74.325
1,8.5255,74.121
1,8.5473,76.442
1,8.5692,76.158
1,8.5911,75.885
1,8.613,76.032
1,8.6349,75.781
1,8.6569,75.539
1,8.6788,75.306
1,8.7007,75.081
1,8.7227,74.864
1,8.7447,74.654
1,8.7667,74.419
1,8.7887,74.228
