"N","Time","avg(f)"
1,0,60
1,0.21496,59.947
1,0.43087,60.085
1,0.64773,60.009
1,0.86557,59.953
1,1.0844,59.909
1,1.3042,59.872
1,1.5251,60.871
1,1.7469,60.634
1,1.9698,60.477
1,2.1938,60.366
1,2.4188,60.282
1,2.645,60.331
1,2.8722,60.398
1,3.1005,60.394
1,3.33,60.471
1,3.5606,60.499
1,3.7924,60.5
1,4.0254,60.489
1,4.2596,67.628
1,4.4951,66.041
1,4.7317,64.981
1,4.9697,64.236
1,5.2089,63.688
1,5.4494,67.188
1,5.6913,66.02
1,5.9345,65.23
1,6.1791,64.663
1,6.425,64.231
1,6.6724,64.663
1,6.9213,64.712
1,7.1716,64.441
1,7.4234,64.694
1,7.6768,64.733
1,7.9317,64.668
1,8.1881,64.557
1,8.4462,87.089
1,8.7059,81.325
1,8.9674,77.457
1,9.2305,74.754
1,9.4953,72.795
1,9.7619,87.179
1,10.03,82.344
1,10.301,79.045
1,10.573,76.672
1,10.847,74.885
1,11.123,74.7
1,11.401,74.207
1,11.681,73.06
1,11.963,73.308
1,12.248,73.112
1,12.534,72.733
1,12.823,72.296
1,13.114,106.85
1,13.408,97.416
1,13.704,91.119
1,14.002,86.727
1,14.303,83.541
1,14.607,117.55
1,14.913,105.75
1,15.222,97.944
1,15.534,92.522
1,15.849,88.591
1,16.166,95.472
1,16.487,91.444
1,16.811,90.243
1,17.138,89.185
1,17.469,87.794
1,17.803,86.37
1,18.141,85.035
1,18.482,133.81
1,18.827,118.3
1,19.176,108.21
1,19.529,101.34
1,19.887,96.458
1,20.249,138.5
1,20.61,122.18
1,20.977,111.77
1,21.555,102.31
1,22.141,96.334
1,22.739,102.73
1,23.35,99.507
1,23.975,111.79
1,24.614,105.5
1,25.27,101.27
1,25.943,98.229
1,26.635,95.935
1,27.347,171.67
1,28.081,138.39
1,28.839,121.11
1,29.623,111.33
1,30.437,105.37
1,31.284,169.2
1,32.168,136.27
1,33.095,120.15
1,34.07,111.38
1,35.102,106.18
1,36.201,112.52
1,37.382,108.64
1,38.664,120.5
1,40.077,114.18
1,41.665,110.11
1,43.504,107.3
1,45.742,105.24
1,48.728,131.81
1,53.766,110.77
