"N","Time","avg(f)","max(f)"
3257,0,60,60.001
3257,0.036128,59.99,60.002
3257,0.072282,59.982,60.024
3257,0.10846,59.976,60.081
3257,0.14467,59.97,60.07
3257,0.18091,59.966,60.145
3257,0.21717,59.962,60.173
3257,0.25346,59.959,60.239
3257,0.28977,59.964,60.434
3257,0.32611,59.962,60.359
3257,0.36248,59.961,60.316
3257,0.39888,59.967,60.676
3257,0.4353,59.967,60.617
3257,0.47176,59.972,60.87
3257,0.50824,59.974,60.736
3257,0.54474,59.977,60.692
3257,0.58128,59.993,61.085
3257,0.61784,59.997,60.935
3257,0.65443,60,60.816
3257,0.69104,60.019,61.636
3257,0.72769,60.023,61.431
3257,0.76436,60.033,61.368
3257,0.80106,60.043,61.195
3257,0.83779,60.049,61.255
3257,0.87454,60.075,62.096
3257,0.91133,60.081,61.873
3257,0.94814,60.09,61.681
3257,0.98498,60.122,62.877
3257,1.0218,60.13,62.573
3257,1.0587,60.14,62.311
3257,1.0957,60.158,62.252
3257,1.1326,60.167,62.063
3257,1.1696,60.193,62.337
3257,1.2066,60.203,62.731
3257,1.2437,60.213,62.529
3257,1.2807,60.261,62.844
3257,1.3178,60.271,62.621
3257,1.355,60.283,62.788
3257,1.3921,60.31,63.256
3257,1.4293,60.322,62.995
3257,1.4665,60.356,62.922
3257,1.5037,60.368,62.97
3257,1.541,60.379,62.761
3257,1.5783,60.472,64.038
3257,1.6156,60.481,63.744
3257,1.653,60.493,63.483
3257,1.6904,60.535,64.788
3257,1.7278,60.546,64.232
3257,1.7653,60.579,64.165
3257,1.8027,60.592,63.802
3257,1.8403,60.605,63.567
3257,1.8778,60.674,65.32
3257,1.9154,60.686,64.72
3257,1.953,60.699,64.22
3257,1.9906,60.744,65.816
3257,2.0282,60.756,65.246
3257,2.0659,60.788,65.81
3257,2.1036,60.804,65.113
3257,2.1414,60.818,64.541
3257,2.1792,60.886,66.038
3257,2.217,60.898,65.565
3257,2.2548,60.911,65.149
3257,2.2927,60.976,67.339
3257,2.3306,60.987,66.695
3257,2.3685,61.015,66.466
3257,2.4065,61.044,65.954
3257,2.4445,61.059,65.555
3257,2.4825,61.133,68.391
3257,2.5206,61.147,67.651
3257,2.5586,61.163,67.014
3257,2.5968,61.24,70.143
3257,2.6349,61.25,69.222
3257,2.6731,61.27,68.43
3257,2.7113,61.308,67.801
3257,2.7496,61.323,67.267
3257,2.7878,61.379,67.199
3257,2.8261,61.395,68.163
3257,2.8645,61.41,67.635
3257,2.9028,61.508,68.784
3257,2.9412,61.521,68.193
3257,2.9797,61.539,67.803
3257,3.0181,61.593,69.409
3257,3.0566,61.609,68.821
3257,3.0952,61.675,69.315
3257,3.1337,61.686,68.902
3257,3.1723,61.701,68.507
3257,3.211,61.88,70.899
3257,3.2496,61.888,70.427
3257,3.2883,61.904,69.972
3257,3.327,61.979,71.457
3257,3.3658,61.991,70.718
3257,3.4046,62.045,70.155
3257,3.4434,62.06,69.485
3257,3.4823,62.072,68.968
3257,3.5212,62.196,71.694
3257,3.5601,62.208,70.515
3257,3.5991,62.22,69.531
3257,3.638,62.287,72.491
3257,3.6771,62.299,71.636
3257,3.7161,62.344,71.814
3257,3.7552,62.363,70.514
3257,3.7944,62.379,69.758
3257,3.8335,62.489,72.682
3257,3.8727,62.5,71.801
3257,3.9119,62.513,71.024
3257,3.9512,62.613,74.223
3257,3.9905,62.621,72.851
3257,4.0298,62.657,72.03
3257,4.0692,62.694,72.233
3257,4.1086,62.712,71.522
3257,4.148,62.827,74.686
3257,4.1875,62.842,73.584
3257,4.227,62.858,72.731
3257,4.2665,62.973,77.194
3257,4.3061,62.982,75.821
3257,4.3457,63.002,74.639
3257,4.3854,63.051,74.909
3257,4.425,63.065,73.995
3257,4.4648,63.143,73.803
3257,4.5045,63.158,74.577
3257,4.5443,63.176,73.673
3257,4.5841,63.316,76.155
3257,4.624,63.33,75.171
3257,4.6639,63.348,74.461
3257,4.7038,63.418,76.946
3257,4.7437,63.431,75.98
3257,4.7837,63.524,76.672
3257,4.8238,63.535,75.982
3257,4.8639,63.545,75.323
3257,4.904,63.8,78.902
3257,4.9441,63.805,78.127
3257,4.9843,63.814,77.381
3257,5.0245,63.912,81.421
3257,5.0648,63.919,80.041
3257,5.1051,63.986,78.827
3257,5.1454,63.997,77.755
3257,5.1858,64.006,76.804
3257,5.2262,64.181,78.867
3257,5.2666,64.189,77.077
3257,5.3071,64.198,75.591
3257,5.3476,64.286,79.334
3257,5.3881,64.294,78.096
3257,5.4287,64.348,78.426
3257,5.4694,64.364,76.5
3257,5.51,64.375,75.368
3257,5.5507,64.522,80.136
3257,5.5915,64.529,78.822
3257,5.6323,64.536,77.666
3257,5.6731,64.667,81.959
3257,5.7139,64.669,79.957
3257,5.7548,64.713,78.861
3257,5.7958,64.764,80.036
3257,5.8367,64.78,78.823
3257,5.8778,64.93,82.081
3257,5.9188,64.936,80.584
3257,5.9599,64.947,79.39
3257,6.001,65.098,85.677
3257,6.0422,65.105,83.768
3257,6.0834,65.122,82.127
3257,6.1247,65.179,83.206
3257,6.166,65.188,81.878
3257,6.2073,65.28,81.138
3257,6.2486,65.291,81.415
3257,6.2901,65.305,80.164
3257,6.3315,65.486,84.6
3257,6.373,65.495,83.196
3257,6.4145,65.508,81.971
3257,6.4561,65.588,85.445
3257,6.4977,65.596,84.089
3257,6.5394,65.715,84.662
3257,6.581,65.719,83.684
